train/actor_loss,train/learning_rate,time/episodes,time/fps,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/critic_loss
-17.062715530395508,0.00075,364,307,190000,14.609743118286133,617,9334,500.0,7.697971449999999,0.0037782546132802963,0.030684206634759903
,,368,307,190000,,617,,500.0,7.697971449999999,,
,,372,307,190000,,617,,500.0,7.697971449999999,,
,,376,307,190000,,617,,500.0,7.697971449999999,,
,,380,307,190000,,617,,500.0,7.697971449999999,,
-16.899620056152344,0.00075,384,307,200000,-10.133909225463867,651,9834,500.0,8.52739725,0.0035308559890836477,0.020075784996151924
,,388,307,200000,,651,,500.0,8.52739725,,
,,392,307,200000,,651,,500.0,8.52739725,,
,,396,307,200000,,651,,500.0,8.52739725,,
,,400,307,200000,,651,,500.0,8.52739725,,
-16.373882293701172,0.00075,404,307,210000,-16.968975067138672,683,10334,500.0,7.818014240000001,0.0033789242152124643,0.07147283107042313
,,408,307,210000,,683,,500.0,7.818014240000001,,
,,412,307,210000,,683,,500.0,7.818014240000001,,
,,416,307,210000,,683,,500.0,7.818014240000001,,
,,420,307,210000,,683,,500.0,7.818014240000001,,
-16.30157470703125,0.00075,424,307,220000,-1.884070873260498,716,10834,500.0,8.11792461,0.003128139767795801,0.0342562198638916
,,428,307,220000,,716,,500.0,8.11792461,,
,,432,307,220000,,716,,500.0,8.11792461,,
,,436,307,220000,,716,,500.0,8.11792461,,
,,440,307,220000,,716,,500.0,8.11792461,,
-15.628680229187012,0.00075,444,307,230000,11.402872085571289,748,11334,500.0,8.29964549,0.0028695419896394014,0.05288255959749222
,,448,307,230000,,748,,500.0,8.29964549,,
,,452,307,230000,,748,,500.0,8.29964549,,
,,456,307,230000,,748,,500.0,8.29964549,,
,,460,307,230000,,748,,500.0,8.29964549,,
-15.33946418762207,0.00075,464,306,240000,0.2726452350616455,782,11834,500.0,3.6150446799999996,0.002916563069447875,1.8216416835784912
,,468,306,240000,,782,,500.0,3.6150446799999996,,
,,472,306,240000,,782,,500.0,3.6150446799999996,,
,,476,306,240000,,782,,500.0,3.6150446799999996,,
,,480,306,240000,,782,,500.0,3.6150446799999996,,
-14.802600860595703,0.00075,484,306,250000,6.330043792724609,815,12334,500.0,2.9366005099999994,0.0027725729160010815,2.206826686859131
,,488,306,250000,,815,,500.0,2.9366005099999994,,
,,492,306,250000,,815,,500.0,2.9366005099999994,,
,,496,306,250000,,815,,500.0,2.9366005099999994,,
,,500,306,250000,,815,,500.0,2.9366005099999994,,
-14.526642799377441,0.00075,504,306,260000,17.323293685913086,847,12834,500.0,2.6131040199999997,0.002655226504430175,0.020519232377409935
,,508,306,260000,,847,,500.0,2.6131040199999997,,
,,512,306,260000,,847,,500.0,2.6131040199999997,,
,,516,306,260000,,847,,500.0,2.6131040199999997,,
,,520,306,260000,,847,,500.0,2.6131040199999997,,
-14.394637107849121,0.00075,524,306,270000,-5.0248847007751465,880,13334,500.0,2.42441992,0.0025147825945168734,0.9524924755096436
,,528,306,270000,,880,,500.0,2.42441992,,
,,532,306,270000,,880,,500.0,2.42441992,,
,,536,306,270000,,880,,500.0,2.42441992,,
,,540,306,270000,,880,,500.0,2.42441992,,
-13.562559127807617,0.00075,544,306,280000,1.0794062614440918,913,13834,500.0,1.7823143499999994,0.0023156360257416964,0.2003544420003891
,,548,306,280000,,913,,500.0,1.7823143499999994,,
,,552,306,280000,,913,,500.0,1.7823143499999994,,
,,556,306,280000,,913,,500.0,1.7823143499999994,,
,,560,306,280000,,913,,500.0,1.7823143499999994,,
-13.472986221313477,0.00075,564,305,290000,-10.14271354675293,948,14334,500.0,4.047538029999999,0.002383448416367173,0.014035649597644806
,,568,305,290000,,948,,500.0,4.047538029999999,,
,,572,305,290000,,948,,500.0,4.047538029999999,,
,,576,305,290000,,948,,500.0,4.047538029999999,,
,,580,305,290000,,948,,500.0,4.047538029999999,,
-13.68209171295166,0.00075,584,305,300000,-11.177848815917969,982,14834,500.0,4.27420995,0.002221460221335292,0.020472213625907898
,,588,305,300000,,982,,500.0,4.27420995,,
,,592,305,300000,,982,,500.0,4.27420995,,
,,596,305,300000,,982,,500.0,4.27420995,,
,,600,305,300000,,982,,500.0,4.27420995,,
-13.155555725097656,0.00075,604,304,310000,-4.969256401062012,1016,15334,500.0,5.173866590000001,0.0021653634030371904,1.0350337028503418
,,608,304,310000,,1016,,500.0,5.173866590000001,,
,,612,304,310000,,1016,,500.0,5.173866590000001,,
,,616,304,310000,,1016,,500.0,5.173866590000001,,
,,620,304,310000,,1016,,500.0,5.173866590000001,,
-12.801119804382324,0.00075,624,305,320000,-9.200244903564453,1048,15834,500.0,5.373329129999999,0.0022356370463967323,1.4979054927825928
,,628,305,320000,,1048,,500.0,5.373329129999999,,
,,632,305,320000,,1048,,500.0,5.373329129999999,,
,,636,305,320000,,1048,,500.0,5.373329129999999,,
,,640,305,320000,,1048,,500.0,5.373329129999999,,
-12.745309829711914,0.00075,644,305,330000,-0.6682417392730713,1081,16334,500.0,5.226999869999999,0.002228105440735817,0.02017666958272457
,,648,305,330000,,1081,,500.0,5.226999869999999,,
,,652,305,330000,,1081,,500.0,5.226999869999999,,
,,656,305,330000,,1081,,500.0,5.226999869999999,,
,,660,305,330000,,1081,,500.0,5.226999869999999,,
-12.257919311523438,0.00075,664,305,340000,9.938885688781738,1114,16834,500.0,3.5812965399999994,0.002044737571850419,0.03666969761252403
,,668,305,340000,,1114,,500.0,3.5812965399999994,,
,,672,305,340000,,1114,,500.0,3.5812965399999994,,
,,676,305,340000,,1114,,500.0,3.5812965399999994,,
,,680,305,340000,,1114,,500.0,3.5812965399999994,,
-12.361302375793457,0.00075,684,305,350000,-14.574319839477539,1147,17334,500.0,3.3520412099999994,0.002305246889591217,0.02194283716380596
,,688,305,350000,,1147,,500.0,3.3520412099999994,,
,,692,305,350000,,1147,,500.0,3.3520412099999994,,
,,696,305,350000,,1147,,500.0,3.3520412099999994,,
,,700,305,350000,,1147,,500.0,3.3520412099999994,,
-11.787872314453125,0.00075,704,305,360000,-8.486852645874023,1179,17834,500.0,3.09982009,0.0021308676805347204,0.015677442774176598
,,708,305,360000,,1179,,500.0,3.09982009,,
,,712,305,360000,,1179,,500.0,3.09982009,,
,,716,305,360000,,1179,,500.0,3.09982009,,
,,720,305,360000,,1179,,500.0,3.09982009,,
-11.577300071716309,0.00075,724,305,370000,-8.706790924072266,1211,18334,500.0,3.12615445,0.002051550429314375,0.02076404169201851
,,728,305,370000,,1211,,500.0,3.12615445,,
,,732,305,370000,,1211,,500.0,3.12615445,,
,,736,305,370000,,1211,,500.0,3.12615445,,
,,740,305,370000,,1211,,500.0,3.12615445,,
-11.132471084594727,0.00075,744,305,380000,-5.6169352531433105,1244,18834,500.0,5.067943580000001,0.0020236512646079063,0.016032971441745758
,,748,305,380000,,1244,,500.0,5.067943580000001,,
,,752,305,380000,,1244,,500.0,5.067943580000001,,
,,756,305,380000,,1244,,500.0,5.067943580000001,,
,,760,305,380000,,1244,,500.0,5.067943580000001,,
-11.04726791381836,0.00075,764,305,390000,5.01982307434082,1277,19334,500.0,4.687617749999999,0.002039097249507904,0.012100480496883392
,,768,305,390000,,1277,,500.0,4.687617749999999,,
,,772,305,390000,,1277,,500.0,4.687617749999999,,
,,776,305,390000,,1277,,500.0,4.687617749999999,,
,,780,305,390000,,1277,,500.0,4.687617749999999,,
-10.857934951782227,0.00075,784,304,400000,-7.3832173347473145,1311,19834,500.0,4.89727615,0.002072075614705682,0.03586854785680771
,,788,304,400000,,1311,,500.0,4.89727615,,
,,792,304,400000,,1311,,500.0,4.89727615,,
,,796,304,400000,,1311,,500.0,4.89727615,,
,,800,304,400000,,1311,,500.0,4.89727615,,
-10.529386520385742,0.00075,804,304,410000,19.434389114379883,1345,20334,500.0,4.93996637,0.001998228719457984,0.01945204846560955
,,808,304,410000,,1345,,500.0,4.93996637,,
,,812,304,410000,,1345,,500.0,4.93996637,,
,,816,304,410000,,1345,,500.0,4.93996637,,
,,820,304,410000,,1345,,500.0,4.93996637,,
-10.126531600952148,0.00075,824,304,420000,20.601364135742188,1379,20834,500.0,5.34954402,0.0018640110502019525,0.0091335978358984
,,828,304,420000,,1379,,500.0,5.34954402,,
,,832,304,420000,,1379,,500.0,5.34954402,,
,,836,304,420000,,1379,,500.0,5.34954402,,
,,840,304,420000,,1379,,500.0,5.34954402,,
-10.138361930847168,0.00075,844,304,430000,-0.5407841205596924,1413,21334,500.0,4.055372100000001,0.001931709237396717,0.022502847015857697
,,848,304,430000,,1413,,500.0,4.055372100000001,,
,,852,304,430000,,1413,,500.0,4.055372100000001,,
,,856,304,430000,,1413,,500.0,4.055372100000001,,
,,860,304,430000,,1413,,500.0,4.055372100000001,,
-9.793656349182129,0.00075,864,303,440000,-6.253328323364258,1447,21834,500.0,4.47818375,0.0017907326109707355,0.014646138995885849
,,868,303,440000,,1447,,500.0,4.47818375,,
,,872,303,440000,,1447,,500.0,4.47818375,,
,,876,303,440000,,1447,,500.0,4.47818375,,
,,880,303,440000,,1447,,500.0,4.47818375,,
-9.826335906982422,0.00075,884,303,450000,-2.9778919219970703,1480,22334,500.0,4.82086871,0.0018056383123621345,0.024141568690538406
,,888,303,450000,,1480,,500.0,4.82086871,,
,,892,303,450000,,1480,,500.0,4.82086871,,
,,896,303,450000,,1480,,500.0,4.82086871,,
,,900,303,450000,,1480,,500.0,4.82086871,,
-9.35372543334961,0.00075,904,304,460000,-6.487750053405762,1511,22834,500.0,4.87281086,0.0018072956008836627,0.013008840382099152
,,908,304,460000,,1511,,500.0,4.87281086,,
,,912,304,460000,,1511,,500.0,4.87281086,,
,,916,304,460000,,1512,,500.0,4.87281086,,
,,920,304,460000,,1512,,500.0,4.87281086,,
-9.687603950500488,0.00075,924,304,470000,0.22015810012817383,1545,23334,500.0,4.68384603,0.001757605466991663,0.09162187576293945
,,928,304,470000,,1545,,500.0,4.68384603,,
,,932,304,470000,,1545,,500.0,4.68384603,,
,,936,304,470000,,1545,,500.0,4.68384603,,
,,940,304,470000,,1545,,500.0,4.68384603,,
-8.974339485168457,0.00075,944,304,480000,2.167673110961914,1578,23834,500.0,7.101666389999999,0.0019458564929664135,0.015521882101893425
,,948,304,480000,,1578,,500.0,7.101666389999999,,
,,952,304,480000,,1578,,500.0,7.101666389999999,,
,,956,304,480000,,1578,,500.0,7.101666389999999,,
,,960,304,480000,,1578,,500.0,7.101666389999999,,
-9.19942855834961,0.00075,964,304,490000,-8.659488677978516,1611,24334,500.0,7.83191981,0.0017784252995625138,0.016013186424970627
,,968,304,490000,,1611,,500.0,7.83191981,,
,,972,304,490000,,1611,,500.0,7.83191981,,
,,976,304,490000,,1611,,500.0,7.83191981,,
,,980,304,490000,,1611,,500.0,7.83191981,,
-8.350847244262695,0.00075,984,303,500000,-7.256378173828125,1645,24834,500.0,8.20510556,0.001786884036846459,1.1904304027557373
,,988,303,500000,,1645,,500.0,8.20510556,,
,,992,303,500000,,1645,,500.0,8.20510556,,
,,996,303,500000,,1645,,500.0,8.20510556,,
,,1000,303,500000,,1645,,500.0,8.20510556,,
-8.446168899536133,0.00075,1004,303,510000,2.5996012687683105,1678,25334,500.0,12.640767239999997,0.001842485275119543,0.034051619470119476
,,1008,303,510000,,1679,,500.0,12.640767239999997,,
,,1012,303,510000,,1679,,500.0,12.640767239999997,,
,,1016,303,510000,,1679,,500.0,12.640767239999997,,
,,1020,303,510000,,1679,,500.0,12.640767239999997,,
-8.7002592086792,0.00075,1024,303,520000,2.5840301513671875,1713,25834,500.0,15.45221637,0.0017620438011363149,0.04294736683368683
,,1028,303,520000,,1713,,500.0,15.45221637,,
,,1032,303,520000,,1713,,500.0,15.45221637,,
,,1036,303,520000,,1713,,500.0,15.45221637,,
,,1040,303,520000,,1713,,500.0,15.45221637,,
-8.509803771972656,0.00075,1044,303,530000,3.4613380432128906,1746,26334,500.0,14.500280760000003,0.0018101210007444024,0.038894347846508026
,,1048,303,530000,,1746,,500.0,14.500280760000003,,
,,1052,303,530000,,1746,,500.0,14.500280760000003,,
,,1056,303,530000,,1746,,500.0,14.500280760000003,,
,,1060,303,530000,,1746,,500.0,14.500280760000003,,
-8.2939453125,0.00075,1064,303,540000,0.39124780893325806,1779,26834,500.0,14.474881210000001,0.001882114913314581,0.012332174926996231
,,1068,303,540000,,1779,,500.0,14.474881210000001,,
,,1072,303,540000,,1779,,500.0,14.474881210000001,,
,,1076,303,540000,,1779,,500.0,14.474881210000001,,
,,1080,303,540000,,1779,,500.0,14.474881210000001,,
-7.814279079437256,0.00075,1084,303,550000,-6.144152641296387,1813,27334,500.0,14.583532710000002,0.001945632859133184,0.0323990061879158
,,1088,303,550000,,1813,,500.0,14.583532710000002,,
,,1092,303,550000,,1813,,500.0,14.583532710000002,,
,,1096,303,550000,,1813,,500.0,14.583532710000002,,
,,1100,303,550000,,1813,,500.0,14.583532710000002,,
-8.323782920837402,0.00075,1104,303,560000,0.981497585773468,1847,27834,500.0,12.113677450000003,0.0017490076133981347,0.012513639405369759
,,1108,303,560000,,1847,,500.0,12.113677450000003,,
,,1112,303,560000,,1847,,500.0,12.113677450000003,,
,,1116,303,560000,,1847,,500.0,12.113677450000003,,
,,1120,303,560000,,1847,,500.0,12.113677450000003,,
-7.572532653808594,0.00075,1124,303,570000,2.8672232627868652,1880,28334,500.0,11.837451070000002,0.0018700051587074995,0.01340024545788765
,,1128,303,570000,,1880,,500.0,11.837451070000002,,
,,1132,303,570000,,1880,,500.0,11.837451070000002,,
,,1136,303,570000,,1880,,500.0,11.837451070000002,,
,,1140,303,570000,,1880,,500.0,11.837451070000002,,
-7.774812698364258,0.00075,1144,303,580000,-6.816041946411133,1913,28834,500.0,11.093435599999998,0.0018478338606655598,0.03081909567117691
,,1148,303,580000,,1913,,500.0,11.093435599999998,,
,,1152,303,580000,,1913,,500.0,11.093435599999998,,
,,1156,303,580000,,1913,,500.0,11.093435599999998,,
,,1160,303,580000,,1913,,500.0,11.093435599999998,,
-7.799529075622559,0.00075,1164,303,590000,-3.5517148971557617,1946,29334,500.0,11.995007189999999,0.0018239100463688374,0.055575452744960785
,,1168,303,590000,,1946,,500.0,11.995007189999999,,
,,1172,303,590000,,1946,,500.0,11.995007189999999,,
,,1176,303,590000,,1946,,500.0,11.995007189999999,,
,,1180,303,590000,,1946,,500.0,11.995007189999999,,
-7.27652645111084,0.00075,1184,303,600000,-13.4570951461792,1979,29834,500.0,17.637205660000003,0.002317836508154869,0.10958439111709595
,,1188,303,600000,,1979,,500.0,17.637205660000003,,
,,1192,303,600000,,1980,,500.0,17.637205660000003,,
,,1196,303,600000,,1980,,500.0,17.637205660000003,,
,,1200,303,600000,,1980,,500.0,17.637205660000003,,
-7.190519332885742,0.00075,1204,303,610000,-5.94400691986084,2012,30334,500.0,21.068734749999997,0.002118342788890004,0.16424235701560974
,,1208,303,610000,,2012,,500.0,21.068734749999997,,
,,1212,303,610000,,2012,,500.0,21.068734749999997,,
,,1216,303,610000,,2012,,500.0,21.068734749999997,,
,,1220,303,610000,,2012,,500.0,21.068734749999997,,
-7.468466281890869,0.00075,1224,303,620000,-7.105682849884033,2045,30834,500.0,19.562028,0.0022681269329041243,0.04550628364086151
,,1228,303,620000,,2045,,500.0,19.562028,,
,,1232,303,620000,,2045,,500.0,19.562028,,
,,1236,303,620000,,2045,,500.0,19.562028,,
,,1240,303,620000,,2045,,500.0,19.562028,,
-7.172799110412598,0.00075,1244,302,630000,7.0628509521484375,2079,31334,500.0,21.112042919999993,0.0024751154705882072,0.13438136875629425
,,1248,302,630000,,2079,,500.0,21.112042919999993,,
,,1252,302,630000,,2079,,500.0,21.112042919999993,,
,,1256,302,630000,,2079,,500.0,21.112042919999993,,
,,1260,302,630000,,2079,,500.0,21.112042919999993,,
-7.342832565307617,0.00075,1264,302,640000,-11.32589340209961,2113,31834,500.0,26.335568400000003,0.00252597127109766,0.12259098887443542
,,1268,302,640000,,2113,,500.0,26.335568400000003,,
,,1272,302,640000,,2113,,500.0,26.335568400000003,,
,,1276,302,640000,,2113,,500.0,26.335568400000003,,
,,1280,302,640000,,2113,,500.0,26.335568400000003,,
-7.526538848876953,0.00075,1284,302,650000,-9.112102508544922,2147,32334,500.0,30.681229220000006,0.0025262327399104834,0.10020793974399567
,,1288,302,650000,,2147,,500.0,30.681229220000006,,
,,1292,302,650000,,2147,,500.0,30.681229220000006,,
,,1296,302,650000,,2147,,500.0,30.681229220000006,,
,,1300,302,650000,,2147,,500.0,30.681229220000006,,
-7.457894325256348,0.00075,1304,302,660000,14.658304214477539,2181,32834,500.0,32.937691709999996,0.0026279438752681017,0.07919097691774368
,,1308,302,660000,,2181,,500.0,32.937691709999996,,
,,1312,302,660000,,2181,,500.0,32.937691709999996,,
,,1316,302,660000,,2181,,500.0,32.937691709999996,,
,,1320,302,660000,,2181,,500.0,32.937691709999996,,
-7.123959541320801,0.00075,1324,302,670000,-5.474789619445801,2215,33334,500.0,40.19280940000001,0.002800023416057229,0.1366802453994751
,,1328,302,670000,,2215,,500.0,40.19280940000001,,
,,1332,302,670000,,2215,,500.0,40.19280940000001,,
,,1336,302,670000,,2215,,500.0,40.19280940000001,,
,,1340,302,670000,,2215,,500.0,40.19280940000001,,
-6.941042900085449,0.00075,1344,302,680000,-6.052608966827393,2249,33834,500.0,47.71837886,0.002667597495019436,0.12884598970413208
,,1348,302,680000,,2249,,500.0,47.71837886,,
,,1352,302,680000,,2249,,500.0,47.71837886,,
,,1356,302,680000,,2249,,500.0,47.71837886,,
,,1360,302,680000,,2249,,500.0,47.71837886,,
-7.49534273147583,0.00075,1364,302,690000,8.930948257446289,2282,34334,500.0,56.672285159999994,0.002738488605245948,0.21432875096797943
,,1368,302,690000,,2282,,500.0,56.672285159999994,,
,,1372,302,690000,,2282,,500.0,56.672285159999994,,
,,1376,302,690000,,2282,,500.0,56.672285159999994,,
,,1380,302,690000,,2282,,500.0,56.672285159999994,,
-6.647017955780029,0.00075,1384,302,700000,-10.233957290649414,2316,34834,500.0,60.523937690000004,0.002736991038545966,0.49575769901275635
,,1388,302,700000,,2316,,500.0,60.523937690000004,,
,,1392,302,700000,,2316,,500.0,60.523937690000004,,
,,1396,302,700000,,2316,,500.0,60.523937690000004,,
,,1400,302,700000,,2316,,500.0,60.523937690000004,,
-7.410319805145264,0.00075,1404,302,710000,7.752842426300049,2350,35334,500.0,75.27423526,0.002711221342906356,0.13328400254249573
,,1408,302,710000,,2350,,500.0,75.27423526,,
,,1412,302,710000,,2350,,500.0,75.27423526,,
,,1416,302,710000,,2350,,500.0,75.27423526,,
,,1420,302,710000,,2350,,500.0,75.27423526,,
-8.201004028320312,0.00075,1424,302,720000,0.6169586181640625,2384,35834,500.0,85.43967315,0.002909641247242689,0.5290689468383789
,,1428,302,720000,,2384,,500.0,85.43967315,,
,,1432,302,720000,,2384,,500.0,85.43967315,,
,,1436,302,720000,,2384,,500.0,85.43967315,,
,,1440,302,720000,,2384,,500.0,85.43967315,,
-7.011338710784912,0.00075,1444,301,730000,5.193281173706055,2417,36334,500.0,94.61172987,0.003140167100355029,0.11849738657474518
,,1448,301,730000,,2417,,500.0,94.61172987,,
,,1452,301,730000,,2417,,500.0,94.61172987,,
,,1456,301,730000,,2417,,500.0,94.61172987,,
,,1460,301,730000,,2417,,500.0,94.61172987,,
-7.142197132110596,0.00075,1464,302,740000,2.157430648803711,2450,36834,500.0,78.31865735999999,0.0030667365062981844,0.12224391847848892
,,1468,302,740000,,2450,,500.0,78.31865735999999,,
,,1472,302,740000,,2450,,500.0,78.31865735999999,,
,,1476,302,740000,,2450,,500.0,78.31865735999999,,
,,1480,302,740000,,2450,,500.0,78.31865735999999,,
-8.430475234985352,0.00075,1484,301,750000,8.582040786743164,2484,37334,500.0,82.91287181,0.0030575112905353308,0.19307932257652283
,,1488,301,750000,,2484,,500.0,82.91287181,,
,,1492,301,750000,,2484,,500.0,82.91287181,,
,,1496,301,750000,,2484,,500.0,82.91287181,,
,,1500,301,750000,,2484,,500.0,82.91287181,,
-7.640918254852295,0.00075,1504,301,760000,9.740209579467773,2518,37834,500.0,89.21379272999998,0.0032954944763332605,0.32243120670318604
,,1508,301,760000,,2518,,500.0,89.21379272999998,,
,,1512,301,760000,,2518,,500.0,89.21379272999998,,
,,1516,301,760000,,2518,,500.0,89.21379272999998,,
,,1520,301,760000,,2518,,500.0,89.21379272999998,,
-7.391047477722168,0.00075,1524,301,770000,10.497966766357422,2551,38334,500.0,120.61661464000001,0.0036988991778343916,0.5030843019485474
,,1528,301,770000,,2551,,500.0,120.61661464000001,,
,,1532,301,770000,,2551,,500.0,120.61661464000001,,
,,1536,301,770000,,2551,,500.0,120.61661464000001,,
,,1540,301,770000,,2551,,500.0,120.61661464000001,,
-7.5077433586120605,0.00075,1544,301,780000,-1.932685136795044,2585,38834,500.0,120.16210794999999,0.0037420529406517744,0.20635047554969788
,,1548,301,780000,,2585,,500.0,120.16210794999999,,
,,1552,301,780000,,2585,,500.0,120.16210794999999,,
,,1556,301,780000,,2585,,500.0,120.16210794999999,,
,,1560,301,780000,,2585,,500.0,120.16210794999999,,
-7.409188270568848,0.00075,1564,301,790000,-2.1061530113220215,2620,39334,500.0,158.8345963,0.003773947712033987,0.33862030506134033
