train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates
-11.613899230957031,0.00075,0.8208375573158264,500.0,1.3059577142857144,27,7000,250,10,0.08038288354873657,-2.3296334743499756,264
-15.617825508117676,0.00075,0.5640365481376648,500.0,1.3611673214285716,58,14000,240,20,0.043903473764657974,-6.751496315002441,764
-18.81708335876465,0.00075,0.38762715458869934,500.0,1.1935946904761907,92,21000,226,30,0.057220324873924255,-11.193020820617676,1264
,,,500.0,1.1935946904761907,92,21000,226,40,,,
-20.54807472229004,0.00075,0.2664231061935425,500.0,1.1316859642857142,124,28000,224,50,5.125702857971191,-15.593835830688477,1764
-21.95322036743164,0.00075,0.18318742513656616,500.0,1.2438801571428573,157,35000,222,60,3.294934034347534,-19.99627685546875,2264
,,,500.0,1.2438801571428573,157,35000,222,70,,,
-22.281082153320312,0.00075,0.12600304186344147,500.0,1.278370511904762,191,42000,219,80,6.921438217163086,-24.139358520507812,2764
-22.04770851135254,0.00075,0.08677960187196732,500.0,1.2025264387755101,226,49000,216,90,0.15516400337219238,-28.582002639770508,3264
-22.352214813232422,0.00075,0.05989417806267738,500.0,1.14483537,258,56000,216,100,0.03245103359222412,-30.828655242919922,3764
,,,500.0,1.14483537,258,56000,216,110,,,
-22.081315994262695,0.00075,0.041488341987133026,500.0,1.04511563,291,63000,216,120,0.028025485575199127,-35.94791793823242,4264
-21.81829071044922,0.00075,0.028865942731499672,500.0,1.0347726899999998,324,70000,215,130,0.02420562133193016,-38.7384033203125,4764
,,,500.0,1.0347726899999998,324,70000,215,140,,,
-21.13656997680664,0.00075,0.020270103588700294,500.0,1.05567812,358,77000,214,150,0.058385785669088364,-35.43903732299805,5264
-20.251296997070312,0.00075,0.014543276280164719,500.0,0.91942453,391,84000,214,160,3.1532468795776367,-35.78184127807617,5764
-19.706649780273438,0.00075,0.010769355110824108,500.0,0.97468275,424,91000,214,170,6.36278772354126,-22.72186279296875,6264
,,,500.0,0.97468275,424,91000,214,180,,,
-19.315040588378906,0.00075,0.008059076964855194,500.0,1.02566712,457,98000,214,190,1.3141460418701172,-34.64330291748047,6764
-19.158672332763672,0.00075,0.006132923066616058,500.0,1.00303272,490,105000,213,200,2.770026206970215,-19.738229751586914,7264
,,,500.0,1.00303272,490,105000,213,210,,,
-18.449562072753906,0.00075,0.004792342893779278,500.0,1.15079462,523,112000,214,220,0.05393341928720474,-23.969764709472656,7764
