train/n_updates,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef
334,4,500.0,-12.237385749816895,10000,0.00075,335,0.8774959500000001,29,-2.95050048828125,0.07561949640512466,0.7788400650024414
,8,500.0,,10000,,335,0.8774959500000001,29,,,
,12,500.0,,10000,,335,0.8774959500000001,29,,,
,16,500.0,,10000,,335,0.8774959500000001,29,,,
,20,500.0,,10000,,335,0.8774959500000001,29,,,
834,24,500.0,-16.189085006713867,20000,0.00075,314,1.01073275,63,-7.366703987121582,0.04599060118198395,0.5351898670196533
,28,500.0,,20000,,314,1.01073275,63,,,
,32,500.0,,20000,,314,1.01073275,63,,,
,36,500.0,,20000,,314,1.01073275,63,,,
,40,500.0,,20000,,314,1.01073275,63,,,
1334,44,500.0,-19.308349609375,30000,0.00075,308,1.12025625,97,-11.724658966064453,0.050545357167720795,0.36780211329460144
,48,500.0,,30000,,308,1.12025625,97,,,
,52,500.0,,30000,,308,1.12025625,97,,,
,56,500.0,,30000,,308,1.12025625,97,,,
,60,500.0,,30000,,308,1.12025625,97,,,
1834,64,500.0,-20.70995330810547,40000,0.00075,304,1.1140579375,131,-16.243783950805664,0.11429452896118164,0.25283151865005493
,68,500.0,,40000,,304,1.1140579375,131,,,
,72,500.0,,40000,,304,1.1140579375,131,,,
,76,500.0,,40000,,304,1.1140579375,131,,,
,80,500.0,,40000,,304,1.1140579375,131,,,
2334,84,500.0,-22.27029037475586,50000,0.00075,302,1.09048911,165,-20.3596134185791,0.04110303521156311,0.17381775379180908
,88,500.0,,50000,,302,1.09048911,165,,,
,92,500.0,,50000,,302,1.09048911,165,,,
,96,500.0,,50000,,302,1.09048911,165,,,
,100,500.0,,50000,,302,1.09048911,165,,,
2834,104,500.0,-22.623754501342773,60000,0.00075,301,1.1061340599999998,199,-24.966045379638672,0.042503390461206436,0.11954694986343384
,108,500.0,,60000,,301,1.1061340599999998,199,,,
,112,500.0,,60000,,301,1.1061340599999998,199,,,
,116,500.0,,60000,,301,1.1061340599999998,199,,,
,120,500.0,,60000,,301,1.1061340599999998,199,,,
3334,124,500.0,-22.285140991210938,70000,0.00075,299,1.0775623099999998,233,-29.083717346191406,0.222861185669899,0.0822966918349266
,128,500.0,,70000,,299,1.0775623099999998,233,,,
,132,500.0,,70000,,299,1.0775623099999998,233,,,
,136,500.0,,70000,,299,1.0775623099999998,233,,,
,140,500.0,,70000,,299,1.0775623099999998,233,,,
3834,144,500.0,-22.421157836914062,80000,0.00075,300,0.9885351099999998,266,-33.130550384521484,0.03337142989039421,0.05679648369550705
,148,500.0,,80000,,300,0.9885351099999998,266,,,
,152,500.0,,80000,,300,0.9885351099999998,266,,,
,156,500.0,,80000,,300,0.9885351099999998,266,,,
,160,500.0,,80000,,300,0.9885351099999998,266,,,
4334,164,500.0,-22.14818572998047,90000,0.00075,300,0.93756069,299,-37.263092041015625,0.030701428651809692,0.03931475058197975
,168,500.0,,90000,,300,0.93756069,299,,,
,172,500.0,,90000,,300,0.93756069,299,,,
,176,500.0,,90000,,300,0.93756069,299,,,
,180,500.0,,90000,,300,0.93756069,299,,,
4834,184,500.0,-21.934734344482422,100000,0.00075,303,1.3922970099999998,329,-37.895729064941406,0.02560155838727951,0.027372701093554497
,188,500.0,,100000,,303,1.3922970099999998,329,,,
,192,500.0,,100000,,303,1.3922970099999998,329,,,
,196,500.0,,100000,,303,1.3922970099999998,329,,,
,200,500.0,,100000,,303,1.3922970099999998,329,,,
5334,204,500.0,-21.55358123779297,110000,0.00075,301,1.36415586,364,-40.484092712402344,0.03897303342819214,0.019213154911994934
,208,500.0,,110000,,301,1.36415586,364,,,
,212,500.0,,110000,,301,1.36415586,364,,,
,216,500.0,,110000,,301,1.36415586,364,,,
,220,500.0,,110000,,301,1.36415586,364,,,
5834,224,500.0,-21.01962661743164,120000,0.00075,302,1.5070568700000002,397,-41.34484100341797,0.034238602966070175,0.013792814686894417
,228,500.0,,120000,,302,1.5070568700000002,397,,,
,232,500.0,,120000,,302,1.5070568700000002,397,,,
,236,500.0,,120000,,302,1.5070568700000002,397,,,
,240,500.0,,120000,,302,1.5070568700000002,397,,,
6334,244,500.0,-20.21101188659668,130000,0.00075,302,1.7573519099999997,430,-31.927356719970703,0.04208160936832428,0.010072886943817139
,248,500.0,,130000,,302,1.7573519099999997,430,,,
,252,500.0,,130000,,302,1.7573519099999997,430,,,
,256,500.0,,130000,,302,1.7573519099999997,430,,,
,260,500.0,,130000,,302,1.7573519099999997,430,,,
6834,264,500.0,-19.787742614746094,140000,0.00075,301,2.2150832699999996,463,-25.044605255126953,0.02412000484764576,0.007626066915690899
,268,500.0,,140000,,301,2.2150832699999996,463,,,
,272,500.0,,140000,,301,2.2150832699999996,463,,,
,276,500.0,,140000,,301,2.2150832699999996,463,,,
,280,500.0,,140000,,301,2.2150832699999996,463,,,
7334,284,500.0,-19.30008316040039,150000,0.00075,300,1.7478993600000001,498,-18.22209930419922,0.11598791182041168,0.0062573920004069805
,288,500.0,,150000,,300,1.7478993600000001,498,,,
,292,500.0,,150000,,300,1.7478993600000001,498,,,
,296,500.0,,150000,,300,1.7478993600000001,498,,,
,300,500.0,,150000,,300,1.7478993600000001,498,,,
7834,304,500.0,-18.83971405029297,160000,0.00075,300,1.789621,532,-11.143177032470703,0.06186545640230179,0.005273948423564434
,308,500.0,,160000,,300,1.789621,532,,,
,312,500.0,,160000,,300,1.789621,532,,,
