train/critic_loss,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/ent_coef_loss
0.06312081217765808,0.7788782119750977,-12.142045021057129,500.0,334,0.45497485,4,471,21,10000,0.00075,-2.9409966468811035
,,,500.0,,0.45497485,8,470,21,10000,,
,,,500.0,,0.45497485,12,470,21,10000,,
,,,500.0,,0.45497485,16,470,21,10000,,
,,,500.0,,0.45497485,20,470,21,10000,,
1.508333444595337,0.5352173447608948,-16.106578826904297,500.0,834,0.61219005,24,443,45,20000,0.00075,-7.34642219543457
,,,500.0,,0.61219005,28,443,45,20000,,
,,,500.0,,0.61219005,32,443,45,20000,,
,,,500.0,,0.61219005,36,443,45,20000,,
,,,500.0,,0.61219005,40,443,45,20000,,
0.02543795108795166,0.36786821484565735,-19.252853393554688,500.0,1334,0.6009452333333333,44,434,68,30000,0.00075,-11.797698020935059
,,,500.0,,0.6009452333333333,48,434,68,30000,,
,,,500.0,,0.6009452333333333,52,434,68,30000,,
,,,500.0,,0.6009452333333333,56,434,68,30000,,
,,,500.0,,0.6009452333333333,60,434,68,30000,,
0.06389300525188446,0.25287288427352905,-21.01174545288086,500.0,1834,0.552494375,64,432,92,40000,0.00075,-16.1793212890625
,,,500.0,,0.552494375,68,432,92,40000,,
,,,500.0,,0.552494375,72,432,92,40000,,
,,,500.0,,0.552494375,76,432,92,40000,,
,,,500.0,,0.552494375,80,431,92,40000,,
3.4382665157318115,0.173858642578125,-21.880373001098633,500.0,2334,0.56917663,84,428,116,50000,0.00075,-20.46575355529785
,,,500.0,,0.56917663,88,428,116,50000,,
,,,500.0,,0.56917663,92,428,116,50000,,
,,,500.0,,0.56917663,96,428,116,50000,,
,,,500.0,,0.56917663,100,428,116,50000,,
0.012619582004845142,0.11959675699472427,-22.436853408813477,500.0,2834,0.55286546,104,426,140,60000,0.00075,-24.78006362915039
,,,500.0,,0.55286546,108,426,140,60000,,
,,,500.0,,0.55286546,112,426,140,60000,,
,,,500.0,,0.55286546,116,426,140,60000,,
,,,500.0,,0.55286546,120,426,140,60000,,
0.026980753988027573,0.08241896331310272,-22.42007064819336,500.0,3334,0.5033305100000001,124,424,165,70000,0.00075,-28.777246475219727
,,,500.0,,0.5033305100000001,128,424,165,70000,,
,,,500.0,,0.5033305100000001,132,424,165,70000,,
,,,500.0,,0.5033305100000001,136,424,165,70000,,
,,,500.0,,0.5033305100000001,140,424,165,70000,,
0.020719144493341446,0.056815240532159805,-22.555339813232422,500.0,3834,0.5675695599999999,144,422,189,80000,0.00075,-33.246829986572266
,,,500.0,,0.5675695599999999,148,422,189,80000,,
,,,500.0,,0.5675695599999999,152,422,189,80000,,
,,,500.0,,0.5675695599999999,156,422,189,80000,,
,,,500.0,,0.5675695599999999,160,422,189,80000,,
7.245955467224121,0.03919973224401474,-21.850645065307617,500.0,4334,0.51767783,164,421,213,90000,0.00075,-36.783180236816406
,,,500.0,,0.51767783,168,421,213,90000,,
,,,500.0,,0.51767783,172,421,213,90000,,
,,,500.0,,0.51767783,176,421,213,90000,,
,,,500.0,,0.51767783,180,421,213,90000,,
0.0942336916923523,0.027280140668153763,-21.419330596923828,500.0,4834,0.79677555,184,419,238,100000,0.00075,-41.56937026977539
,,,500.0,,0.79677555,188,419,238,100000,,
,,,500.0,,0.79677555,192,419,238,100000,,
,,,500.0,,0.79677555,196,419,238,100000,,
,,,500.0,,0.79677555,200,419,238,100000,,
0.018161414191126823,0.019095860421657562,-21.180564880371094,500.0,5334,0.7810058,204,417,263,110000,0.00075,-40.58528518676758
,,,500.0,,0.7810058,208,417,263,110000,,
,,,500.0,,0.7810058,212,417,263,110000,,
,,,500.0,,0.7810058,216,417,263,110000,,
,,,500.0,,0.7810058,220,417,263,110000,,
0.10923850536346436,0.013544303365051746,-20.54023551940918,500.0,5834,0.7924353800000001,224,413,290,120000,0.00075,-41.60512924194336
,,,500.0,,0.7924353800000001,228,413,290,120000,,
,,,500.0,,0.7924353800000001,232,413,290,120000,,
,,,500.0,,0.7924353800000001,236,413,290,120000,,
,,,500.0,,0.7924353800000001,240,413,290,120000,,
6.121756553649902,0.009994431398808956,-19.72647476196289,500.0,6334,0.8818815600000001,244,410,316,130000,0.00075,-30.647151947021484
,,,500.0,,0.8818815600000001,248,410,317,130000,,
,,,500.0,,0.8818815600000001,252,410,317,130000,,
,,,500.0,,0.8818815600000001,256,410,317,130000,,
,,,500.0,,0.8818815600000001,260,410,317,130000,,
0.03495749831199646,0.007528732996433973,-19.285369873046875,500.0,6834,0.9670755999999998,264,407,343,140000,0.00075,-37.72705078125
,,,500.0,,0.9670755999999998,268,407,343,140000,,
,,,500.0,,0.9670755999999998,272,407,343,140000,,
,,,500.0,,0.9670755999999998,276,407,343,140000,,
,,,500.0,,0.9670755999999998,280,407,343,140000,,
0.05239103361964226,0.005857100710272789,-18.873592376708984,500.0,7334,0.6607906,284,407,367,150000,0.00075,-29.455141067504883
,,,500.0,,0.6607906,288,407,367,150000,,
,,,500.0,,0.6607906,292,407,367,150000,,
,,,500.0,,0.6607906,296,407,367,150000,,
,,,500.0,,0.6607906,300,407,367,150000,,
0.02282952517271042,0.004701968282461166,-18.53925132751465,500.0,7834,0.62757388,304,407,392,160000,0.00075,-20.795923233032227
,,,500.0,,0.62757388,308,407,392,160000,,
,,,500.0,,0.62757388,312,407,392,160000,,
,,,500.0,,0.62757388,316,407,392,160000,,
,,,500.0,,0.62757388,320,407,392,160000,,
