train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
-11.611653327941895,1.6353991428571428,27,7000,-2.3176565170288086,500.0,10,256,0.00075,264,0.8208722472190857,0.06957831233739853
-15.587051391601562,1.2413624642857144,60,14000,-6.752719879150391,500.0,20,231,0.00075,764,0.5640838742256165,1.3459277153015137
-18.84127426147461,1.132903214285714,95,21000,-11.142210960388184,500.0,30,219,0.00075,1264,0.38769641518592834,0.04091540351510048
,1.132903214285714,95,21000,,500.0,40,219,,,,
-20.530925750732422,1.1319265,127,28000,-15.544401168823242,500.0,50,220,0.00075,1764,0.26648351550102234,0.15470090508460999
-21.388927459716797,1.0973753142857143,158,35000,-19.9311466217041,500.0,60,221,0.00075,2264,0.18318630754947662,3.1033272743225098
,1.0973753142857143,158,35000,,500.0,70,221,,,,
-21.924612045288086,1.0417097142857141,189,42000,-24.33207130432129,500.0,80,221,0.00075,2764,0.12599675357341766,3.250703811645508
-22.496501922607422,0.9961973367346937,221,49000,-28.6298828125,500.0,90,220,0.00075,3264,0.08682043105363846,0.021577253937721252
-22.645416259765625,0.93162359,253,56000,-32.870540618896484,500.0,100,221,0.00075,3764,0.059903357177972794,0.07505511492490768
,0.93162359,253,56000,,500.0,110,221,,,,
-22.120708465576172,0.9677182099999999,285,63000,-34.93428039550781,500.0,120,220,0.00075,4264,0.04151446372270584,3.136892795562744
-21.724349975585938,1.0486288700000002,317,70000,-39.131412506103516,500.0,130,220,0.00075,4764,0.028957007452845573,0.05256913602352142
,1.0486288700000002,317,70000,,500.0,140,220,,,,
-21.217931747436523,1.0102266100000001,349,77000,-39.723838806152344,500.0,150,220,0.00075,5264,0.020393524318933487,0.06833469867706299
-20.282859802246094,1.06728313,382,84000,-36.33612060546875,500.0,160,219,0.00075,5764,0.014742083847522736,4.488948822021484
-20.191295623779297,1.23977508,415,91000,-35.11919403076172,500.0,170,218,0.00075,6264,0.010937179438769817,0.031696442514657974
,1.23977508,415,91000,,500.0,180,218,,,,
-19.877490997314453,1.2446894800000001,448,98000,-36.38276672363281,500.0,190,218,0.00075,6764,0.008282696828246117,0.037090003490448
-18.914264678955078,1.7927635399999997,482,105000,-14.382682800292969,500.0,200,217,0.00075,7264,0.0064697000198066235,0.13980470597743988
,1.7927635399999997,482,105000,,500.0,210,217,,,,
-18.36913299560547,1.8990722500000001,515,112000,-12.844072341918945,500.0,220,217,0.00075,7764,0.005258143879473209,2.984254837036133
-18.507930755615234,2.57987885,549,119000,-17.27779769897461,500.0,230,216,0.00075,8264,0.004451006185263395,0.049164459109306335
-17.72662925720215,2.6264061899999995,582,126000,-6.0228657722473145,500.0,240,216,0.00075,8764,0.004052002914249897,0.05356500297784805
,2.6264061899999995,582,126000,,500.0,250,216,,,,
-17.390640258789062,2.8271995,615,133000,-9.725801467895508,500.0,260,216,0.00075,9264,0.0037221091333776712,0.04471157491207123
-16.857009887695312,2.6980145799999997,648,140000,1.3897309303283691,500.0,270,215,0.00075,9764,0.0034156155306845903,1.87774658203125
,2.6980145799999997,648,140000,,500.0,280,215,,,,
-16.922908782958984,2.792111779999999,682,147000,7.175792217254639,500.0,290,215,0.00075,10264,0.003376587061211467,4.45829963684082
-16.236461639404297,2.3185990800000003,716,154000,5.265880107879639,500.0,300,214,0.00075,10764,0.0029059224762022495,0.011456460691988468
-15.728751182556152,2.622575580000001,749,161000,-5.855936527252197,500.0,310,214,0.00075,11264,0.0027657700702548027,0.02228200063109398
,2.622575580000001,749,161000,,500.0,320,214,,,,
-15.70500373840332,2.20096841,782,168000,9.791946411132812,500.0,330,214,0.00075,11764,0.002602675464004278,0.0312361940741539
-15.56277847290039,2.13637321,816,175000,-3.175295352935791,500.0,340,214,0.00075,12264,0.0026272234972566366,0.02587307244539261
,2.13637321,816,175000,,500.0,350,214,,,,
-14.856287002563477,2.1895692700000002,849,182000,0.949128270149231,500.0,360,214,0.00075,12764,0.0026618260890245438,1.8159263134002686
-14.58652114868164,2.67839744,883,189000,-1.967369794845581,500.0,370,213,0.00075,13264,0.002659014891833067,1.0255906581878662
-14.145936012268066,2.58168736,916,196000,-2.992184638977051,500.0,380,213,0.00075,13764,0.002645774045959115,0.02239827625453472
,2.58168736,916,196000,,500.0,390,213,,,,
-14.153142929077148,2.9178771299999995,950,203000,-11.06556224822998,500.0,400,213,0.00075,14264,0.002694837050512433,0.014826888218522072
-13.53904914855957,3.1375262899999994,983,210000,5.450385093688965,500.0,410,213,0.00075,14764,0.0025858310982584953,0.04154099524021149
,3.1375262899999994,983,210000,,500.0,420,213,,,,
-13.454889297485352,3.61560304,1016,217000,-2.208266258239746,500.0,430,213,0.00075,15264,0.002526076277717948,0.021613506600260735
-12.948665618896484,4.201203349999999,1049,224000,-14.00177001953125,500.0,440,213,0.00075,15764,0.00242831208743155,1.3744208812713623
-12.82024097442627,4.81916213,1083,231000,2.1887617111206055,500.0,450,213,0.00075,16264,0.002335058990865946,0.01965509168803692
,4.81916213,1083,231000,,500.0,460,213,,,,
-12.487403869628906,4.80030392,1116,238000,-3.1579909324645996,500.0,470,213,0.00075,16764,0.0023699654266238213,0.016608236357569695
-12.037711143493652,5.333862310000001,1150,245000,-4.993310451507568,500.0,480,213,0.00075,17264,0.002680347766727209,0.009652780368924141
,5.333862310000001,1150,245000,,500.0,490,213,,,,
-11.741974830627441,6.536695159999999,1183,252000,-6.778257369995117,500.0,500,213,0.00075,17764,0.0026002766098827124,0.6836074590682983
-11.39423942565918,7.3085868,1216,259000,-0.6907750368118286,500.0,510,212,0.00075,18264,0.0022840278688818216,2.0443673133850098
-11.368979454040527,7.40886874,1250,266000,4.501125335693359,500.0,520,212,0.00075,18764,0.0024462889414280653,0.7903000712394714
,7.40886874,1250,266000,,500.0,530,212,,,,
-11.212129592895508,8.84996792,1282,273000,-3.857405185699463,500.0,540,212,0.00075,19264,0.002043073996901512,0.012529093772172928
-11.114879608154297,8.267347549999998,1316,280000,7.156206130981445,500.0,550,212,0.00075,19764,0.0020657924469560385,0.022685956209897995
,8.267347549999998,1316,280000,,500.0,560,212,,,,
-10.64984130859375,8.28966055,1348,287000,-4.142580986022949,500.0,570,212,0.00075,20264,0.0019784143660217524,0.010762279853224754
-10.55516242980957,7.78340281,1381,294000,4.206182956695557,500.0,580,212,0.00075,20764,0.0019713377114385366,0.015053332783281803
-9.993741989135742,9.198083950000001,1415,301000,-3.3363683223724365,500.0,590,212,0.00075,21264,0.0019859569147229195,0.042199041694402695
,9.198083950000001,1415,301000,,500.0,600,212,,,,
-10.428422927856445,8.236128200000001,1448,308000,0.4196925163269043,500.0,610,212,0.00075,21764,0.0020291581749916077,0.8264061212539673
-9.986001014709473,7.53255529,1482,315000,7.532093048095703,500.0,620,212,0.00075,22264,0.002093564486131072,0.021979765966534615
,7.53255529,1482,315000,,500.0,630,212,,,,
-9.605524063110352,6.037041760000001,1515,322000,-3.5845961570739746,500.0,640,212,0.00075,22764,0.0022991972509771585,0.017685286700725555
-9.638450622558594,6.611140930000001,1548,329000,-8.20688533782959,500.0,650,212,0.00075,23264,0.001948345685377717,0.017109747976064682
-9.548980712890625,6.517468539999999,1581,336000,-3.809953212738037,500.0,660,212,0.00075,23764,0.0019563629757612944,1.1912586688995361
,6.517468539999999,1581,336000,,500.0,670,212,,,,
-9.24650764465332,7.194254410000001,1615,343000,8.135050773620605,500.0,680,212,0.00075,24264,0.0017813839949667454,0.6067585945129395
-8.863388061523438,6.16121724,1650,350000,1.8362541198730469,500.0,690,212,0.00075,24764,0.001674229628406465,0.017002873122692108
,6.16121724,1650,350000,,500.0,700,212,,,,
-8.89310073852539,9.84622354,1683,357000,2.3183512687683105,500.0,710,212,0.00075,25264,0.0015556922880932689,0.025098226964473724
