time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,time/fps,train/learning_rate
364,1.9629133600000004,500.0,190000,635,9334,-17.5404052734375,-7.710688591003418,0.06268163025379181,0.0029508157167583704,299,0.00075
368,1.9629133600000004,500.0,190000,635,,,,,,299,
372,1.9629133600000004,500.0,190000,635,,,,,,299,
376,1.9629133600000004,500.0,190000,635,,,,,,299,
380,1.9629133600000004,500.0,190000,635,,,,,,299,
384,2.00580633,500.0,200000,669,9834,-16.840801239013672,-22.18764877319336,0.04166658967733383,0.002914019161835313,298,0.00075
388,2.00580633,500.0,200000,669,,,,,,298,
392,2.00580633,500.0,200000,669,,,,,,298,
396,2.00580633,500.0,200000,669,,,,,,298,
400,2.00580633,500.0,200000,669,,,,,,298,
404,2.0762533800000003,500.0,210000,702,10334,-16.4035587310791,5.726838111877441,0.07379929721355438,0.00265569263137877,298,0.00075
408,2.0762533800000003,500.0,210000,702,,,,,,298,
412,2.0762533800000003,500.0,210000,702,,,,,,298,
416,2.0762533800000003,500.0,210000,702,,,,,,298,
420,2.0762533800000003,500.0,210000,702,,,,,,298,
424,1.53238209,500.0,220000,735,10834,-16.08832550048828,7.581873893737793,0.030694928020238876,0.002617473714053631,298,0.00075
428,1.53238209,500.0,220000,736,,,,,,298,
432,1.53238209,500.0,220000,736,,,,,,298,
436,1.53238209,500.0,220000,736,,,,,,298,
440,1.53238209,500.0,220000,736,,,,,,298,
444,4.69534623,500.0,230000,769,11334,-15.857187271118164,43.73809814453125,0.034790974110364914,0.002530092839151621,298,0.00075
448,4.69534623,500.0,230000,769,,,,,,298,
452,4.69534623,500.0,230000,769,,,,,,298,
456,4.69534623,500.0,230000,769,,,,,,298,
460,4.69534623,500.0,230000,769,,,,,,298,
464,5.876502269999999,500.0,240000,803,11834,-15.345943450927734,0.9039654731750488,1.8724968433380127,0.002367718843743205,298,0.00075
468,5.876502269999999,500.0,240000,803,,,,,,298,
472,5.876502269999999,500.0,240000,803,,,,,,298,
476,5.876502269999999,500.0,240000,803,,,,,,298,
480,5.876502269999999,500.0,240000,803,,,,,,298,
484,6.1179874000000005,500.0,250000,837,12334,-14.997007369995117,1.2555854320526123,2.3091917037963867,0.0022820336744189262,298,0.00075
488,6.1179874000000005,500.0,250000,837,,,,,,298,
492,6.1179874000000005,500.0,250000,837,,,,,,298,
496,6.1179874000000005,500.0,250000,837,,,,,,298,
500,6.1179874000000005,500.0,250000,837,,,,,,298,
504,6.048807429999999,500.0,260000,870,12834,-14.85458755493164,-1.7071974277496338,0.013270039111375809,0.002109187887981534,298,0.00075
508,6.048807429999999,500.0,260000,870,,,,,,298,
512,6.048807429999999,500.0,260000,870,,,,,,298,
516,6.048807429999999,500.0,260000,870,,,,,,298,
520,6.048807429999999,500.0,260000,870,,,,,,298,
524,6.16313758,500.0,270000,904,13334,-14.536450386047363,-6.178851127624512,1.4550466537475586,0.002236215863376856,298,0.00075
528,6.16313758,500.0,270000,904,,,,,,298,
532,6.16313758,500.0,270000,904,,,,,,298,
536,6.16313758,500.0,270000,904,,,,,,298,
540,6.16313758,500.0,270000,904,,,,,,298,
544,3.1193270800000006,500.0,280000,938,13834,-14.145301818847656,-2.523757219314575,1.6392669677734375,0.002275545382872224,298,0.00075
548,3.1193270800000006,500.0,280000,938,,,,,,298,
552,3.1193270800000006,500.0,280000,938,,,,,,298,
556,3.1193270800000006,500.0,280000,938,,,,,,298,
560,3.1193270800000006,500.0,280000,938,,,,,,298,
564,2.8095314299999994,500.0,290000,972,14334,-13.862190246582031,-4.763745307922363,0.01294034905731678,0.002100267680361867,298,0.00075
568,2.8095314299999994,500.0,290000,972,,,,,,298,
572,2.8095314299999994,500.0,290000,972,,,,,,298,
576,2.8095314299999994,500.0,290000,972,,,,,,298,
580,2.8095314299999994,500.0,290000,972,,,,,,298,
584,3.4612966899999997,500.0,300000,1005,14834,-13.280047416687012,1.683310627937317,0.04522842913866043,0.0020078131929039955,298,0.00075
588,3.4612966899999997,500.0,300000,1005,,,,,,298,
592,3.4612966899999997,500.0,300000,1005,,,,,,298,
596,3.4612966899999997,500.0,300000,1005,,,,,,298,
600,3.4612966899999997,500.0,300000,1005,,,,,,298,
604,3.38996822,500.0,310000,1039,15334,-13.305570602416992,3.3035402297973633,1.0480141639709473,0.002198563190177083,298,0.00075
608,3.38996822,500.0,310000,1039,,,,,,298,
612,3.38996822,500.0,310000,1039,,,,,,298,
616,3.38996822,500.0,310000,1039,,,,,,298,
620,3.38996822,500.0,310000,1039,,,,,,298,
624,5.1263799400000005,500.0,320000,1072,15834,-12.305242538452148,-5.551463603973389,0.8011292219161987,0.0020676469430327415,298,0.00075
628,5.1263799400000005,500.0,320000,1072,,,,,,298,
632,5.1263799400000005,500.0,320000,1072,,,,,,298,
636,5.1263799400000005,500.0,320000,1072,,,,,,298,
640,5.1263799400000005,500.0,320000,1072,,,,,,298,
644,5.94687997,500.0,330000,1106,16334,-12.525991439819336,43.042789459228516,0.017716694623231888,0.0018103583715856075,298,0.00075
648,5.94687997,500.0,330000,1106,,,,,,298,
652,5.94687997,500.0,330000,1106,,,,,,298,
656,5.94687997,500.0,330000,1106,,,,,,298,
660,5.94687997,500.0,330000,1106,,,,,,298,
664,5.798758899999999,500.0,340000,1139,16834,-12.321516036987305,-1.6523773670196533,0.013860713690519333,0.00179925502743572,298,0.00075
668,5.798758899999999,500.0,340000,1139,,,,,,298,
672,5.798758899999999,500.0,340000,1139,,,,,,298,
676,5.798758899999999,500.0,340000,1139,,,,,,298,
680,5.798758899999999,500.0,340000,1139,,,,,,298,
684,6.218163190000001,500.0,350000,1172,17334,-12.272627830505371,-13.025833129882812,0.011148462072014809,0.0018220314523205161,298,0.00075
688,6.218163190000001,500.0,350000,1172,,,,,,298,
692,6.218163190000001,500.0,350000,1172,,,,,,298,
696,6.218163190000001,500.0,350000,1172,,,,,,298,
700,6.218163190000001,500.0,350000,1172,,,,,,298,
704,7.770011899999999,500.0,360000,1206,17834,-11.615991592407227,-8.707354545593262,0.018635869026184082,0.0019109181594103575,298,0.00075
708,7.770011899999999,500.0,360000,1206,,,,,,298,
712,7.770011899999999,500.0,360000,1206,,,,,,298,
716,7.770011899999999,500.0,360000,1206,,,,,,298,
720,7.770011899999999,500.0,360000,1206,,,,,,298,
724,7.262234490000001,500.0,370000,1239,18334,-11.237414360046387,2.2088139057159424,0.013647997751832008,0.0017057210206985474,298,0.00075
728,7.262234490000001,500.0,370000,1239,,,,,,298,
732,7.262234490000001,500.0,370000,1239,,,,,,298,
736,7.262234490000001,500.0,370000,1239,,,,,,298,
740,7.262234490000001,500.0,370000,1239,,,,,,298,
744,6.70835908,500.0,380000,1273,18834,-11.058086395263672,2.56417179107666,0.016745565459132195,0.001506925211288035,298,0.00075
748,6.70835908,500.0,380000,1273,,,,,,298,
752,6.70835908,500.0,380000,1273,,,,,,298,
756,6.70835908,500.0,380000,1273,,,,,,298,
760,6.70835908,500.0,380000,1273,,,,,,298,
764,6.626881039999998,500.0,390000,1306,19334,-11.014216423034668,3.515982151031494,0.00872741173952818,0.0013599199010059237,298,0.00075
768,6.626881039999998,500.0,390000,1306,,,,,,298,
772,6.626881039999998,500.0,390000,1306,,,,,,298,
776,6.626881039999998,500.0,390000,1306,,,,,,298,
780,6.626881039999998,500.0,390000,1306,,,,,,298,
784,7.07682911,500.0,400000,1339,19834,-10.549249649047852,-5.210841178894043,0.022246919572353363,0.0013199779205024242,298,0.00075
788,7.07682911,500.0,400000,1339,,,,,,298,
792,7.07682911,500.0,400000,1339,,,,,,298,
796,7.07682911,500.0,400000,1339,,,,,,298,
800,7.07682911,500.0,400000,1339,,,,,,298,
804,6.317083080000001,500.0,410000,1371,20334,-10.625566482543945,6.759000778198242,0.013845138251781464,0.0013113024178892374,298,0.00075
808,6.317083080000001,500.0,410000,1371,,,,,,298,
812,6.317083080000001,500.0,410000,1371,,,,,,298,
816,6.317083080000001,500.0,410000,1371,,,,,,298,
820,6.317083080000001,500.0,410000,1371,,,,,,298,
824,9.20304671,500.0,420000,1405,20834,-10.109733581542969,1.021331548690796,0.022138968110084534,0.0013613090850412846,298,0.00075
828,9.20304671,500.0,420000,1405,,,,,,298,
832,9.20304671,500.0,420000,1405,,,,,,298,
836,9.20304671,500.0,420000,1405,,,,,,298,
840,9.20304671,500.0,420000,1405,,,,,,298,
844,9.23168882,500.0,430000,1439,21334,-10.028221130371094,-1.248194694519043,0.01395377330482006,0.0013233551289886236,298,0.00075
848,9.23168882,500.0,430000,1439,,,,,,298,
852,9.23168882,500.0,430000,1439,,,,,,298,
856,9.23168882,500.0,430000,1439,,,,,,298,
860,9.23168882,500.0,430000,1439,,,,,,298,
864,8.729279850000001,500.0,440000,1473,21834,-9.8148193359375,-4.037997245788574,0.01225646585226059,0.0011881744721904397,298,0.00075
868,8.729279850000001,500.0,440000,1473,,,,,,298,
872,8.729279850000001,500.0,440000,1473,,,,,,298,
876,8.729279850000001,500.0,440000,1473,,,,,,298,
880,8.729279850000001,500.0,440000,1473,,,,,,298,
884,8.96993026,500.0,450000,1507,22334,-9.570625305175781,9.962116241455078,0.012217296287417412,0.0012915119295939803,298,0.00075
888,8.96993026,500.0,450000,1507,,,,,,298,
892,8.96993026,500.0,450000,1507,,,,,,298,
896,8.96993026,500.0,450000,1507,,,,,,298,
900,8.96993026,500.0,450000,1507,,,,,,298,
904,8.41295844,500.0,460000,1540,22834,-9.350815773010254,0.9329672455787659,0.008205629885196686,0.0013825487112626433,298,0.00075
908,8.41295844,500.0,460000,1540,,,,,,298,
912,8.41295844,500.0,460000,1540,,,,,,298,
916,8.41295844,500.0,460000,1540,,,,,,298,
920,8.41295844,500.0,460000,1540,,,,,,298,
924,5.12841101,500.0,470000,1574,23334,-9.574325561523438,-3.918570041656494,0.033819396048784256,0.0012779165990650654,298,0.00075
928,5.12841101,500.0,470000,1574,,,,,,298,
932,5.12841101,500.0,470000,1575,,,,,,298,
936,5.12841101,500.0,470000,1575,,,,,,298,
940,5.12841101,500.0,470000,1575,,,,,,298,
944,6.074308679999998,500.0,480000,1609,23834,-8.791099548339844,-5.832993507385254,0.014147900976240635,0.0013662513811141253,298,0.00075
948,6.074308679999998,500.0,480000,1609,,,,,,298,
952,6.074308679999998,500.0,480000,1609,,,,,,298,
956,6.074308679999998,500.0,480000,1609,,,,,,298,
960,6.074308679999998,500.0,480000,1609,,,,,,298,
964,6.467380069999998,500.0,490000,1644,24334,-8.849456787109375,-7.046469688415527,0.006245547905564308,0.001232220558449626,298,0.00075
968,6.467380069999998,500.0,490000,1644,,,,,,298,
972,6.467380069999998,500.0,490000,1644,,,,,,298,
976,6.467380069999998,500.0,490000,1644,,,,,,298,
980,6.467380069999998,500.0,490000,1644,,,,,,298,
984,6.781367450000001,500.0,500000,1678,24834,-8.303544998168945,-0.2262897491455078,1.015404462814331,0.001356747467070818,297,0.00075
988,6.781367450000001,500.0,500000,1678,,,,,,297,
992,6.781367450000001,500.0,500000,1678,,,,,,297,
996,6.781367450000001,500.0,500000,1678,,,,,,297,
1000,6.781367450000001,500.0,500000,1678,,,,,,297,
1004,7.90864737,500.0,510000,1712,25334,-8.348522186279297,-10.57451057434082,0.00822869036346674,0.0013057348551228642,297,0.00075
1008,7.90864737,500.0,510000,1712,,,,,,297,
1012,7.90864737,500.0,510000,1712,,,,,,297,
1016,7.90864737,500.0,510000,1712,,,,,,297,
1020,7.90864737,500.0,510000,1712,,,,,,297,
1024,13.406244550000004,500.0,520000,1746,25834,-8.35781478881836,-1.300781011581421,0.01881076581776142,0.0011061312397941947,297,0.00075
1028,13.406244550000004,500.0,520000,1746,,,,,,297,
1032,13.406244550000004,500.0,520000,1746,,,,,,297,
1036,13.406244550000004,500.0,520000,1746,,,,,,297,
1040,13.406244550000004,500.0,520000,1746,,,,,,297,
1044,17.79472169,500.0,530000,1781,26334,-8.168838500976562,-2.733053684234619,0.0245819054543972,0.0012299950467422605,297,0.00075
1048,17.79472169,500.0,530000,1781,,,,,,297,
1052,17.79472169,500.0,530000,1781,,,,,,297,
1056,17.79472169,500.0,530000,1781,,,,,,297,
1060,17.79472169,500.0,530000,1781,,,,,,297,
1064,23.405919260000005,500.0,540000,1815,26834,-7.984292030334473,-1.695167899131775,0.024819936603307724,0.001282225945033133,297,0.00075
1068,23.405919260000005,500.0,540000,1815,,,,,,297,
1072,23.405919260000005,500.0,540000,1815,,,,,,297,
1076,23.405919260000005,500.0,540000,1815,,,,,,297,
1080,23.405919260000005,500.0,540000,1815,,,,,,297,
1084,25.71708064,500.0,550000,1850,27334,-7.912721633911133,7.757874488830566,0.021302085369825363,0.0015514091355726123,297,0.00075
1088,25.71708064,500.0,550000,1850,,,,,,297,
1092,25.71708064,500.0,550000,1850,,,,,,297,
1096,25.71708064,500.0,550000,1850,,,,,,297,
1100,25.71708064,500.0,550000,1850,,,,,,297,
1104,31.96364699,500.0,560000,1884,27834,-7.789004325866699,5.936481475830078,0.013689631596207619,0.0014057251391932368,297,0.00075
1108,31.96364699,500.0,560000,1884,,,,,,297,
1112,31.96364699,500.0,560000,1884,,,,,,297,
1116,31.96364699,500.0,560000,1884,,,,,,297,
1120,31.96364699,500.0,560000,1884,,,,,,297,
1124,27.72789151,500.0,570000,1918,28334,-7.633187294006348,17.210872650146484,0.013809786178171635,0.0013216582592576742,297,0.00075
1128,27.72789151,500.0,570000,1918,,,,,,297,
1132,27.72789151,500.0,570000,1918,,,,,,297,
1136,27.72789151,500.0,570000,1918,,,,,,297,
1140,27.72789151,500.0,570000,1918,,,,,,297,
1144,40.71232992,500.0,580000,1951,28834,-7.343104362487793,0.06318014860153198,0.05830056592822075,0.0014421314699575305,297,0.00075
1148,40.71232992,500.0,580000,1951,,,,,,297,
1152,40.71232992,500.0,580000,1951,,,,,,297,
1156,40.71232992,500.0,580000,1951,,,,,,297,
1160,40.71232992,500.0,580000,1951,,,,,,297,
1164,42.62750713000001,500.0,590000,1984,29334,-7.676831245422363,-3.0023715496063232,0.027043353766202927,0.0017138690454885364,297,0.00075
1168,42.62750713000001,500.0,590000,1984,,,,,,297,
1172,42.62750713000001,500.0,590000,1984,,,,,,297,
1176,42.62750713000001,500.0,590000,1984,,,,,,297,
1180,42.62750713000001,500.0,590000,1984,,,,,,297,
1184,46.02417202000001,500.0,600000,2017,29834,-7.144763946533203,-8.452247619628906,0.016488276422023773,0.0017679797019809484,297,0.00075
1188,46.02417202000001,500.0,600000,2017,,,,,,297,
1192,46.02417202000001,500.0,600000,2017,,,,,,297,
1196,46.02417202000001,500.0,600000,2017,,,,,,297,
1200,46.02417202000001,500.0,600000,2017,,,,,,297,
1204,48.94327878000001,500.0,610000,2051,30334,-6.983259201049805,-5.310223579406738,0.03656464070081711,0.0017592774238437414,297,0.00075
1208,48.94327878000001,500.0,610000,2051,,,,,,297,
1212,48.94327878000001,500.0,610000,2051,,,,,,297,
1216,48.94327878000001,500.0,610000,2051,,,,,,297,
1220,48.94327878000001,500.0,610000,2051,,,,,,297,
1224,58.049666560000006,500.0,620000,2085,30834,-7.610737323760986,3.698186159133911,0.016984714195132256,0.001947323908098042,297,0.00075
1228,58.049666560000006,500.0,620000,2085,,,,,,297,
1232,58.049666560000006,500.0,620000,2085,,,,,,297,
1236,58.049666560000006,500.0,620000,2085,,,,,,297,
1240,58.049666560000006,500.0,620000,2085,,,,,,297,
1244,48.12939858,500.0,630000,2118,31334,-7.172987461090088,7.492966175079346,0.06531733274459839,0.001933219493366778,297,0.00075
1248,48.12939858,500.0,630000,2118,,,,,,297,
1252,48.12939858,500.0,630000,2118,,,,,,297,
1256,48.12939858,500.0,630000,2118,,,,,,297,
1260,48.12939858,500.0,630000,2118,,,,,,297,
1264,51.58221519000001,500.0,640000,2150,31834,-7.337976455688477,-1.3618643283843994,0.04452630132436752,0.002076706849038601,297,0.00075
1268,51.58221519000001,500.0,640000,2150,,,,,,297,
1272,51.58221519000001,500.0,640000,2150,,,,,,297,
1276,51.58221519000001,500.0,640000,2150,,,,,,297,
1280,51.58221519000001,500.0,640000,2150,,,,,,297,
1284,59.11956348,500.0,650000,2183,32334,-6.799169540405273,7.2204108238220215,0.31047654151916504,0.002272855956107378,297,0.00075
1288,59.11956348,500.0,650000,2183,,,,,,297,
1292,59.11956348,500.0,650000,2183,,,,,,297,
1296,59.11956348,500.0,650000,2183,,,,,,297,
1300,59.11956348,500.0,650000,2183,,,,,,297,
1304,69.30803676,500.0,660000,2216,32834,-7.692924499511719,-10.391500473022461,0.028597984462976456,0.002353447023779154,297,0.00075
1308,69.30803676,500.0,660000,2216,,,,,,297,
1312,69.30803676,500.0,660000,2216,,,,,,297,
1316,69.30803676,500.0,660000,2216,,,,,,297,
1320,69.30803676,500.0,660000,2216,,,,,,297,
1324,74.57347668,500.0,670000,2249,33334,-7.368202209472656,2.472473382949829,0.6767767667770386,0.0024217511527240276,297,0.00075
1328,74.57347668,500.0,670000,2249,,,,,,297,
1332,74.57347668,500.0,670000,2249,,,,,,297,
1336,74.57347668,500.0,670000,2249,,,,,,297,
1340,74.57347668,500.0,670000,2249,,,,,,297,
1344,81.33888881,500.0,680000,2283,33834,-7.419416427612305,4.065103530883789,0.11129169911146164,0.002784776035696268,297,0.00075
1348,81.33888881,500.0,680000,2283,,,,,,297,
1352,81.33888881,500.0,680000,2283,,,,,,297,
1356,81.33888881,500.0,680000,2283,,,,,,297,
1360,81.33888881,500.0,680000,2283,,,,,,297,
1364,85.77030613999999,500.0,690000,2316,34334,-7.561130523681641,0.21493780612945557,0.06115308403968811,0.002504266332834959,297,0.00075
1368,85.77030613999999,500.0,690000,2316,,,,,,297,
1372,85.77030613999999,500.0,690000,2316,,,,,,297,
1376,85.77030613999999,500.0,690000,2316,,,,,,297,
1380,85.77030613999999,500.0,690000,2316,,,,,,297,
1384,81.71374571999999,500.0,700000,2349,34834,-7.3598456382751465,1.909071445465088,0.3666504919528961,0.002804758958518505,297,0.00075
1388,81.71374571999999,500.0,700000,2349,,,,,,297,
1392,81.71374571999999,500.0,700000,2349,,,,,,297,
1396,81.71374571999999,500.0,700000,2349,,,,,,297,
1400,81.71374571999999,500.0,700000,2349,,,,,,297,
1404,70.47648926999999,500.0,710000,2382,35334,-7.57827091217041,-4.315974235534668,0.04639247804880142,0.002626878907904029,298,0.00075
1408,70.47648926999999,500.0,710000,2382,,,,,,298,
1412,70.47648926999999,500.0,710000,2382,,,,,,298,
1416,70.47648926999999,500.0,710000,2382,,,,,,298,
1420,70.47648926999999,500.0,710000,2382,,,,,,298,
1424,72.36654409,500.0,720000,2415,35834,-8.232563018798828,8.448097229003906,0.09849564731121063,0.0026206732727587223,298,0.00075
1428,72.36654409,500.0,720000,2415,,,,,,298,
1432,72.36654409,500.0,720000,2415,,,,,,298,
1436,72.36654409,500.0,720000,2415,,,,,,298,
1440,72.36654409,500.0,720000,2415,,,,,,298,
1444,70.48609348,500.0,730000,2448,36334,-8.150434494018555,-1.0573945045471191,0.3395492732524872,0.003103880677372217,298,0.00075
1448,70.48609348,500.0,730000,2448,,,,,,298,
1452,70.48609348,500.0,730000,2448,,,,,,298,
1456,70.48609348,500.0,730000,2448,,,,,,298,
1460,70.48609348,500.0,730000,2448,,,,,,298,
1464,68.14933445,500.0,740000,2481,36834,-7.590373516082764,2.2466418743133545,0.0898667424917221,0.002894019242376089,298,0.00075
1468,68.14933445,500.0,740000,2481,,,,,,298,
1472,68.14933445,500.0,740000,2481,,,,,,298,
1476,68.14933445,500.0,740000,2481,,,,,,298,
1480,68.14933445,500.0,740000,2481,,,,,,298,
1484,76.98279174999999,500.0,750000,2514,37334,-8.896573066711426,7.3288187980651855,0.21615222096443176,0.003108556615188718,298,0.00075
1488,76.98279174999999,500.0,750000,2514,,,,,,298,
1492,76.98279174999999,500.0,750000,2514,,,,,,298,
1496,76.98279174999999,500.0,750000,2514,,,,,,298,
1500,76.98279174999999,500.0,750000,2514,,,,,,298,
1504,85.03154211,500.0,760000,2547,37834,-7.406052589416504,-7.051967144012451,0.09471499919891357,0.0029945059213787317,298,0.00075
1508,85.03154211,500.0,760000,2547,,,,,,298,
1512,85.03154211,500.0,760000,2547,,,,,,298,
1516,85.03154211,500.0,760000,2547,,,,,,298,
1520,85.03154211,500.0,760000,2547,,,,,,298,
1524,91.98661890999998,500.0,770000,2580,38334,-8.489445686340332,3.251000165939331,0.16110676527023315,0.003219942096620798,298,0.00075
1528,91.98661890999998,500.0,770000,2580,,,,,,298,
1532,91.98661890999998,500.0,770000,2580,,,,,,298,
1536,91.98661890999998,500.0,770000,2580,,,,,,298,
1540,91.98661890999998,500.0,770000,2580,,,,,,298,
1544,98.32308299,500.0,780000,2614,38834,-8.377758979797363,1.6224883794784546,0.10671372711658478,0.0035288226790726185,298,0.00075
1548,98.32308299,500.0,780000,2614,,,,,,298,
1552,98.32308299,500.0,780000,2614,,,,,,298,
1556,98.32308299,500.0,780000,2614,,,,,,298,
1560,98.32308299,500.0,780000,2614,,,,,,298,
1564,102.71222634,500.0,790000,2648,39334,-9.137418746948242,1.4841862916946411,0.10842762887477875,0.003428602823987603,298,0.00075
1568,102.71222634,500.0,790000,2648,,,,,,298,
