train/learning_rate,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/actor_loss,time/episodes
0.00075,-2.9474940299987793,0.7787955403327942,0.8763916500000001,10000,327,0.06487487256526947,30,500.0,334,-12.20270824432373,4
,,,0.8763916500000001,10000,327,,30,500.0,,,8
,,,0.8763916500000001,10000,327,,30,500.0,,,12
,,,0.8763916500000001,10000,326,,30,500.0,,,16
,,,0.8763916500000001,10000,326,,30,500.0,,,20
0.00075,-7.386051177978516,0.5351938009262085,0.89150425,20000,313,0.04192589968442917,63,500.0,834,-15.92068862915039,24
,,,0.89150425,20000,313,,63,500.0,,,28
,,,0.89150425,20000,313,,63,500.0,,,32
,,,0.89150425,20000,313,,63,500.0,,,36
,,,0.89150425,20000,313,,63,500.0,,,40
0.00075,-11.781768798828125,0.3678056597709656,0.9525307666666667,30000,311,0.035454802215099335,96,500.0,1334,-18.97511100769043,44
,,,0.9525307666666667,30000,311,,96,500.0,,,48
,,,0.9525307666666667,30000,311,,96,500.0,,,52
,,,0.9525307666666667,30000,311,,96,500.0,,,56
,,,0.9525307666666667,30000,311,,96,500.0,,,60
0.00075,-16.138113021850586,0.25282925367355347,0.9383381125,40000,309,0.06329081207513809,129,500.0,1834,-20.95289421081543,64
,,,0.9383381125,40000,309,,129,500.0,,,68
,,,0.9383381125,40000,309,,129,500.0,,,72
,,,0.9383381125,40000,309,,129,500.0,,,76
,,,0.9383381125,40000,309,,129,500.0,,,80
0.00075,-20.60948944091797,0.17382091283798218,1.0432956500000001,50000,308,0.04220617562532425,161,500.0,2334,-22.0279541015625,84
,,,1.0432956500000001,50000,308,,161,500.0,,,88
,,,1.0432956500000001,50000,308,,161,500.0,,,92
,,,1.0432956500000001,50000,308,,161,500.0,,,96
,,,1.0432956500000001,50000,308,,161,500.0,,,100
0.00075,-24.947790145874023,0.11954481154680252,1.12302204,60000,308,0.03612988442182541,194,500.0,2834,-22.29309844970703,104
,,,1.12302204,60000,308,,194,500.0,,,108
,,,1.12302204,60000,308,,194,500.0,,,112
,,,1.12302204,60000,308,,194,500.0,,,116
,,,1.12302204,60000,308,,194,500.0,,,120
0.00075,-29.08426856994629,0.08232469856739044,1.2119397299999997,70000,307,0.040121860802173615,227,500.0,3334,-22.530033111572266,124
,,,1.2119397299999997,70000,307,,227,500.0,,,128
,,,1.2119397299999997,70000,307,,227,500.0,,,132
,,,1.2119397299999997,70000,307,,227,500.0,,,136
,,,1.2119397299999997,70000,307,,227,500.0,,,140
0.00075,-33.00599670410156,0.05678310617804527,1.1615446,80000,307,0.024639513343572617,260,500.0,3834,-22.3778076171875,144
,,,1.1615446,80000,307,,260,500.0,,,148
,,,1.1615446,80000,307,,260,500.0,,,152
,,,1.1615446,80000,307,,260,500.0,,,156
,,,1.1615446,80000,307,,260,500.0,,,160
