rollout/ep_len_mean,train/actor_loss,train/learning_rate,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,time/time_elapsed,time/fps,time/total_timesteps
500.0,-12.22810173034668,0.00075,4,0.7788242697715759,5.4120804499999995,334,0.07057442516088486,-2.940246105194092,33,297,10000
500.0,,,8,,5.4120804499999995,,,,33,297,10000
500.0,,,12,,5.4120804499999995,,,,33,297,10000
500.0,,,16,,5.4120804499999995,,,,33,297,10000
500.0,,,20,,5.4120804499999995,,,,33,297,10000
500.0,-16.185903549194336,0.00075,24,0.53516685962677,3.82358255,834,1.547879695892334,-7.350163459777832,66,302,20000
500.0,,,28,,3.82358255,,,,66,302,20000
500.0,,,32,,3.82358255,,,,66,302,20000
500.0,,,36,,3.82358255,,,,66,302,20000
500.0,,,40,,3.82358255,,,,66,302,20000
500.0,-19.299774169921875,0.00075,44,0.3678317070007324,3.2062772333333327,1334,0.027400195598602295,-11.803335189819336,99,302,30000
500.0,,,48,,3.2062772333333327,,,,99,302,30000
500.0,,,52,,3.2062772333333327,,,,99,302,30000
500.0,,,56,,3.2062772333333327,,,,99,301,30000
500.0,,,60,,3.2062772333333327,,,,99,301,30000
500.0,-21.191585540771484,0.00075,64,0.2528342604637146,2.7330337499999997,1834,0.059016551822423935,-16.226282119750977,132,302,40000
500.0,,,68,,2.7330337499999997,,,,132,302,40000
500.0,,,72,,2.7330337499999997,,,,132,302,40000
500.0,,,76,,2.7330337499999997,,,,132,302,40000
500.0,,,80,,2.7330337499999997,,,,132,302,40000
500.0,-21.971546173095703,0.00075,84,0.17382720112800598,2.5435487199999995,2334,3.5444793701171875,-20.473451614379883,165,301,50000
500.0,,,88,,2.5435487199999995,,,,165,301,50000
500.0,,,92,,2.5435487199999995,,,,165,301,50000
500.0,,,96,,2.5435487199999995,,,,165,301,50000
500.0,,,100,,2.5435487199999995,,,,165,301,50000
500.0,-22.440242767333984,0.00075,104,0.11958064883947372,1.7768622699999996,2834,0.014612777158617973,-24.91875457763672,199,301,60000
500.0,,,108,,1.7768622699999996,,,,199,301,60000
500.0,,,112,,1.7768622699999996,,,,199,300,60000
500.0,,,116,,1.7768622699999996,,,,199,300,60000
500.0,,,120,,1.7768622699999996,,,,199,300,60000
500.0,-22.49301528930664,0.00075,124,0.0824061706662178,1.60084389,3334,0.03361978009343147,-28.70326042175293,233,299,70000
500.0,,,128,,1.60084389,,,,233,299,70000
500.0,,,132,,1.60084389,,,,233,299,70000
500.0,,,136,,1.60084389,,,,233,299,70000
500.0,,,140,,1.60084389,,,,233,299,70000
500.0,-22.53481674194336,0.00075,144,0.056889113038778305,1.5582863100000004,3834,0.0629769042134285,-33.43317413330078,267,298,80000
500.0,,,148,,1.5582863100000004,,,,267,298,80000
500.0,,,152,,1.5582863100000004,,,,267,298,80000
500.0,,,156,,1.5582863100000004,,,,267,298,80000
500.0,,,160,,1.5582863100000004,,,,267,298,80000
500.0,-21.991365432739258,0.00075,164,0.03936496749520302,1.7737043899999998,4334,5.990921974182129,-36.80350875854492,301,298,90000
500.0,,,168,,1.7737043899999998,,,,301,298,90000
500.0,,,172,,1.7737043899999998,,,,301,298,90000
500.0,,,176,,1.7737043899999998,,,,301,298,90000
500.0,,,180,,1.7737043899999998,,,,301,298,90000
500.0,-21.170154571533203,0.00075,184,0.027474239468574524,2.3184039199999997,4834,0.06090360879898071,-40.45942306518555,334,299,100000
500.0,,,188,,2.3184039199999997,,,,334,299,100000
500.0,,,192,,2.3184039199999997,,,,334,299,100000
500.0,,,196,,2.3184039199999997,,,,334,299,100000
500.0,,,200,,2.3184039199999997,,,,334,299,100000
