time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss
284,598,0.00075,14169,500.0,-15.055655479431152,242,0.004070601891726255,0.029349297285079956,31.67,145000,2.6898269653320312
288,598,,,500.0,,242,,,31.67,145000,
292,620,0.00075,14669,500.0,-14.633896827697754,241,0.00435525830835104,0.03011099249124527,30.32,150000,8.258331298828125
296,620,,,500.0,,241,,,30.32,150000,
300,620,,,500.0,,241,,,30.32,150000,
304,640,0.00075,15169,500.0,-14.718573570251465,242,0.004669790621846914,0.02738017961382866,30.75,155000,-5.266632556915283
308,640,,,500.0,,242,,,30.75,155000,
312,661,0.00075,15669,500.0,-14.543255805969238,241,0.0037441374734044075,0.07007861137390137,33.33,160000,3.0744290351867676
316,661,,,500.0,,241,,,33.33,160000,
320,661,,,500.0,,241,,,33.33,160000,
324,682,0.00075,16169,500.0,-14.412618637084961,241,0.004244351293891668,1.2214488983154297,30.29,165000,9.56334114074707
328,682,,,500.0,,241,,,30.29,165000,
332,703,0.00075,16669,500.0,-14.079853057861328,241,0.004291381221264601,0.03948434442281723,22.59,170000,1.3261992931365967
336,703,,,500.0,,241,,,22.59,170000,
340,703,,,500.0,,241,,,22.59,170000,
344,723,0.00075,17169,500.0,-13.195877075195312,241,0.005000093020498753,0.03837227076292038,19.04,175000,-13.892156600952148
348,723,,,500.0,,241,,,19.04,175000,
352,744,0.00075,17669,500.0,-13.738936424255371,241,0.0039261807687580585,1.6442286968231201,19.04,180000,-1.672397494316101
356,744,,,500.0,,241,,,19.04,180000,
360,744,,,500.0,,241,,,19.04,180000,
364,764,0.00075,18169,500.0,-13.541290283203125,241,0.003947980236262083,0.06670217216014862,19.04,185000,1.2187576293945312
368,764,,,500.0,,241,,,19.04,185000,
372,785,0.00075,18669,500.0,-13.525358200073242,241,0.004128388594835997,0.4264029860496521,11.8,190000,2.196643829345703
376,785,,,500.0,,241,,,11.8,190000,
380,785,,,500.0,,241,,,11.8,190000,
384,807,0.00075,19169,500.0,-13.449400901794434,241,0.004582602996379137,0.047565117478370667,11.75,195000,4.868124961853027
388,807,,,500.0,,241,,,11.75,195000,
392,827,0.00075,19669,500.0,-13.901773452758789,241,0.004662385676056147,0.05787244811654091,11.75,200000,-2.430227518081665
396,827,,,500.0,,241,,,11.75,200000,
400,827,,,500.0,,241,,,11.75,200000,
404,849,0.00075,20169,500.0,-13.636053085327148,241,0.004714864306151867,0.9748393893241882,9.68,205000,-5.291852951049805
408,849,,,500.0,,241,,,9.68,205000,
412,870,0.00075,20669,500.0,-13.439861297607422,241,0.004383506253361702,0.05330556258559227,6.46,210000,2.6192684173583984
416,870,,,500.0,,241,,,6.46,210000,
420,870,,,500.0,,241,,,6.46,210000,
424,890,0.00075,21169,500.0,-13.064949035644531,241,0.004128789994865656,0.3559728264808655,9.83,215000,4.074074745178223
428,890,,,500.0,,241,,,9.83,215000,
432,912,0.00075,21669,500.0,-13.59419059753418,241,0.004511092323809862,0.05660729110240936,9.83,220000,-3.3696727752685547
436,912,,,500.0,,241,,,9.83,220000,
440,912,,,500.0,,241,,,9.83,220000,
444,934,0.00075,22169,500.0,-12.858516693115234,240,0.004292093217372894,0.1524449586868286,10.69,225000,-4.8548197746276855
448,934,,,500.0,,240,,,10.69,225000,
452,955,0.00075,22669,500.0,-12.433860778808594,240,0.004901281092315912,0.08038841933012009,11.44,230000,9.91982364654541
456,955,,,500.0,,240,,,11.44,230000,
460,955,,,500.0,,240,,,11.44,230000,
464,975,0.00075,23169,500.0,-13.089473724365234,240,0.004311518743634224,0.37713074684143066,11.44,235000,-4.133626937866211
