rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss
0.4296025,22,0.00075,454,0.7788561582565308,4,10000,500.0,-11.903661727905273,334,0.07618235051631927,-2.936509132385254
0.4296025,22,,454,,8,10000,500.0,,,,
0.4296025,22,,454,,12,10000,500.0,,,,
0.4296025,22,,454,,16,10000,500.0,,,,
0.4296025,22,,453,,20,10000,500.0,,,,
0.4125368750000001,46,0.00075,429,0.5352067351341248,24,20000,500.0,-15.931833267211914,834,1.3329126834869385,-7.349115371704102
0.4125368750000001,46,,429,,28,20000,500.0,,,,
0.4125368750000001,46,,428,,32,20000,500.0,,,,
0.4125368750000001,46,,428,,36,20000,500.0,,,,
0.4125368750000001,46,,428,,40,20000,500.0,,,,
0.4297529166666667,69,0.00075,430,0.3678678274154663,44,30000,500.0,-18.920364379882812,1334,0.03465397655963898,-11.811010360717773
0.4297529166666667,69,,430,,48,30000,500.0,,,,
0.4297529166666667,69,,430,,52,30000,500.0,,,,
0.4297529166666667,69,,430,,56,30000,500.0,,,,
0.4297529166666667,69,,430,,60,30000,500.0,,,,
0.4488136625,93,0.00075,427,0.2528679072856903,64,40000,500.0,-20.863332748413086,1834,0.04929805546998978,-16.221893310546875
0.4488136625,93,,426,,68,40000,500.0,,,,
0.4488136625,93,,426,,72,40000,500.0,,,,
0.4488136625,93,,426,,76,40000,500.0,,,,
0.4488136625,93,,426,,80,40000,500.0,,,,
0.49583063000000005,117,0.00075,424,0.17388089001178741,84,50000,500.0,-21.471263885498047,2334,3.053001880645752,-20.353313446044922
0.49583063000000005,117,,424,,88,50000,500.0,,,,
0.49583063000000005,117,,424,,92,50000,500.0,,,,
0.49583063000000005,117,,424,,96,50000,500.0,,,,
0.49583063000000005,117,,424,,100,50000,500.0,,,,
0.51389913,141,0.00075,423,0.11973963677883148,104,60000,500.0,-22.204395294189453,2834,0.045221470296382904,-24.703548431396484
0.51389913,141,,423,,108,60000,500.0,,,,
0.51389913,141,,423,,112,60000,500.0,,,,
0.51389913,141,,423,,116,60000,500.0,,,,
0.51389913,141,,423,,120,60000,500.0,,,,
0.54896202,165,0.00075,422,0.08264461904764175,124,70000,500.0,-22.247329711914062,3334,0.03091353550553322,-28.65180015563965
0.54896202,165,,422,,128,70000,500.0,,,,
0.54896202,165,,422,,132,70000,500.0,,,,
0.54896202,165,,422,,136,70000,500.0,,,,
0.54896202,165,,422,,140,70000,500.0,,,,
0.8433211899999999,191,0.00075,418,0.05718154460191727,144,80000,500.0,-22.333431243896484,3834,0.050035662949085236,-33.23163604736328
0.8433211899999999,191,,418,,148,80000,500.0,,,,
0.8433211899999999,191,,418,,152,80000,500.0,,,,
0.8433211899999999,191,,418,,156,80000,500.0,,,,
0.8433211899999999,191,,418,,160,80000,500.0,,,,
1.1649288899999999,215,0.00075,418,0.03981059789657593,164,90000,500.0,-21.54175567626953,4334,5.498155117034912,-36.058563232421875
1.1649288899999999,215,,418,,168,90000,500.0,,,,
1.1649288899999999,215,,418,,172,90000,500.0,,,,
1.1649288899999999,215,,418,,176,90000,500.0,,,,
1.1649288899999999,215,,418,,180,90000,500.0,,,,
2.2733509300000003,240,0.00075,415,0.027966588735580444,184,100000,500.0,-21.250865936279297,4834,0.1535857915878296,-39.63201904296875
2.2733509300000003,240,,415,,188,100000,500.0,,,,
2.2733509300000003,240,,415,,192,100000,500.0,,,,
2.2733509300000003,240,,415,,196,100000,500.0,,,,
2.2733509300000003,240,,415,,200,100000,500.0,,,,
2.20532149,265,0.00075,414,0.01976550742983818,204,110000,500.0,-20.77734375,5334,0.026834826916456223,-34.980072021484375
2.20532149,265,,414,,208,110000,500.0,,,,
2.20532149,265,,414,,212,110000,500.0,,,,
2.20532149,265,,414,,216,110000,500.0,,,,
2.20532149,265,,414,,220,110000,500.0,,,,
2.3317084700000006,291,0.00075,411,0.014193367213010788,224,120000,500.0,-20.289138793945312,5834,0.10345861315727234,-30.969755172729492
2.3317084700000006,291,,411,,228,120000,500.0,,,,
2.3317084700000006,291,,411,,232,120000,500.0,,,,
2.3317084700000006,291,,411,,236,120000,500.0,,,,
2.3317084700000006,291,,411,,240,120000,500.0,,,,
4.674746789999999,318,0.00075,408,0.010407427325844765,244,130000,500.0,-19.18761444091797,6334,4.435512542724609,-32.094154357910156
4.674746789999999,318,,408,,248,130000,500.0,,,,
4.674746789999999,318,,408,,252,130000,500.0,,,,
4.674746789999999,318,,408,,256,130000,500.0,,,,
4.674746789999999,318,,408,,260,130000,500.0,,,,
4.96546474,344,0.00075,406,0.007967032492160797,264,140000,500.0,-18.794618606567383,6834,0.033918850123882294,-30.40432357788086
4.96546474,344,,406,,268,140000,500.0,,,,
4.96546474,344,,406,,272,140000,500.0,,,,
4.96546474,344,,406,,276,140000,500.0,,,,
4.96546474,344,,406,,280,140000,500.0,,,,
3.9978951099999995,370,0.00075,405,0.006273854058235884,284,150000,500.0,-18.665542602539062,7334,0.04826074093580246,-26.668766021728516
3.9978951099999995,370,,405,,288,150000,500.0,,,,
3.9978951099999995,370,,405,,292,150000,500.0,,,,
3.9978951099999995,370,,405,,296,150000,500.0,,,,
3.9978951099999995,370,,405,,300,150000,500.0,,,,
5.71084735,395,0.00075,404,0.005024581216275692,304,160000,500.0,-18.342029571533203,7834,0.04188626632094383,-31.095369338989258
5.71084735,395,,404,,308,160000,500.0,,,,
5.71084735,395,,404,,312,160000,500.0,,,,
