rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,time/episodes
-2.9535317420959473,4,0.00075,-12.173163414001465,0.0875350683927536,0.7788020372390747,10000,334,500.0,0.0,30,332,,,,,,,,,,,,
,8,,,,,10000,,500.0,0.0,30,332,,,,,,,,,,,,
,12,,,,,10000,,500.0,0.0,30,332,,,,,,,,,,,,
,16,,,,,10000,,500.0,0.0,30,-7.354772090911865,24,0.00075,-15.931648254394531,0.031656019389629364,0.5352342128753662,20000,834,500.0,0.0,63,316
,28,,,,,20000,,500.0,0.0,63,316
,32,,,,,20000,,500.0,0.0,63,316
,36,,,,,20000,,500.0,0.0,63,316
,40,,,,,20000,,500.0,0.0,63,316
-11.791534423828125,44,0.00075,-19.060693740844727,0.12486930191516876,0.3678256571292877,30000,1334,500.0,0.0,96,311
,48,,,,,30000,,500.0,0.0,96,311
,52,,,,,30000,,500.0,0.0,96,311
,56,,,,,30000,,500.0,0.0,96,311
,60,,,,,30000,,500.0,0.0,96,310
-16.205387115478516,64,0.00075,-20.646804809570312,0.02172418124973774,0.25281718373298645,40000,1834,500.0,0.0,129,309
,68,,,,,40000,,500.0,0.0,129,309
,72,,,,,40000,,500.0,0.0,129,309
,76,,,,,40000,,500.0,0.0,129,309
,80,,,,,40000,,500.0,0.0,129,309
-20.650310516357422,84,0.00075,-21.68250274658203,0.029199717566370964,0.17385101318359375,50000,2334,500.0,0.0,162,308
,88,,,,,50000,,500.0,0.0,162,308
,92,,,,,50000,,500.0,0.0,162,308
,96,,,,,50000,,500.0,0.0,162,308
,100,,,,,50000,,500.0,0.0,162,308
-24.76226806640625,104,0.00075,-22.060136795043945,0.05949067696928978,0.11962151527404785,60000,2834,500.0,0.0,194,307
,108,,,,,60000,,500.0,0.0,195,307
,112,,,,,60000,,500.0,0.0,195,307
,116,,,,,60000,,500.0,0.0,195,307
,120,,,,,60000,,500.0,0.0,195,307
