train/ent_coef,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed
0.8208616971969604,-11.527620315551758,7000,10,264,244,0.00075,500.0,0.06873469054698944,0.9556414285714284,-2.336301803588867,28
0.5641193389892578,-15.625003814697266,14000,20,764,231,0.00075,500.0,0.030292421579360962,1.166038285714286,-6.763053894042969,60
0.3876587152481079,-18.428199768066406,21000,30,1264,228,0.00075,500.0,0.030204549431800842,1.0433200714285715,-11.100160598754883,91
,,21000,40,,228,,500.0,,1.0433200714285715,,91
0.2664376199245453,-20.671253204345703,28000,50,1764,228,0.00075,500.0,0.12009238451719284,1.0758764464285715,-15.594195365905762,122
0.18318161368370056,-21.504549026489258,35000,60,2264,228,0.00075,500.0,0.09819965064525604,1.0598126142857145,-19.997554779052734,153
,,35000,70,,228,,500.0,,1.0598126142857145,,153
0.12603169679641724,-22.003250122070312,42000,80,2764,228,0.00075,500.0,0.08447940647602081,1.0203869047619047,-23.909727096557617,183
0.08680956810712814,-22.449378967285156,49000,90,3264,228,0.00075,500.0,3.481752395629883,1.0156931326530612,-28.344532012939453,214
0.05992836877703667,-22.460641860961914,56000,100,3764,227,0.00075,500.0,0.02562444843351841,1.10221932,-31.960046768188477,245
,,56000,110,,227,,500.0,,1.10221932,,245
0.04154955595731735,-21.82227897644043,63000,120,4264,227,0.00075,500.0,0.021442411467432976,1.1019373799999999,-36.07356262207031,276
0.02888955920934677,-21.259727478027344,70000,130,4764,227,0.00075,500.0,1.3515126705169678,1.09343876,-39.255226135253906,307
,,70000,140,,227,,500.0,,1.09343876,,307
0.020247889682650566,-21.208446502685547,77000,150,5264,227,0.00075,500.0,3.319859027862549,1.12201093,-40.9346923828125,338
0.014498883858323097,-20.444669723510742,84000,160,5764,226,0.00075,500.0,3.1495296955108643,1.11424623,-40.69643020629883,370
0.01053865160793066,-20.216346740722656,91000,170,6264,226,0.00075,500.0,0.04875241219997406,1.0982172000000001,-36.60533905029297,402
,,91000,180,,226,,500.0,,1.0982172000000001,,402
0.007979517802596092,-19.53200912475586,98000,190,6764,225,0.00075,500.0,0.051371634006500244,1.09400711,-22.56313133239746,435
0.006385836284607649,-18.905284881591797,105000,200,7264,224,0.00075,500.0,0.026526618748903275,1.02658498,-25.516319274902344,468
,,105000,210,,224,,500.0,,1.02658498,,468
0.005261692684143782,-18.411758422851562,112000,220,7764,223,0.00075,500.0,0.05404520034790039,5.14923345,-1.8778653144836426,500
0.004334829747676849,-17.9261531829834,119000,230,8264,223,0.00075,500.0,0.01783105358481407,5.175113939999999,-20.795948028564453,533
0.0036899291444569826,-17.083192825317383,126000,240,8764,222,0.00075,500.0,0.06888869404792786,5.21423811,-8.19006061553955,566
,,126000,250,,222,,500.0,,5.21423811,,566
0.0034567443653941154,-17.014354705810547,133000,260,9264,222,0.00075,500.0,0.051781438291072845,5.294221379999999,-3.267430543899536,598
0.003361758543178439,-16.84467315673828,140000,270,9764,222,0.00075,500.0,0.046510759741067886,5.30153587,-9.154050827026367,629
,,140000,280,,222,,500.0,,5.30153587,,629
0.003084123134613037,-16.22515106201172,147000,290,10264,222,0.00075,500.0,2.0910534858703613,7.83919133,-2.072765588760376,660
0.003164792899042368,-16.30087661743164,154000,300,10764,222,0.00075,500.0,0.04004484415054321,7.829760949999999,2.1327764987945557,691
0.0031885073985904455,-16.234846115112305,161000,310,11264,222,0.00075,500.0,0.04160387068986893,3.6360512899999993,4.1185078620910645,722
,,161000,320,,222,,500.0,,3.6360512899999993,,722
0.0030134953558444977,-15.451108932495117,168000,330,11764,222,0.00075,500.0,0.039816975593566895,3.5784180099999996,2.044097900390625,754
0.0029513167683035135,-15.555408477783203,175000,340,12264,222,0.00075,500.0,0.023025400936603546,3.4912055399999997,7.202954292297363,786
,,175000,350,,222,,500.0,,3.4912055399999997,,786
0.003055147361010313,-14.834514617919922,182000,360,12764,222,0.00075,500.0,0.018193453550338745,3.4411348,0.9616787433624268,817
