train/learning_rate,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
0.00075,232,500.0,264,1.0405201428571427,-2.321117877960205,0.8208747506141663,-11.536319732666016,30,0.07803104817867279,7000,10
0.00075,227,500.0,764,0.9723348214285716,-6.725651741027832,0.5640999674797058,-15.407116889953613,61,0.02701825089752674,14000,20
0.00075,224,500.0,1264,0.9749485,-11.123015403747559,0.38766640424728394,-18.689584732055664,93,0.04444181174039841,21000,30
,224,500.0,,0.9749485,,,,93,,21000,40
0.00075,223,500.0,1764,0.9767088035714285,-15.610406875610352,0.2664683163166046,-20.62596893310547,125,2.9300999641418457,28000,50
0.00075,222,500.0,2264,0.9369567428571429,-20.078062057495117,0.18320339918136597,-21.718769073486328,157,0.048720188438892365,35000,60
,222,500.0,,0.9369567428571429,,,,157,,35000,70
0.00075,220,500.0,2764,0.931482238095238,-24.342145919799805,0.12599538266658783,-22.41753387451172,190,0.031758878380060196,42000,80
0.00075,219,500.0,3264,0.903109112244898,-28.642545700073242,0.0867384597659111,-22.408767700195312,222,0.05111762881278992,49000,90
0.00075,218,500.0,3764,0.9088291599999999,-29.88467025756836,0.059820182621479034,-22.01552391052246,255,0.042050495743751526,56000,100
,218,500.0,,0.9088291599999999,,,,255,,56000,110
0.00075,218,500.0,4264,0.8929725299999999,-35.09348678588867,0.04145214706659317,-21.72834014892578,288,7.3306379318237305,63000,120
0.00075,217,500.0,4764,1.0207238199999997,-38.77820587158203,0.02888760343194008,-21.753833770751953,321,2.596320152282715,70000,130
,217,500.0,,1.0207238199999997,,,,321,,70000,140
0.00075,217,500.0,5264,0.97624091,-40.34300994873047,0.020327186211943626,-20.84404754638672,354,4.321004867553711,77000,150
0.00075,216,500.0,5764,0.9447618600000002,-37.586280822753906,0.0145182553678751,-20.03069496154785,387,3.238586902618408,84000,160
0.00075,215,500.0,6264,0.96441419,-37.77493667602539,0.010579060763120651,-19.569351196289062,421,3.169187545776367,91000,170
,215,500.0,,0.96441419,,,,421,,91000,180
0.00075,215,500.0,6764,1.04075441,-28.590660095214844,0.007943043485283852,-19.57442283630371,454,2.7259206771850586,98000,190
0.00075,215,500.0,7264,1.1127670499999998,-24.218902587890625,0.006127570290118456,-18.879941940307617,487,0.06149628013372421,105000,200
,215,500.0,,1.1127670499999998,,,,487,,105000,210
0.00075,214,500.0,7764,1.1523983800000002,-24.701343536376953,0.0048332237638533115,-18.654212951660156,521,0.05536176264286041,112000,220
0.00075,214,500.0,8264,1.05350768,-14.282527923583984,0.004018823616206646,-18.12063980102539,554,0.03930031880736351,119000,230
0.00075,214,500.0,8764,1.08156751,-6.612096786499023,0.0035122770350426435,-17.618183135986328,587,0.061939939856529236,126000,240
,214,500.0,,1.08156751,,,,587,,126000,250
0.00075,213,500.0,9264,1.16081318,1.7061469554901123,0.0032407864928245544,-17.07769775390625,622,0.026766344904899597,133000,260
