time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/time_elapsed,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/fps
404,500.0,3.895934820175171,-15.883434295654297,719,0.0022498690523207188,3.141139030456543,0.00075,10334,210000,2.76,292
408,500.0,,,719,,,,,210000,2.76,292
412,500.0,,,719,,,,,210000,2.76,292
416,500.0,,,719,,,,,210000,2.76,292
420,500.0,,,719,,,,,210000,2.76,292
424,500.0,0.05825803801417351,-15.530609130859375,752,0.002220908412709832,-12.006568908691406,0.00075,10834,220000,3.9,292
428,500.0,,,752,,,,,220000,3.9,292
432,500.0,,,752,,,,,220000,3.9,292
436,500.0,,,752,,,,,220000,3.9,292
440,500.0,,,752,,,,,220000,3.9,292
444,500.0,0.01337024662643671,-15.4036283493042,787,0.002009958028793335,-17.724563598632812,0.00075,11334,230000,6.5,292
448,500.0,,,787,,,,,230000,6.5,292
452,500.0,,,787,,,,,230000,6.5,292
456,500.0,,,787,,,,,230000,6.5,292
460,500.0,,,787,,,,,230000,6.5,292
464,500.0,0.02122480981051922,-14.682455062866211,819,0.002016169484704733,-1.3412160873413086,0.00075,11834,240000,3.74,292
468,500.0,,,819,,,,,240000,3.74,292
472,500.0,,,819,,,,,240000,3.74,292
476,500.0,,,819,,,,,240000,3.74,292
480,500.0,,,819,,,,,240000,3.74,292
484,500.0,0.0811215192079544,-13.965686798095703,852,0.002252850215882063,2.3170132637023926,0.00075,12334,250000,3.74,293
488,500.0,,,852,,,,,250000,3.74,293
492,500.0,,,852,,,,,250000,3.74,293
496,500.0,,,852,,,,,250000,3.74,293
500,500.0,,,852,,,,,250000,3.74,293
504,500.0,1.499691128730774,-13.973722457885742,885,0.0020721389446407557,15.506658554077148,0.00075,12834,260000,3.81,293
508,500.0,,,885,,,,,260000,3.81,293
512,500.0,,,885,,,,,260000,3.81,293
516,500.0,,,885,,,,,260000,3.81,293
520,500.0,,,885,,,,,260000,3.81,293
524,500.0,0.016763420775532722,-13.786643981933594,918,0.0019150448497384787,5.170665264129639,0.00075,13334,270000,2.67,293
528,500.0,,,918,,,,,270000,2.67,293
532,500.0,,,918,,,,,270000,2.67,293
536,500.0,,,918,,,,,270000,2.67,293
540,500.0,,,918,,,,,270000,2.67,293
544,500.0,0.029570570215582848,-13.158437728881836,951,0.0017423767130821943,8.583523750305176,0.00075,13834,280000,0.07,294
548,500.0,,,951,,,,,280000,0.07,294
552,500.0,,,951,,,,,280000,0.07,294
556,500.0,,,951,,,,,280000,0.07,294
560,500.0,,,951,,,,,280000,0.07,294
564,500.0,0.04779789596796036,-13.176546096801758,984,0.0019128290005028248,7.046087741851807,0.00075,14334,290000,0.07,294
568,500.0,,,984,,,,,290000,0.07,294
572,500.0,,,984,,,,,290000,0.07,294
576,500.0,,,984,,,,,290000,0.07,294
580,500.0,,,984,,,,,290000,0.07,294
584,500.0,0.02450624108314514,-12.740044593811035,1017,0.0018531642854213715,-2.6239662170410156,0.00075,14834,300000,0.31,294
588,500.0,,,1017,,,,,300000,0.31,294
592,500.0,,,1017,,,,,300000,0.31,294
596,500.0,,,1017,,,,,300000,0.31,294
600,500.0,,,1017,,,,,300000,0.31,294
604,500.0,0.01630917564034462,-12.683494567871094,1049,0.0016979314386844635,9.391202926635742,0.00075,15334,310000,2.54,295
608,500.0,,,1049,,,,,310000,2.54,295
612,500.0,,,1049,,,,,310000,2.54,295
616,500.0,,,1049,,,,,310000,2.54,295
620,500.0,,,1049,,,,,310000,2.54,295
624,500.0,1.3316676616668701,-12.205657958984375,1081,0.0019375929841771722,-1.1818022727966309,0.00075,15834,320000,4.03,295
628,500.0,,,1081,,,,,320000,4.03,295
632,500.0,,,1081,,,,,320000,4.03,295
636,500.0,,,1081,,,,,320000,4.03,295
640,500.0,,,1081,,,,,320000,4.03,295
644,500.0,0.016181569546461105,-12.234952926635742,1114,0.002087831264361739,-1.0751540660858154,0.00075,16334,330000,4.03,296
648,500.0,,,1114,,,,,330000,4.03,296
652,500.0,,,1114,,,,,330000,4.03,296
656,500.0,,,1114,,,,,330000,4.03,296
660,500.0,,,1114,,,,,330000,4.03,296
664,500.0,0.016896279528737068,-11.956986427307129,1147,0.0018239335622638464,-15.426231384277344,0.00075,16834,340000,4.87,296
668,500.0,,,1147,,,,,340000,4.87,296
672,500.0,,,1147,,,,,340000,4.87,296
676,500.0,,,1147,,,,,340000,4.87,296
680,500.0,,,1147,,,,,340000,4.87,296
684,500.0,0.9088928699493408,-11.661041259765625,1180,0.0016751575749367476,-1.0529472827911377,0.00075,17334,350000,10.82,296
688,500.0,,,1180,,,,,350000,10.82,296
692,500.0,,,1180,,,,,350000,10.82,296
696,500.0,,,1180,,,,,350000,10.82,296
700,500.0,,,1180,,,,,350000,10.82,296
704,500.0,0.026031367480754852,-11.045536041259766,1212,0.0015914274845272303,10.639951705932617,0.00075,17834,360000,9.84,296
708,500.0,,,1212,,,,,360000,9.84,296
712,500.0,,,1212,,,,,360000,9.84,296
716,500.0,,,1212,,,,,360000,9.84,296
720,500.0,,,1212,,,,,360000,9.84,296
724,500.0,0.022459622472524643,-11.047247886657715,1246,0.0018307168502360582,-8.79919719696045,0.00075,18334,370000,13.06,296
728,500.0,,,1246,,,,,370000,13.06,296
732,500.0,,,1246,,,,,370000,13.06,296
736,500.0,,,1246,,,,,370000,13.06,296
740,500.0,,,1246,,,,,370000,13.06,296
744,500.0,0.01848566345870495,-10.825614929199219,1279,0.0016089327400550246,-0.6332968473434448,0.00075,18834,380000,13.06,297
748,500.0,,,1279,,,,,380000,13.06,297
752,500.0,,,1279,,,,,380000,13.06,297
756,500.0,,,1279,,,,,380000,13.06,297
760,500.0,,,1279,,,,,380000,13.06,297
764,500.0,0.01352318562567234,-10.803767204284668,1312,0.001612048945389688,2.450178861618042,0.00075,19334,390000,15.84,297
768,500.0,,,1312,,,,,390000,15.84,297
772,500.0,,,1312,,,,,390000,15.84,297
776,500.0,,,1312,,,,,390000,15.84,297
780,500.0,,,1312,,,,,390000,15.84,297
784,500.0,0.020452499389648438,-10.344827651977539,1345,0.001690557925030589,-10.856493949890137,0.00075,19834,400000,14.73,297
788,500.0,,,1345,,,,,400000,14.73,297
792,500.0,,,1345,,,,,400000,14.73,297
796,500.0,,,1345,,,,,400000,14.73,297
800,500.0,,,1345,,,,,400000,14.73,297
804,500.0,0.22521352767944336,-10.244739532470703,1377,0.001591256819665432,-15.781890869140625,0.00075,20334,410000,18.49,297
808,500.0,,,1377,,,,,410000,18.49,297
812,500.0,,,1377,,,,,410000,18.49,297
816,500.0,,,1377,,,,,410000,18.49,297
820,500.0,,,1377,,,,,410000,18.49,297
824,500.0,0.03262696415185928,-10.258577346801758,1409,0.0016249690670520067,-3.9585280418395996,0.00075,20834,420000,18.0,297
828,500.0,,,1410,,,,,420000,18.0,297
832,500.0,,,1410,,,,,420000,18.0,297
836,500.0,,,1410,,,,,420000,18.0,297
840,500.0,,,1410,,,,,420000,18.0,297
844,500.0,0.1019875556230545,-9.91672420501709,1442,0.0015761505346745253,4.640439987182617,0.00075,21334,430000,18.0,298
848,500.0,,,1442,,,,,430000,18.0,298
852,500.0,,,1442,,,,,430000,18.0,298
856,500.0,,,1442,,,,,430000,18.0,298
860,500.0,,,1442,,,,,430000,18.0,298
864,500.0,0.010201305150985718,-9.519937515258789,1475,0.001690447679720819,6.103363990783691,0.00075,21834,440000,16.53,298
868,500.0,,,1475,,,,,440000,16.53,298
872,500.0,,,1475,,,,,440000,16.53,298
876,500.0,,,1475,,,,,440000,16.53,298
880,500.0,,,1475,,,,,440000,16.53,298
884,500.0,0.017895717173814774,-9.388635635375977,1508,0.0016449125250801444,8.667112350463867,0.00075,22334,450000,11.45,298
888,500.0,,,1508,,,,,450000,11.45,298
892,500.0,,,1508,,,,,450000,11.45,298
896,500.0,,,1508,,,,,450000,11.45,298
900,500.0,,,1508,,,,,450000,11.45,298
904,500.0,0.021358925849199295,-9.38882064819336,1540,0.0019414866110309958,-3.3071627616882324,0.00075,22834,460000,6.49,298
908,500.0,,,1540,,,,,460000,6.49,298
912,500.0,,,1540,,,,,460000,6.49,298
916,500.0,,,1540,,,,,460000,6.49,298
920,500.0,,,1540,,,,,460000,6.49,298
924,500.0,0.06008300185203552,-9.579980850219727,1573,0.0017428703140467405,-3.5211641788482666,0.00075,23334,470000,2.94,298
928,500.0,,,1573,,,,,470000,2.94,298
932,500.0,,,1573,,,,,470000,2.94,298
936,500.0,,,1573,,,,,470000,2.94,298
940,500.0,,,1573,,,,,470000,2.94,298
944,500.0,0.1404210329055786,-8.90575885772705,1606,0.0016767341876402497,8.434513092041016,0.00075,23834,480000,9.88,298
948,500.0,,,1606,,,,,480000,9.88,298
952,500.0,,,1606,,,,,480000,9.88,298
956,500.0,,,1606,,,,,480000,9.88,298
960,500.0,,,1606,,,,,480000,9.88,298
964,500.0,0.10378500819206238,-9.151256561279297,1639,0.001566633814945817,1.855765461921692,0.00075,24334,490000,7.73,298
968,500.0,,,1639,,,,,490000,7.73,298
972,500.0,,,1639,,,,,490000,7.73,298
976,500.0,,,1639,,,,,490000,7.73,298
980,500.0,,,1639,,,,,490000,7.73,298
984,500.0,0.14298611879348755,-9.313758850097656,1672,0.0018153097480535507,6.533144950866699,0.00075,24834,500000,9.55,298
988,500.0,,,1672,,,,,500000,9.55,298
992,500.0,,,1672,,,,,500000,9.55,298
996,500.0,,,1672,,,,,500000,9.55,298
1000,500.0,,,1672,,,,,500000,9.55,298
1004,500.0,0.07380595803260803,-8.473159790039062,1704,0.0018550306558609009,8.375503540039062,0.00075,25334,510000,11.08,299
1008,500.0,,,1704,,,,,510000,11.08,299
1012,500.0,,,1704,,,,,510000,11.08,299
1016,500.0,,,1704,,,,,510000,11.08,299
1020,500.0,,,1704,,,,,510000,11.08,299
1024,500.0,0.11950011551380157,-9.322973251342773,1737,0.0022238437086343765,-0.1076211929321289,0.00075,25834,520000,15.04,299
1028,500.0,,,1737,,,,,520000,15.04,299
1032,500.0,,,1737,,,,,520000,15.04,299
1036,500.0,,,1737,,,,,520000,15.04,299
1040,500.0,,,1737,,,,,520000,15.04,299
1044,500.0,0.01267910748720169,-8.071224212646484,1769,0.002139612566679716,-3.5309839248657227,0.00075,26334,530000,12.68,299
1048,500.0,,,1769,,,,,530000,12.68,299
1052,500.0,,,1769,,,,,530000,12.68,299
1056,500.0,,,1769,,,,,530000,12.68,299
1060,500.0,,,1769,,,,,530000,12.68,299
1064,500.0,0.4261561632156372,-7.793607234954834,1802,0.0023883029352873564,-6.904473304748535,0.00075,26834,540000,20.35,299
1068,500.0,,,1802,,,,,540000,20.35,299
1072,500.0,,,1802,,,,,540000,20.35,299
1076,500.0,,,1802,,,,,540000,20.35,299
1080,500.0,,,1802,,,,,540000,20.35,299
1084,500.0,0.42451781034469604,-8.325343132019043,1835,0.0023589760530740023,5.703750133514404,0.00075,27334,550000,27.89,299
1088,500.0,,,1835,,,,,550000,27.89,299
1092,500.0,,,1835,,,,,550000,27.89,299
1096,500.0,,,1835,,,,,550000,27.89,299
1100,500.0,,,1835,,,,,550000,27.89,299
1104,500.0,0.51116544008255,-9.107921600341797,1867,0.0024387522134929895,3.3191678524017334,0.00075,27834,560000,33.36,299
1108,500.0,,,1867,,,,,560000,33.36,299
1112,500.0,,,1867,,,,,560000,33.36,299
1116,500.0,,,1867,,,,,560000,33.36,299
1120,500.0,,,1867,,,,,560000,33.36,299
1124,500.0,0.09408245235681534,-8.942601203918457,1900,0.002381478436291218,-5.439657688140869,0.00075,28334,570000,31.36,299
1128,500.0,,,1900,,,,,570000,31.36,299
1132,500.0,,,1900,,,,,570000,31.36,299
1136,500.0,,,1900,,,,,570000,31.36,299
1140,500.0,,,1900,,,,,570000,31.36,299
1144,500.0,0.032122038304805756,-7.395007610321045,1933,0.0022374277468770742,0.6166249513626099,0.00075,28834,580000,31.22,299
1148,500.0,,,1933,,,,,580000,31.22,299
1152,500.0,,,1933,,,,,580000,31.22,299
1156,500.0,,,1933,,,,,580000,31.22,299
1160,500.0,,,1933,,,,,580000,31.22,299
1164,500.0,0.3496834337711334,-10.08983039855957,1966,0.002046376233920455,6.385676860809326,0.00075,29334,590000,28.91,300
1168,500.0,,,1966,,,,,590000,28.91,300
1172,500.0,,,1966,,,,,590000,28.91,300
1176,500.0,,,1966,,,,,590000,28.91,300
1180,500.0,,,1966,,,,,590000,28.91,300
1184,500.0,0.29466328024864197,-8.05632495880127,1998,0.0023423065431416035,24.414581298828125,0.00075,29834,600000,35.36,300
1188,500.0,,,1998,,,,,600000,35.36,300
1192,500.0,,,1998,,,,,600000,35.36,300
1196,500.0,,,1998,,,,,600000,35.36,300
1200,500.0,,,1998,,,,,600000,35.36,300
1204,500.0,0.0681929886341095,-7.197887897491455,2030,0.002115938114002347,-0.7660407423973083,0.00075,30334,610000,41.4,300
1208,500.0,,,2031,,,,,610000,41.4,300
1212,500.0,,,2031,,,,,610000,41.4,300
1216,500.0,,,2031,,,,,610000,41.4,300
1220,500.0,,,2031,,,,,610000,41.4,300
1224,500.0,0.22384434938430786,-8.038429260253906,2064,0.002395972376689315,-4.13459587097168,0.00075,30834,620000,49.59,300
1228,500.0,,,2064,,,,,620000,49.59,300
1232,500.0,,,2064,,,,,620000,49.59,300
1236,500.0,,,2064,,,,,620000,49.59,300
1240,500.0,,,2064,,,,,620000,49.59,300
1244,500.0,0.040595777332782745,-6.733621597290039,2097,0.0025407024659216404,-7.15968132019043,0.00075,31334,630000,45.94,300
1248,500.0,,,2097,,,,,630000,45.94,300
1252,500.0,,,2097,,,,,630000,45.94,300
1256,500.0,,,2097,,,,,630000,45.94,300
1260,500.0,,,2097,,,,,630000,45.94,300
1264,500.0,0.0706750676035881,-7.732565879821777,2129,0.0025173835456371307,12.720003128051758,0.00075,31834,640000,50.39,300
1268,500.0,,,2129,,,,,640000,50.39,300
1272,500.0,,,2129,,,,,640000,50.39,300
1276,500.0,,,2129,,,,,640000,50.39,300
1280,500.0,,,2129,,,,,640000,50.39,300
1284,500.0,0.2044038474559784,-8.921619415283203,2162,0.0028026094660162926,-4.970236301422119,0.00075,32334,650000,57.59,300
1288,500.0,,,2162,,,,,650000,57.59,300
1292,500.0,,,2162,,,,,650000,57.59,300
1296,500.0,,,2162,,,,,650000,57.59,300
1300,500.0,,,2162,,,,,650000,57.59,300
1304,500.0,0.7859204411506653,-8.508278846740723,2194,0.0026387376710772514,-6.045412540435791,0.00075,32834,660000,66.35,300
1308,500.0,,,2194,,,,,660000,66.35,300
1312,500.0,,,2194,,,,,660000,66.35,300
1316,500.0,,,2194,,,,,660000,66.35,300
1320,500.0,,,2194,,,,,660000,66.35,300
1324,500.0,0.5194593071937561,-8.394707679748535,2227,0.0031234014313668013,0.928308367729187,0.00075,33334,670000,120.07,300
1328,500.0,,,2227,,,,,670000,120.07,300
1332,500.0,,,2227,,,,,670000,120.07,300
1336,500.0,,,2227,,,,,670000,120.07,300
1340,500.0,,,2227,,,,,670000,120.07,300
1344,500.0,0.07292435318231583,-8.597213745117188,2260,0.0035992031916975975,-6.230072498321533,0.00075,33834,680000,125.53,300
1348,500.0,,,2260,,,,,680000,125.53,300
1352,500.0,,,2260,,,,,680000,125.53,300
1356,500.0,,,2260,,,,,680000,125.53,300
1360,500.0,,,2260,,,,,680000,125.53,300
1364,500.0,0.20678234100341797,-9.028236389160156,2293,0.003573809051886201,12.58573055267334,0.00075,34334,690000,119.57,300
1368,500.0,,,2293,,,,,690000,119.57,300
1372,500.0,,,2293,,,,,690000,119.57,300
1376,500.0,,,2293,,,,,690000,119.57,300
1380,500.0,,,2293,,,,,690000,119.57,300
1384,500.0,0.15700286626815796,-10.064220428466797,2325,0.0041165840812027454,1.2316426038742065,0.00075,34834,700000,125.25,300
1388,500.0,,,2325,,,,,700000,125.25,300
1392,500.0,,,2325,,,,,700000,125.25,300
1396,500.0,,,2325,,,,,700000,125.25,300
1400,500.0,,,2325,,,,,700000,125.25,300
1404,500.0,0.21974623203277588,-8.787020683288574,2358,0.004010375589132309,-9.524467468261719,0.00075,35334,710000,144.19,301
1408,500.0,,,2358,,,,,710000,144.19,301
1412,500.0,,,2358,,,,,710000,144.19,301
1416,500.0,,,2358,,,,,710000,144.19,301
1420,500.0,,,2358,,,,,710000,144.19,301
1424,500.0,0.10233467817306519,-10.390457153320312,2391,0.004631106276065111,5.58030891418457,0.00075,35834,720000,122.97,301
1428,500.0,,,2391,,,,,720000,122.97,301
1432,500.0,,,2391,,,,,720000,122.97,301
1436,500.0,,,2391,,,,,720000,122.97,301
1440,500.0,,,2391,,,,,720000,122.97,301
1444,500.0,1.1927459239959717,-10.269156455993652,2424,0.004712928552180529,5.299490928649902,0.00075,36334,730000,144.53,301
1448,500.0,,,2424,,,,,730000,144.53,301
1452,500.0,,,2424,,,,,730000,144.53,301
1456,500.0,,,2424,,,,,730000,144.53,301
1460,500.0,,,2424,,,,,730000,144.53,301
1464,500.0,0.473066508769989,-11.771795272827148,2456,0.005105155054479837,-1.318282961845398,0.00075,36834,740000,190.49,301
1468,500.0,,,2456,,,,,740000,190.49,301
1472,500.0,,,2456,,,,,740000,190.49,301
1476,500.0,,,2456,,,,,740000,190.49,301
1480,500.0,,,2456,,,,,740000,190.49,301
1484,500.0,0.11968360096216202,-11.88986587524414,2489,0.006061440799385309,1.0766794681549072,0.00075,37334,750000,191.77,301
1488,500.0,,,2489,,,,,750000,191.77,301
1492,500.0,,,2489,,,,,750000,191.77,301
1496,500.0,,,2489,,,,,750000,191.77,301
1500,500.0,,,2489,,,,,750000,191.77,301
1504,500.0,0.3358246386051178,-12.389575958251953,2522,0.006855623330920935,0.5386354327201843,0.00075,37834,760000,186.09,301
1508,500.0,,,2522,,,,,760000,186.09,301
1512,500.0,,,2522,,,,,760000,186.09,301
1516,500.0,,,2522,,,,,760000,186.09,301
1520,500.0,,,2522,,,,,760000,186.09,301
1524,500.0,0.5144334435462952,-11.618964195251465,2555,0.007310851477086544,-5.321786403656006,0.00075,38334,770000,171.03,301
1528,500.0,,,2555,,,,,770000,171.03,301
1532,500.0,,,2555,,,,,770000,171.03,301
1536,500.0,,,2555,,,,,770000,171.03,301
1540,500.0,,,2555,,,,,770000,171.03,301
1544,500.0,2.3963894844055176,-14.46428394317627,2587,0.00638412544503808,-2.806166172027588,0.00075,38834,780000,182.84,301
1548,500.0,,,2587,,,,,780000,182.84,301
1552,500.0,,,2587,,,,,780000,182.84,301
1556,500.0,,,2587,,,,,780000,182.84,301
1560,500.0,,,2587,,,,,780000,182.84,301
1564,500.0,1.098863124847412,-14.493782043457031,2620,0.007736473809927702,1.022915005683899,0.00075,39334,790000,164.83,301
1568,500.0,,,2620,,,,,790000,164.83,301
1572,500.0,,,2621,,,,,790000,164.83,301
1576,500.0,,,2621,,,,,790000,164.83,301
1580,500.0,,,2621,,,,,790000,164.83,301
1584,500.0,2.2571611404418945,-14.439352035522461,2654,0.007366146892309189,-4.2961745262146,0.00075,39834,800000,154.48,301
1588,500.0,,,2654,,,,,800000,154.48,301
1592,500.0,,,2654,,,,,800000,154.48,301
1596,500.0,,,2654,,,,,800000,154.48,301
1600,500.0,,,2654,,,,,800000,154.48,301
1604,500.0,0.8294643759727478,-12.76934814453125,2687,0.007871003821492195,-0.050352513790130615,0.00075,40334,810000,148.22,301
1608,500.0,,,2687,,,,,810000,148.22,301
1612,500.0,,,2687,,,,,810000,148.22,301
1616,500.0,,,2687,,,,,810000,148.22,301
1620,500.0,,,2687,,,,,810000,148.22,301
1624,500.0,0.9047751426696777,-14.3720121383667,2720,0.006810805294662714,-1.9274846315383911,0.00075,40834,820000,146.02,301
1628,500.0,,,2720,,,,,820000,146.02,301
1632,500.0,,,2720,,,,,820000,146.02,301
1636,500.0,,,2720,,,,,820000,146.02,301
1640,500.0,,,2720,,,,,820000,146.02,301
1644,500.0,2.1927053928375244,-15.911867141723633,2753,0.007874987088143826,1.6110397577285767,0.00075,41334,830000,167.49,301
1648,500.0,,,2753,,,,,830000,167.49,301
1652,500.0,,,2753,,,,,830000,167.49,301
1656,500.0,,,2753,,,,,830000,167.49,301
1660,500.0,,,2753,,,,,830000,167.49,301
1664,500.0,0.6252518892288208,-18.66999053955078,2786,0.00851989071816206,-3.305119037628174,0.00075,41834,840000,142.98,301
1668,500.0,,,2786,,,,,840000,142.98,301
1672,500.0,,,2786,,,,,840000,142.98,301
1676,500.0,,,2786,,,,,840000,142.98,301
1680,500.0,,,2786,,,,,840000,142.98,301
1684,500.0,1.0630912780761719,-16.923234939575195,2818,0.008518485352396965,0.48930007219314575,0.00075,42334,850000,128.7,301
1688,500.0,,,2818,,,,,850000,128.7,301
1692,500.0,,,2818,,,,,850000,128.7,301
1696,500.0,,,2818,,,,,850000,128.7,301
1700,500.0,,,2818,,,,,850000,128.7,301
1704,500.0,0.7434128522872925,-18.8220157623291,2851,0.007403105963021517,1.6888437271118164,0.00075,42834,860000,121.29,301
1708,500.0,,,2851,,,,,860000,121.29,301
1712,500.0,,,2851,,,,,860000,121.29,301
1716,500.0,,,2851,,,,,860000,121.29,301
1720,500.0,,,2851,,,,,860000,121.29,301
1724,500.0,0.9715784788131714,-19.3560791015625,2884,0.0074351574294269085,3.7994308471679688,0.00075,43334,870000,152.72,301
1728,500.0,,,2884,,,,,870000,152.72,301
1732,500.0,,,2884,,,,,870000,152.72,301
1736,500.0,,,2884,,,,,870000,152.72,301
