train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,train/n_updates
0.00075,500.0,26,0.8208439350128174,-11.640417098999023,0.0,7000,0.07281557470560074,-2.3308231830596924,262,10,264
0.00075,500.0,58,0.5640622973442078,-15.7205228805542,0.0,14000,0.0471532940864563,-6.754295349121094,240,20,764
0.00075,500.0,89,0.38764262199401855,-18.949207305908203,0.0,21000,0.06550458073616028,-11.198699951171875,234,30,1264
,500.0,89,,,0.0,21000,,,234,40,
0.00075,500.0,121,0.2664348781108856,-20.6444091796875,0.0,28000,5.6332244873046875,-15.60996150970459,230,50,1764
0.00075,500.0,152,0.1832055002450943,-22.075796127319336,0.0,35000,3.2933239936828613,-19.97077178955078,228,60,2264
,500.0,152,,,0.0,35000,,,228,70,
0.00075,500.0,185,0.12601587176322937,-22.35171890258789,0.0,42000,7.213470935821533,-24.209697723388672,226,80,2764
0.00075,500.0,217,0.08684132993221283,-22.30596160888672,0.0,49000,0.1439826637506485,-28.463623046875,225,90,3264
0.00075,500.0,248,0.059895776212215424,-22.550554275512695,0.0,56000,0.030424825847148895,-30.449813842773438,224,100,3764
,500.0,249,,,0.0,56000,,,224,110,
0.00075,500.0,281,0.04154766723513603,-22.145729064941406,0.0,63000,0.03449585661292076,-36.13982391357422,223,120,4264
0.00075,500.0,313,0.02896423637866974,-21.91167640686035,0.0,70000,0.02470511384308338,-39.501197814941406,223,130,4764
,500.0,313,,,0.0,70000,,,223,140,
0.00075,500.0,344,0.020271988585591316,-21.065322875976562,0.0,77000,0.05169838294386864,-36.442012786865234,223,150,5264
0.00075,500.0,375,0.014612601138651371,-20.21270751953125,0.0,84000,2.1649770736694336,-31.95179557800293,223,160,5764
0.00075,500.0,407,0.010794871486723423,-19.763389587402344,0.0,91000,6.297760009765625,-27.955625534057617,223,170,6264
,500.0,407,,,0.0,91000,,,223,180,
0.00075,500.0,439,0.00820456724613905,-19.393672943115234,0.0,98000,3.574742317199707,5.940101623535156,222,190,6764
0.00075,500.0,471,0.006524251773953438,-18.91716766357422,0.0,105000,2.454970359802246,-19.052173614501953,222,200,7264
,500.0,471,,,0.0,105000,,,222,210,
0.00075,500.0,502,0.005192376207560301,-18.90073013305664,0.0,112000,0.03654425963759422,-18.982704162597656,222,220,7764
0.00075,500.0,534,0.004402602091431618,-18.15284538269043,0.0,119000,0.05055246502161026,-26.580097198486328,222,230,8264
0.00075,500.0,566,0.003767875488847494,-17.671669006347656,0.0,126000,1.1113368272781372,4.264772891998291,222,240,8764
,500.0,566,,,0.0,126000,,,222,250,
