rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,train/actor_loss,time/episodes,rollout/ep_len_mean,train/ent_coef,time/total_timesteps,time/time_elapsed
1.278646857142857,264,0.1759602129459381,-2.319998264312744,233,0.00075,-11.54730224609375,10,500.0,0.8208044767379761,7000,30
1.094768285714286,764,0.03436329588294029,-6.765428066253662,223,0.00075,-15.49641227722168,20,500.0,0.5640392899513245,14000,62
1.1193293333333334,1264,0.05168275162577629,-11.138932228088379,222,0.00075,-18.297069549560547,30,500.0,0.3876309394836426,21000,94
1.1193293333333334,,,,222,,,40,500.0,,21000,94
1.0755208035714285,1764,0.03865070268511772,-15.581552505493164,221,0.00075,-20.305545806884766,50,500.0,0.26643630862236023,28000,126
1.1099978000000001,2264,0.05653618276119232,-19.897991180419922,221,0.00075,-21.300552368164062,60,500.0,0.18317611515522003,35000,158
1.1099978000000001,,,,220,,,70,500.0,,35000,158
1.0823237023809524,2764,0.0455617792904377,-24.29401206970215,220,0.00075,-21.923843383789062,80,500.0,0.12600703537464142,42000,190
1.0998650510204082,3264,0.044241830706596375,-28.410717010498047,220,0.00075,-22.290138244628906,90,500.0,0.08691060543060303,49000,221
1.03986044,3764,0.04038210213184357,-32.43840026855469,221,0.00075,-22.3748779296875,100,500.0,0.05999115854501724,56000,253
1.03986044,,,,221,,,110,500.0,,56000,253
1.07916156,4264,0.022340336814522743,-35.92997741699219,221,0.00075,-22.042945861816406,120,500.0,0.04155036062002182,63000,284
1.1813577000000002,4764,0.03579773008823395,-38.483726501464844,221,0.00075,-21.416378021240234,130,500.0,0.028901126235723495,70000,316
1.1813577000000002,,,,221,,,140,500.0,,70000,316
1.2170765199999998,5264,0.04441838711500168,-38.588096618652344,221,0.00075,-21.080642700195312,150,500.0,0.02047530934214592,77000,347
1.1615866000000001,5764,2.944279670715332,-31.924724578857422,221,0.00075,-20.458560943603516,160,500.0,0.014867918565869331,84000,379
1.13282263,6264,2.49591064453125,-33.205169677734375,221,0.00075,-20.067485809326172,170,500.0,0.010988922789692879,91000,411
1.13282263,,,,221,,,180,500.0,,91000,411
1.1022448599999999,6764,0.1946074366569519,-18.76438331604004,221,0.00075,-19.40958023071289,190,500.0,0.008750920183956623,98000,442
1.2429106200000002,7264,2.6429786682128906,-16.17880630493164,221,0.00075,-19.16326904296875,200,500.0,0.007028202526271343,105000,474
1.2429106200000002,,,,221,,,210,500.0,,105000,474
1.19785562,7764,0.06243770569562912,-14.846555709838867,221,0.00075,-18.631486892700195,220,500.0,0.005802098195999861,112000,505
1.10616128,8264,0.034824952483177185,-4.166323184967041,221,0.00075,-18.44264793395996,230,500.0,0.0050527905113995075,119000,536
0.9926834,8764,0.03660370782017708,-11.769079208374023,222,0.00075,-17.78775978088379,240,500.0,0.004531400743871927,126000,567
0.9926834,,,,222,,,250,500.0,,126000,567
1.0967209199999999,9264,0.047946736216545105,1.433475136756897,222,0.00075,-17.366384506225586,260,500.0,0.004067262634634972,133000,597
1.1085380900000001,9764,1.7165428400039673,-3.8069162368774414,222,0.00075,-17.05475425720215,270,500.0,0.003937891684472561,140000,629
1.1085380900000001,,,,222,,,280,500.0,,140000,629
1.16128415,10264,0.03782781958580017,5.100733280181885,222,0.00075,-16.69918441772461,290,500.0,0.003903326578438282,147000,660
0.99970959,10764,0.03758323937654495,-0.3275609016418457,222,0.00075,-16.54482078552246,300,500.0,0.003730337368324399,154000,691
0.9853950400000001,11264,0.09607301652431488,1.1751477718353271,222,0.00075,-15.850104331970215,310,500.0,0.003665897296741605,161000,723
0.9853950400000001,,,,222,,,320,500.0,,161000,723
1.14007888,11764,0.04047732055187225,-3.1171493530273438,222,0.00075,-15.95434284210205,330,500.0,0.0035859611816704273,168000,754
1.30943199,12264,0.03145281970500946,-5.2115397453308105,222,0.00075,-15.032798767089844,340,500.0,0.0032257880084216595,175000,785
1.30943199,,,,222,,,350,500.0,,175000,785
1.51859914,12764,0.03266619145870209,5.445717811584473,222,0.00075,-15.112410545349121,360,500.0,0.003100853879004717,182000,818
1.4830482199999997,13264,0.6189603805541992,-6.116300582885742,222,0.00075,-14.769845962524414,370,500.0,0.0030442222487181425,189000,850
1.4332034899999997,13764,0.017630964517593384,0.02234816551208496,222,0.00075,-14.638079643249512,380,500.0,0.0028481411281973124,196000,882
1.4332034899999997,,,,222,,,390,500.0,,196000,882
1.42562438,14264,0.5781294107437134,-6.070194244384766,222,0.00075,-14.305253982543945,400,500.0,0.0027840964030474424,203000,914
1.56388328,14764,0.026736898347735405,0.5381450057029724,221,0.00075,-14.164634704589844,410,500.0,0.0022554288152605295,210000,946
1.56388328,,,,221,,,420,500.0,,210000,946
1.9206362099999998,15264,0.030135851353406906,5.077363014221191,221,0.00075,-13.534720420837402,430,500.0,0.0024126535281538963,217000,979
1.7706752499999994,15764,0.01415208075195551,-7.840611934661865,221,0.00075,-13.386289596557617,440,500.0,0.002344374777749181,224000,1011
1.7570405,16264,0.02153635025024414,-6.453191757202148,221,0.00075,-13.07910442352295,450,500.0,0.002271571895107627,231000,1043
1.7570405,,,,221,,,460,500.0,,231000,1043
1.7154079399999997,16764,0.025890979915857315,2.4666805267333984,221,0.00075,-12.751607894897461,470,500.0,0.002321953885257244,238000,1076
1.7174036199999998,17264,0.030773915350437164,-1.1310651302337646,220,0.00075,-12.762357711791992,480,500.0,0.00234793359413743,245000,1108
1.7174036199999998,,,,220,,,490,500.0,,245000,1108
