train/critic_loss,time/total_timesteps,train/ent_coef,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef_loss,train/n_updates,time/time_elapsed,train/learning_rate
0.08673270791769028,10000,0.7787953615188599,4,0.8760304,500.0,-12.271387100219727,320,-2.949709892272949,334,31,0.00075
,10000,,8,0.8760304,500.0,,320,,,31,
,10000,,12,0.8760304,500.0,,320,,,31,
,10000,,16,0.8760304,500.0,,320,,,31,
,10000,,20,0.8760304,500.0,,320,,,31,
0.04920710623264313,20000,0.5351691246032715,24,1.132943525,500.0,-16.18584442138672,311,-7.35276985168457,834,64,0.00075
,20000,,28,1.132943525,500.0,,311,,,64,
,20000,,32,1.132943525,500.0,,311,,,64,
,20000,,36,1.132943525,500.0,,311,,,64,
,20000,,40,1.132943525,500.0,,311,,,64,
2.3844094276428223,30000,0.36780497431755066,44,1.169487883333333,500.0,-19.00931167602539,308,-11.81839370727539,1334,97,0.00075
,30000,,48,1.169487883333333,500.0,,308,,,97,
,30000,,52,1.169487883333333,500.0,,308,,,97,
,30000,,56,1.169487883333333,500.0,,308,,,97,
,30000,,60,1.169487883333333,500.0,,308,,,97,
