time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss
297,4,10000,0.00075,0.7788559794425964,0.04360334202647209,334,500.0,-11.984756469726562,0.9399446500000004,33,-2.9345459938049316
297,8,10000,,,,,500.0,,0.9399446500000004,33,
297,12,10000,,,,,500.0,,0.9399446500000004,33,
297,16,10000,,,,,500.0,,0.9399446500000004,33,
297,20,10000,,,,,500.0,,0.9399446500000004,33,
300,24,20000,0.00075,0.5352060198783875,0.04024051874876022,834,500.0,-16.034114837646484,1.034631425,66,-7.375691890716553
300,28,20000,,,,,500.0,,1.034631425,66,
300,32,20000,,,,,500.0,,1.034631425,66,
300,36,20000,,,,,500.0,,1.034631425,66,
300,40,20000,,,,,500.0,,1.034631425,66,
302,44,30000,0.00075,0.3678254187107086,0.09212334454059601,1334,500.0,-18.967166900634766,1.1792505999999998,99,-11.806777000427246
302,48,30000,,,,,500.0,,1.1792505999999998,99,
302,52,30000,,,,,500.0,,1.1792505999999998,99,
302,56,30000,,,,,500.0,,1.1792505999999998,99,
302,60,30000,,,,,500.0,,1.1792505999999998,99,
304,64,40000,0.00075,0.25280967354774475,0.02826692722737789,1834,500.0,-20.73249053955078,1.0520511625,131,-16.185962677001953
304,68,40000,,,,,500.0,,1.0520511625,131,
304,72,40000,,,,,500.0,,1.0520511625,131,
304,76,40000,,,,,500.0,,1.0520511625,131,
304,80,40000,,,,,500.0,,1.0520511625,131,
304,84,50000,0.00075,0.1737809032201767,0.05184980481863022,2334,500.0,-21.548755645751953,1.0862553899999998,164,-20.607501983642578
304,88,50000,,,,,500.0,,1.0862553899999998,164,
304,92,50000,,,,,500.0,,1.0862553899999998,164,
304,96,50000,,,,,500.0,,1.0862553899999998,164,
304,100,50000,,,,,500.0,,1.0862553899999998,164,
303,104,60000,0.00075,0.11952327191829681,0.037337981164455414,2834,500.0,-22.479236602783203,1.0628800500000002,197,-24.97347640991211
303,108,60000,,,,,500.0,,1.0628800500000002,197,
303,112,60000,,,,,500.0,,1.0628800500000002,197,
303,116,60000,,,,,500.0,,1.0628800500000002,197,
303,120,60000,,,,,500.0,,1.0628800500000002,197,
303,124,70000,0.00075,0.08226311206817627,0.023054633289575577,3334,500.0,-22.592548370361328,1.0181554499999999,230,-29.26309585571289
303,128,70000,,,,,500.0,,1.0181554499999999,230,
303,132,70000,,,,,500.0,,1.0181554499999999,230,
303,136,70000,,,,,500.0,,1.0181554499999999,230,
303,140,70000,,,,,500.0,,1.0181554499999999,230,
303,144,80000,0.00075,0.056783027946949005,0.02142404019832611,3834,500.0,-22.248191833496094,0.9441498799999999,263,-33.67433547973633
303,148,80000,,,,,500.0,,0.9441498799999999,263,
303,152,80000,,,,,500.0,,0.9441498799999999,263,
303,156,80000,,,,,500.0,,0.9441498799999999,263,
303,160,80000,,,,,500.0,,0.9441498799999999,263,
303,164,90000,0.00075,0.03922077640891075,0.02384011447429657,4334,500.0,-22.022960662841797,0.9706032400000001,296,-32.28013610839844
303,168,90000,,,,,500.0,,0.9706032400000001,296,
303,172,90000,,,,,500.0,,0.9706032400000001,296,
303,176,90000,,,,,500.0,,0.9706032400000001,296,
303,180,90000,,,,,500.0,,0.9706032400000001,296,
303,184,100000,0.00075,0.027287419885396957,0.03721741586923599,4834,500.0,-21.375812530517578,0.99549819,328,-40.378440856933594
303,188,100000,,,,,500.0,,0.99549819,328,
303,192,100000,,,,,500.0,,0.99549819,328,
303,196,100000,,,,,500.0,,0.99549819,328,
303,200,100000,,,,,500.0,,0.99549819,329,
303,204,110000,0.00075,0.019153116270899773,0.08359156548976898,5334,500.0,-20.891292572021484,1.08348653,361,-38.213905334472656
303,208,110000,,,,,500.0,,1.08348653,361,
303,212,110000,,,,,500.0,,1.08348653,361,
303,216,110000,,,,,500.0,,1.08348653,361,
303,220,110000,,,,,500.0,,1.08348653,361,
303,224,120000,0.00075,0.013694826513528824,0.02814810536801815,5834,500.0,-20.36484146118164,1.04261934,394,-39.173133850097656
303,228,120000,,,,,500.0,,1.04261934,394,
303,232,120000,,,,,500.0,,1.04261934,394,
303,236,120000,,,,,500.0,,1.04261934,394,
303,240,120000,,,,,500.0,,1.04261934,394,
303,244,130000,0.00075,0.010131693445146084,0.0382903590798378,6334,500.0,-19.87874984741211,1.0180387100000001,428,-36.30559158325195
303,248,130000,,,,,500.0,,1.0180387100000001,428,
303,252,130000,,,,,500.0,,1.0180387100000001,428,
303,256,130000,,,,,500.0,,1.0180387100000001,428,
303,260,130000,,,,,500.0,,1.0180387100000001,428,
303,264,140000,0.00075,0.007472597993910313,2.8166027069091797,6834,500.0,-19.111499786376953,1.0028329400000002,461,-39.69397735595703
303,268,140000,,,,,500.0,,1.0028329400000002,461,
303,272,140000,,,,,500.0,,1.0028329400000002,461,
303,276,140000,,,,,500.0,,1.0028329400000002,461,
303,280,140000,,,,,500.0,,1.0028329400000002,461,
303,284,150000,0.00075,0.005698218941688538,0.03797371685504913,7334,500.0,-18.805294036865234,1.0073241800000001,494,-33.451904296875
303,288,150000,,,,,500.0,,1.0073241800000001,494,
303,292,150000,,,,,500.0,,1.0073241800000001,494,
303,296,150000,,,,,500.0,,1.0073241800000001,494,
303,300,150000,,,,,500.0,,1.0073241800000001,494,
302,304,160000,0.00075,0.004474353976547718,0.029615875333547592,7834,500.0,-18.396099090576172,0.8948494699999999,528,-21.80594253540039
302,308,160000,,,,,500.0,,0.8948494699999999,528,
