train/actor_loss,train/ent_coef_loss,train/ent_coef,time/episodes,train/critic_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean
-4.344419002532959,2.4881763458251953,0.0028036332223564386,744,0.09674966335296631,300,380000,23.32,1265,0.003,18834,500.0
,,,748,,300,380000,23.32,1265,,,500.0
,,,752,,300,380000,23.32,1265,,,500.0
,,,756,,300,380000,23.32,1265,,,500.0
,,,760,,300,380000,23.32,1265,,,500.0
-4.022177219390869,-16.004520416259766,0.002940880600363016,764,0.2539915144443512,300,390000,25.93,1299,0.003,19334,500.0
,,,768,,300,390000,25.93,1299,,,500.0
,,,772,,300,390000,25.93,1299,,,500.0
,,,776,,300,390000,25.93,1299,,,500.0
,,,780,,300,390000,25.93,1299,,,500.0
-4.724302291870117,-11.028428077697754,0.0027610959950834513,784,0.12298860400915146,300,400000,25.91,1332,0.003,19834,500.0
,,,788,,300,400000,25.91,1332,,,500.0
,,,792,,300,400000,25.91,1332,,,500.0
,,,796,,300,400000,25.91,1332,,,500.0
,,,800,,300,400000,25.91,1332,,,500.0
-5.056125640869141,3.652139186859131,0.0036495563108474016,804,0.19187068939208984,300,410000,40.03,1366,0.003,20334,500.0
,,,808,,300,410000,40.03,1366,,,500.0
,,,812,,300,410000,40.03,1366,,,500.0
,,,816,,300,410000,40.03,1366,,,500.0
,,,820,,300,410000,40.03,1366,,,500.0
-4.609265327453613,-7.2264862060546875,0.00352861569263041,824,0.2470770925283432,300,420000,46.93,1398,0.003,20834,500.0
,,,828,,300,420000,46.93,1398,,,500.0
,,,832,,300,420000,46.93,1398,,,500.0
,,,836,,300,420000,46.93,1398,,,500.0
,,,840,,300,420000,46.93,1398,,,500.0
-4.574817657470703,-8.715957641601562,0.0027218989562243223,844,0.1912563145160675,300,430000,44.63,1431,0.003,21334,500.0
,,,848,,300,430000,44.63,1431,,,500.0
,,,852,,300,430000,44.63,1431,,,500.0
,,,856,,300,430000,44.63,1431,,,500.0
,,,860,,300,430000,44.63,1431,,,500.0
-5.559562683105469,2.3440141677856445,0.0033587513025850058,864,0.44015443325042725,300,440000,41.95,1465,0.003,21834,500.0
,,,868,,300,440000,41.95,1465,,,500.0
,,,872,,300,440000,41.95,1465,,,500.0
,,,876,,300,440000,41.95,1465,,,500.0
,,,880,,300,440000,41.95,1465,,,500.0
-5.720646858215332,7.499449729919434,0.003289061365649104,884,0.4544494152069092,300,450000,76.37,1498,0.003,22334,500.0
,,,888,,300,450000,76.37,1498,,,500.0
,,,892,,300,450000,76.37,1498,,,500.0
,,,896,,300,450000,76.37,1498,,,500.0
,,,900,,300,450000,76.37,1498,,,500.0
-5.551702976226807,-6.16274356842041,0.003257021540775895,904,0.19204171001911163,300,460000,62.8,1531,0.003,22834,500.0
,,,908,,300,460000,62.8,1531,,,500.0
,,,912,,300,460000,62.8,1531,,,500.0
,,,916,,300,460000,62.8,1531,,,500.0
,,,920,,300,460000,62.8,1531,,,500.0
-5.501644134521484,-10.374069213867188,0.0032955340575426817,924,0.3028505742549896,300,470000,69.05,1564,0.003,23334,500.0
,,,928,,300,470000,69.05,1564,,,500.0
,,,932,,300,470000,69.05,1564,,,500.0
,,,936,,300,470000,69.05,1564,,,500.0
,,,940,,300,470000,69.05,1564,,,500.0
-6.283564567565918,0.9232814311981201,0.003596863243728876,944,0.22650359570980072,300,480000,82.63,1597,0.003,23834,500.0
,,,948,,300,480000,82.63,1597,,,500.0
,,,952,,300,480000,82.63,1597,,,500.0
,,,956,,300,480000,82.63,1597,,,500.0
,,,960,,300,480000,82.63,1597,,,500.0
-6.612851142883301,5.406211853027344,0.005036157555878162,964,0.114079549908638,300,490000,134.29,1631,0.003,24334,500.0
,,,968,,300,490000,134.29,1631,,,500.0
,,,972,,300,490000,134.29,1631,,,500.0
,,,976,,300,490000,134.29,1631,,,500.0
,,,980,,300,490000,134.29,1631,,,500.0
-6.997067451477051,-13.186957359313965,0.00401291623711586,984,0.34160828590393066,300,500000,134.06,1663,0.003,24834,500.0
,,,988,,300,500000,134.06,1663,,,500.0
,,,992,,300,500000,134.06,1663,,,500.0
,,,996,,300,500000,134.06,1663,,,500.0
,,,1000,,300,500000,134.06,1663,,,500.0
-8.997891426086426,33.579750061035156,0.0041303024627268314,1004,0.5696481466293335,300,510000,139.62,1697,0.003,25334,500.0
,,,1008,,300,510000,139.62,1697,,,500.0
,,,1012,,300,510000,139.62,1697,,,500.0
,,,1016,,300,510000,139.62,1697,,,500.0
,,,1020,,300,510000,139.62,1697,,,500.0
-6.195844650268555,-5.8872904777526855,0.004467220976948738,1024,0.4414672553539276,300,520000,147.14,1730,0.003,25834,500.0
,,,1028,,300,520000,147.14,1730,,,500.0
,,,1032,,300,520000,147.14,1730,,,500.0
,,,1036,,300,520000,147.14,1730,,,500.0
,,,1040,,300,520000,147.14,1730,,,500.0
-8.787074089050293,5.757778167724609,0.004003646317869425,1044,0.42944687604904175,300,530000,183.66,1764,0.003,26334,500.0
,,,1048,,300,530000,183.66,1764,,,500.0
,,,1052,,300,530000,183.66,1764,,,500.0
,,,1056,,300,530000,183.66,1764,,,500.0
,,,1060,,300,530000,183.66,1764,,,500.0
-8.718477249145508,-6.678920745849609,0.004574102349579334,1064,0.9146274924278259,300,540000,134.03,1797,0.003,26834,500.0
,,,1068,,300,540000,134.03,1797,,,500.0
,,,1072,,300,540000,134.03,1797,,,500.0
,,,1076,,300,540000,134.03,1797,,,500.0
,,,1080,,300,540000,134.03,1797,,,500.0
-9.061199188232422,17.052486419677734,0.005228732712566853,1084,0.4551347494125366,300,550000,117.75,1831,0.003,27334,500.0
,,,1088,,300,550000,117.75,1831,,,500.0
,,,1092,,300,550000,117.75,1831,,,500.0
,,,1096,,300,550000,117.75,1831,,,500.0
,,,1100,,300,550000,117.75,1831,,,500.0
-7.145796775817871,-8.68710708618164,0.003610131563618779,1104,0.23706647753715515,300,560000,150.34,1865,0.003,27834,500.0
,,,1108,,300,560000,150.34,1865,,,500.0
,,,1112,,300,560000,150.34,1865,,,500.0
,,,1116,,300,560000,150.34,1865,,,500.0
,,,1120,,300,560000,150.34,1865,,,500.0
-9.053312301635742,-0.4465022087097168,0.004736160393804312,1124,0.6905817985534668,300,570000,151.64,1898,0.003,28334,500.0
,,,1128,,300,570000,151.64,1898,,,500.0
,,,1132,,300,570000,151.64,1898,,,500.0
,,,1136,,300,570000,151.64,1898,,,500.0
,,,1140,,300,570000,151.64,1898,,,500.0
-9.50615119934082,-1.407402515411377,0.0043595051392912865,1144,0.7696932554244995,300,580000,123.08,1932,0.003,28834,500.0
,,,1148,,300,580000,123.08,1932,,,500.0
,,,1152,,300,580000,123.08,1932,,,500.0
,,,1156,,300,580000,123.08,1932,,,500.0
,,,1160,,300,580000,123.08,1932,,,500.0
-6.82257604598999,-2.116319179534912,0.004457071423530579,1164,0.3292357325553894,300,590000,179.21,1965,0.003,29334,500.0
,,,1168,,300,590000,179.21,1965,,,500.0
,,,1172,,300,590000,179.21,1965,,,500.0
,,,1176,,300,590000,179.21,1965,,,500.0
,,,1180,,300,590000,179.21,1965,,,500.0
-10.457143783569336,-6.626413822174072,0.004822100978344679,1184,0.42332983016967773,300,600000,170.18,1998,0.003,29834,500.0
,,,1188,,300,600000,170.18,1998,,,500.0
,,,1192,,300,600000,170.18,1998,,,500.0
,,,1196,,300,600000,170.18,1998,,,500.0
,,,1200,,300,600000,170.18,1998,,,500.0
-9.887371063232422,-8.713874816894531,0.005707717966288328,1204,0.28519102931022644,300,610000,179.62,2031,0.003,30334,500.0
,,,1208,,300,610000,179.62,2031,,,500.0
,,,1212,,300,610000,179.62,2031,,,500.0
,,,1216,,300,610000,179.62,2031,,,500.0
,,,1220,,300,610000,179.62,2031,,,500.0
-10.746673583984375,-6.212611675262451,0.005868255626410246,1224,0.6588927507400513,300,620000,198.0,2063,0.003,30834,500.0
,,,1228,,300,620000,198.0,2063,,,500.0
,,,1232,,300,620000,198.0,2063,,,500.0
,,,1236,,300,620000,198.0,2063,,,500.0
,,,1240,,300,620000,198.0,2063,,,500.0
-10.709754943847656,-10.365373611450195,0.005076094530522823,1244,0.682643711566925,300,630000,190.56,2097,0.003,31334,500.0
,,,1248,,300,630000,190.56,2097,,,500.0
,,,1252,,300,630000,190.56,2097,,,500.0
,,,1256,,300,630000,190.56,2097,,,500.0
,,,1260,,300,630000,190.56,2097,,,500.0
-14.782506942749023,7.914809226989746,0.005513956770300865,1264,1.1961157321929932,300,640000,198.31,2131,0.003,31834,500.0
,,,1268,,300,640000,198.31,2131,,,500.0
,,,1272,,300,640000,198.31,2131,,,500.0
,,,1276,,300,640000,198.31,2131,,,500.0
,,,1280,,300,640000,198.31,2131,,,500.0
-11.143045425415039,1.4283578395843506,0.006129862274974585,1284,0.7181887030601501,300,650000,203.64,2165,0.003,32334,500.0
,,,1288,,300,650000,203.64,2165,,,500.0
,,,1292,,300,650000,203.64,2165,,,500.0
,,,1296,,300,650000,203.64,2165,,,500.0
,,,1300,,300,650000,203.64,2165,,,500.0
-14.663274765014648,4.997035980224609,0.005067506805062294,1304,1.8702086210250854,300,660000,161.81,2198,0.003,32834,500.0
,,,1308,,300,660000,161.81,2198,,,500.0
,,,1312,,300,660000,161.81,2198,,,500.0
,,,1316,,300,660000,161.81,2198,,,500.0
,,,1320,,300,660000,161.81,2199,,,500.0
-8.110736846923828,-14.159502983093262,0.0071867662481963634,1324,0.4688725173473358,300,670000,169.62,2232,0.003,33334,500.0
,,,1328,,300,670000,169.62,2232,,,500.0
,,,1332,,300,670000,169.62,2232,,,500.0
,,,1336,,300,670000,169.62,2232,,,500.0
,,,1340,,300,670000,169.62,2232,,,500.0
-11.853070259094238,-5.81983757019043,0.006197808776050806,1344,0.5184046030044556,300,680000,174.06,2265,0.003,33834,500.0
,,,1348,,300,680000,174.06,2265,,,500.0
,,,1352,,300,680000,174.06,2265,,,500.0
,,,1356,,300,680000,174.06,2265,,,500.0
,,,1360,,300,680000,174.06,2265,,,500.0
-12.248872756958008,-8.142609596252441,0.005512295290827751,1364,1.1558215618133545,300,690000,119.53,2298,0.003,34334,500.0
,,,1368,,300,690000,119.53,2298,,,500.0
,,,1372,,300,690000,119.53,2298,,,500.0
,,,1376,,300,690000,119.53,2298,,,500.0
,,,1380,,300,690000,119.53,2298,,,500.0
-12.860122680664062,-4.136632919311523,0.006056401878595352,1384,1.9444807767868042,300,700000,153.86,2332,0.003,34834,500.0
,,,1388,,300,700000,153.86,2332,,,500.0
,,,1392,,300,700000,153.86,2332,,,500.0
,,,1396,,300,700000,153.86,2332,,,500.0
,,,1400,,300,700000,153.86,2332,,,500.0
-13.797028541564941,0.9583225250244141,0.005657583475112915,1404,1.4699641466140747,300,710000,159.91,2365,0.003,35334,500.0
,,,1408,,300,710000,159.91,2365,,,500.0
,,,1412,,300,710000,159.91,2365,,,500.0
,,,1416,,300,710000,159.91,2365,,,500.0
,,,1420,,300,710000,159.91,2365,,,500.0
-12.801630020141602,-5.018738269805908,0.0072873858734965324,1424,1.4022982120513916,300,720000,143.94,2397,0.003,35834,500.0
,,,1428,,300,720000,143.94,2397,,,500.0
,,,1432,,300,720000,143.94,2397,,,500.0
,,,1436,,300,720000,143.94,2397,,,500.0
,,,1440,,300,720000,143.94,2397,,,500.0
-13.78875732421875,-7.589388847351074,0.007737621199339628,1444,0.5985232591629028,300,730000,145.69,2430,0.003,36334,500.0
,,,1448,,300,730000,145.69,2430,,,500.0
,,,1452,,300,730000,145.69,2430,,,500.0
,,,1456,,300,730000,145.69,2430,,,500.0
,,,1460,,300,730000,145.69,2430,,,500.0
-12.901559829711914,-6.1270246505737305,0.006135743111371994,1464,0.6757305264472961,300,740000,150.04,2464,0.003,36834,500.0
,,,1468,,300,740000,150.04,2464,,,500.0
,,,1472,,300,740000,150.04,2464,,,500.0
,,,1476,,300,740000,150.04,2464,,,500.0
,,,1480,,300,740000,150.04,2464,,,500.0
-15.023021697998047,-3.2519774436950684,0.006975701078772545,1484,0.8961930274963379,300,750000,157.53,2496,0.003,37334,500.0
,,,1488,,300,750000,157.53,2496,,,500.0
,,,1492,,300,750000,157.53,2496,,,500.0
,,,1496,,300,750000,157.53,2496,,,500.0
,,,1500,,300,750000,157.53,2496,,,500.0
-13.611995697021484,-3.0956010818481445,0.006938569247722626,1504,0.5344206690788269,300,760000,200.18,2529,0.003,37834,500.0
,,,1508,,300,760000,200.18,2529,,,500.0
,,,1512,,300,760000,200.18,2529,,,500.0
,,,1516,,300,760000,200.18,2529,,,500.0
,,,1520,,300,760000,200.18,2529,,,500.0
-14.097506523132324,3.553338050842285,0.00701694143936038,1524,0.839299738407135,300,770000,170.33,2562,0.003,38334,500.0
,,,1528,,300,770000,170.33,2562,,,500.0
,,,1532,,300,770000,170.33,2562,,,500.0
,,,1536,,300,770000,170.33,2562,,,500.0
,,,1540,,300,770000,170.33,2562,,,500.0
-16.97126007080078,-5.29029655456543,0.008082903921604156,1544,0.5299382209777832,300,780000,167.92,2594,0.003,38834,500.0
,,,1548,,300,780000,167.92,2594,,,500.0
,,,1552,,300,780000,167.92,2594,,,500.0
,,,1556,,300,780000,167.92,2594,,,500.0
,,,1560,,300,780000,167.92,2594,,,500.0
-18.344688415527344,-14.630632400512695,0.01002226397395134,1564,1.7590124607086182,300,790000,169.0,2627,0.003,39334,500.0
,,,1568,,300,790000,169.0,2627,,,500.0
,,,1572,,300,790000,169.0,2627,,,500.0
,,,1576,,300,790000,169.0,2627,,,500.0
,,,1580,,300,790000,169.0,2627,,,500.0
-15.340921401977539,4.8895721435546875,0.006042463704943657,1584,2.3426265716552734,300,800000,140.83,2660,0.003,39834,500.0
,,,1588,,300,800000,140.83,2660,,,500.0
,,,1592,,300,800000,140.83,2660,,,500.0
,,,1596,,300,800000,140.83,2660,,,500.0
,,,1600,,300,800000,140.83,2660,,,500.0
-17.990524291992188,8.714484214782715,0.0069371797144412994,1604,2.170722007751465,300,810000,114.18,2693,0.003,40334,500.0
,,,1608,,300,810000,114.18,2693,,,500.0
,,,1612,,300,810000,114.18,2693,,,500.0
,,,1616,,300,810000,114.18,2693,,,500.0
,,,1620,,300,810000,114.18,2693,,,500.0
-14.817193984985352,7.588622093200684,0.006905505899339914,1624,1.025409460067749,300,820000,166.22,2726,0.003,40834,500.0
,,,1628,,300,820000,166.22,2726,,,500.0
,,,1632,,300,820000,166.22,2726,,,500.0
,,,1636,,300,820000,166.22,2726,,,500.0
,,,1640,,300,820000,166.22,2726,,,500.0
-17.349773406982422,-4.53464937210083,0.006115477532148361,1644,24.636770248413086,300,830000,142.22,2759,0.003,41334,500.0
,,,1648,,300,830000,142.22,2759,,,500.0
,,,1652,,300,830000,142.22,2759,,,500.0
,,,1656,,300,830000,142.22,2759,,,500.0
,,,1660,,300,830000,142.22,2759,,,500.0
-20.164196014404297,12.064896583557129,0.006316918879747391,1664,1.3663386106491089,300,840000,196.06,2792,0.003,41834,500.0
,,,1668,,300,840000,196.06,2792,,,500.0
,,,1672,,300,840000,196.06,2792,,,500.0
,,,1676,,300,840000,196.06,2792,,,500.0
,,,1680,,300,840000,196.06,2792,,,500.0
-16.11208724975586,7.009510517120361,0.006369302049279213,1684,1.8724178075790405,300,850000,196.51,2825,0.003,42334,500.0
,,,1688,,300,850000,196.51,2825,,,500.0
,,,1692,,300,850000,196.51,2825,,,500.0
,,,1696,,300,850000,196.51,2825,,,500.0
,,,1700,,300,850000,196.51,2825,,,500.0
-19.67475128173828,-2.092677116394043,0.00712616415694356,1704,2.002485990524292,300,860000,243.8,2857,0.003,42834,500.0
,,,1708,,300,860000,243.8,2857,,,500.0
,,,1712,,300,860000,243.8,2857,,,500.0
,,,1716,,300,860000,243.8,2857,,,500.0
,,,1720,,300,860000,243.8,2857,,,500.0
-17.210277557373047,15.397241592407227,0.00767854880541563,1724,2.8750123977661133,300,870000,255.4,2891,0.003,43334,500.0
,,,1728,,300,870000,255.4,2891,,,500.0
,,,1732,,300,870000,255.4,2891,,,500.0
,,,1736,,300,870000,255.4,2891,,,500.0
,,,1740,,300,870000,255.4,2891,,,500.0
-19.79062271118164,21.68982696533203,0.008289982564747334,1744,0.7355130910873413,300,880000,317.42,2925,0.003,43834,500.0
