train/critic_loss,train/n_updates,time/episodes,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,time/fps
0.11134891211986542,264,10,-11.741643905639648,0.00075,1.0952242857142855,500.0,-2.3243141174316406,7000,30,0.820900022983551,227
0.07707010209560394,764,20,-15.695673942565918,0.00075,1.0666391071428574,500.0,-6.736136436462402,14000,62,0.5641180872917175,225
0.059663768857717514,1264,30,-18.904634475708008,0.00075,1.0545570952380952,500.0,-11.195993423461914,21000,93,0.3876892328262329,224
,,40,,,1.0545570952380952,500.0,,21000,93,,224
0.04119731858372688,1764,50,-20.754959106445312,0.00075,0.984493125,500.0,-15.587257385253906,28000,125,0.26646679639816284,223
0.04827674478292465,2264,60,-21.858718872070312,0.00075,1.0512058142857144,500.0,-19.79903793334961,35000,156,0.1832425743341446,223
,,70,,,1.0512058142857144,500.0,,35000,156,,223
0.09008944034576416,2764,80,-22.18609046936035,0.00075,0.9980841904761905,500.0,-24.257328033447266,42000,189,0.126057431101799,221
0.04558064043521881,3264,90,-22.756507873535156,0.00075,0.9505122040816326,500.0,-28.589426040649414,49000,221,0.08683539927005768,221
0.04025723785161972,3764,100,-22.442428588867188,0.00075,0.9107306,500.0,-32.96466827392578,56000,253,0.05989013612270355,221
,,110,,,0.9107306,500.0,,56000,253,,221
0.043935954570770264,4264,120,-21.83515739440918,0.00075,0.8672297,500.0,-32.57249450683594,63000,284,0.0415923148393631,221
0.05835062637925148,4764,130,-21.676008224487305,0.00075,0.9030765599999999,500.0,-38.75981903076172,70000,316,0.029025712981820107,221
,,140,,,0.9030765599999999,500.0,,70000,316,,221
3.155623197555542,5264,150,-21.00339126586914,0.00075,2.26253543,500.0,-37.443031311035156,77000,349,0.020478354766964912,220
0.0426827073097229,5764,160,-21.190689086914062,0.00075,2.22427888,500.0,-38.64466094970703,84000,381,0.01482169609516859,220
0.03241976350545883,6264,170,-20.249252319335938,0.00075,2.31986299,500.0,-35.75303268432617,91000,414,0.010825340636074543,219
,,180,,,2.31986299,500.0,,91000,414,,219
0.03948470950126648,6764,190,-19.94782829284668,0.00075,3.08128035,500.0,-18.524734497070312,98000,446,0.008159403689205647,219
0.026910841464996338,7264,200,-19.4781494140625,0.00075,4.6192106599999985,500.0,-28.71308135986328,105000,479,0.006279568187892437,219
,,210,,,4.6192106599999985,500.0,,105000,479,,219
0.0372929573059082,7764,220,-19.208152770996094,0.00075,5.10021166,500.0,-10.310131072998047,112000,512,0.004980071913450956,218
0.03297913074493408,8264,230,-18.90185546875,0.00075,5.391770859999999,500.0,-17.314224243164062,119000,545,0.004255030304193497,218
2.3055968284606934,8764,240,-18.425737380981445,0.00075,5.005735179999999,500.0,-13.594170570373535,126000,578,0.0037123796064406633,217
,,250,,,5.005735179999999,500.0,,126000,578,,217
0.021056346595287323,9264,260,-17.507904052734375,0.00075,5.492935169999998,500.0,-4.86875057220459,133000,611,0.0032782324124127626,217
0.027507422491908073,9764,270,-17.52459716796875,0.00075,5.50725175,500.0,-13.806662559509277,140000,644,0.003202390158548951,217
,,280,,,5.50725175,500.0,,140000,644,,217
0.04738430306315422,10264,290,-17.050260543823242,0.00075,5.792862099999999,500.0,9.074773788452148,147000,677,0.002925647422671318,216
0.12018315494060516,10764,300,-16.817333221435547,0.00075,4.85134164,500.0,1.3680076599121094,154000,711,0.002922064159065485,216
0.05410599708557129,11264,310,-16.119298934936523,0.00075,4.798218729999999,500.0,5.296736717224121,161000,744,0.0026911066379398108,216
,,320,,,4.798218729999999,500.0,,161000,744,,216
0.03219623491168022,11764,330,-15.82559585571289,0.00075,4.574480669999999,500.0,-5.615573883056641,168000,778,0.0026046496350318193,215
