train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/actor_loss,train/critic_loss,time/fps,time/time_elapsed,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean
0.00075,0.7788676619529724,500.0,4,10000,-12.271782875061035,0.09062959253787994,332,30,-2.9473650455474854,334,1.3882036500000001
,,500.0,8,10000,,,332,30,,,1.3882036500000001
,,500.0,12,10000,,,332,30,,,1.3882036500000001
,,500.0,16,10000,,,332,30,,,1.3882036500000001
,,500.0,20,10000,,,332,30,,,1.3882036500000001
0.00075,0.5352383852005005,500.0,24,20000,-16.21010971069336,0.045717060565948486,315,63,-7.350335121154785,834,1.8772652749999998
,,500.0,28,20000,,,315,63,,,1.8772652749999998
,,500.0,32,20000,,,315,63,,,1.8772652749999998
,,500.0,36,20000,,,315,63,,,1.8772652749999998
,,500.0,40,20000,,,315,63,,,1.8772652749999998
0.00075,0.3678537607192993,500.0,44,30000,-19.059965133666992,2.449793815612793,309,96,-11.82193660736084,1334,1.7756891999999997
,,500.0,48,30000,,,309,96,,,1.7756891999999997
,,500.0,52,30000,,,309,96,,,1.7756891999999997
,,500.0,56,30000,,,309,96,,,1.7756891999999997
,,500.0,60,30000,,,309,97,,,1.7756891999999997
0.00075,0.2528218626976013,500.0,64,40000,-20.912973403930664,0.019181106239557266,307,130,-16.158058166503906,1834,1.735527325
,,500.0,68,40000,,,307,130,,,1.735527325
,,500.0,72,40000,,,307,130,,,1.735527325
,,500.0,76,40000,,,307,130,,,1.735527325
,,500.0,80,40000,,,307,130,,,1.735527325
0.00075,0.17380869388580322,500.0,84,50000,-22.006750106811523,0.013567326590418816,306,163,-20.42177963256836,2334,1.8100654599999997
,,500.0,88,50000,,,305,163,,,1.8100654599999997
,,500.0,92,50000,,,305,163,,,1.8100654599999997
,,500.0,96,50000,,,305,163,,,1.8100654599999997
,,500.0,100,50000,,,305,163,,,1.8100654599999997
0.00075,0.11952421069145203,500.0,104,60000,-22.678382873535156,0.01711636409163475,305,196,-24.856674194335938,2834,1.8447128899999998
,,500.0,108,60000,,,305,196,,,1.8447128899999998
,,500.0,112,60000,,,305,196,,,1.8447128899999998
,,500.0,116,60000,,,305,196,,,1.8447128899999998
,,500.0,120,60000,,,305,196,,,1.8447128899999998
0.00075,0.0823013037443161,500.0,124,70000,-22.502758026123047,3.7893571853637695,306,228,-29.334651947021484,3334,1.6579748499999996
,,500.0,128,70000,,,306,228,,,1.6579748499999996
,,500.0,132,70000,,,306,228,,,1.6579748499999996
,,500.0,136,70000,,,306,228,,,1.6579748499999996
,,500.0,140,70000,,,306,228,,,1.6579748499999996
0.00075,0.05678276717662811,500.0,144,80000,-22.29630470275879,0.0413091778755188,307,260,-33.448726654052734,3834,1.9255625799999998
