train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,rollout/ep_rew_mean,time/fps,train/n_updates,time/episodes,train/learning_rate,time/time_elapsed
-15.173025131225586,500.0,-5.988008975982666,230000,0.017480799928307533,0.0026855277828872204,5.07947416,393,11334,444,0.00075,585
,500.0,,230000,,,5.07947416,393,,448,,585
,500.0,,230000,,,5.07947416,393,,452,,585
,500.0,,230000,,,5.07947416,393,,456,,585
,500.0,,230000,,,5.07947416,393,,460,,585
-15.066505432128906,500.0,8.316645622253418,240000,0.02604694291949272,0.00255084247328341,5.08209833,392,11834,464,0.00075,611
,500.0,,240000,,,5.08209833,392,,468,,611
,500.0,,240000,,,5.08209833,392,,472,,611
,500.0,,240000,,,5.08209833,392,,476,,611
,500.0,,240000,,,5.08209833,392,,480,,611
-14.837971687316895,500.0,-9.431142807006836,250000,0.014211961068212986,0.0026813552249222994,5.666060109999998,391,12334,484,0.00075,638
,500.0,,250000,,,5.666060109999998,391,,488,,638
,500.0,,250000,,,5.666060109999998,391,,492,,638
,500.0,,250000,,,5.666060109999998,391,,496,,638
,500.0,,250000,,,5.666060109999998,391,,500,,638
-14.506036758422852,500.0,9.894890785217285,260000,0.019567664712667465,0.0023806404788047075,2.7277250399999997,391,12834,504,0.00075,663
,500.0,,260000,,,2.7277250399999997,391,,508,,663
,500.0,,260000,,,2.7277250399999997,391,,512,,663
,500.0,,260000,,,2.7277250399999997,391,,516,,663
,500.0,,260000,,,2.7277250399999997,391,,520,,663
-14.048816680908203,500.0,4.225882530212402,270000,1.8499313592910767,0.0023253089748322964,2.4042787199999998,391,13334,524,0.00075,689
,500.0,,270000,,,2.4042787199999998,391,,528,,689
,500.0,,270000,,,2.4042787199999998,391,,532,,689
,500.0,,270000,,,2.4042787199999998,391,,536,,689
,500.0,,270000,,,2.4042787199999998,391,,540,,689
-13.94621753692627,500.0,-1.833853840827942,280000,0.019636226817965508,0.002176488284021616,2.657778230000001,390,13834,544,0.00075,716
,500.0,,280000,,,2.657778230000001,390,,548,,716
,500.0,,280000,,,2.657778230000001,390,,552,,716
,500.0,,280000,,,2.657778230000001,390,,556,,716
,500.0,,280000,,,2.657778230000001,390,,560,,716
-13.534210205078125,500.0,-6.215656280517578,290000,1.7611217498779297,0.0023154704831540585,4.3527020300000006,390,14334,564,0.00075,743
,500.0,,290000,,,4.3527020300000006,390,,568,,743
,500.0,,290000,,,4.3527020300000006,390,,572,,743
,500.0,,290000,,,4.3527020300000006,390,,576,,743
,500.0,,290000,,,4.3527020300000006,390,,580,,743
-13.508003234863281,500.0,-2.1807355880737305,300000,0.017132896929979324,0.0020869176369160414,3.8639147099999995,389,14834,584,0.00075,770
,500.0,,300000,,,3.8639147099999995,389,,588,,770
,500.0,,300000,,,3.8639147099999995,389,,592,,770
,500.0,,300000,,,3.8639147099999995,389,,596,,770
,500.0,,300000,,,3.8639147099999995,389,,600,,770
-12.614126205444336,500.0,-0.7125917673110962,310000,0.7535499334335327,0.0023371342103928328,4.2965677399999995,389,15334,604,0.00075,796
,500.0,,310000,,,4.2965677399999995,389,,608,,796
,500.0,,310000,,,4.2965677399999995,389,,612,,796
,500.0,,310000,,,4.2965677399999995,389,,616,,796
,500.0,,310000,,,4.2965677399999995,389,,620,,796
-12.497596740722656,500.0,4.697232246398926,320000,1.3294081687927246,0.0020794228184968233,4.80118729,389,15834,624,0.00075,822
,500.0,,320000,,,4.80118729,389,,628,,822
,500.0,,320000,,,4.80118729,389,,632,,822
,500.0,,320000,,,4.80118729,389,,636,,822
,500.0,,320000,,,4.80118729,389,,640,,822
-12.197330474853516,500.0,16.16098403930664,330000,0.013976279646158218,0.0020449005533009768,4.973571290000001,389,16334,644,0.00075,847
,500.0,,330000,,,4.973571290000001,389,,648,,847
,500.0,,330000,,,4.973571290000001,389,,652,,847
,500.0,,330000,,,4.973571290000001,389,,656,,847
,500.0,,330000,,,4.973571290000001,389,,660,,847
-12.255126953125,500.0,4.595993995666504,340000,0.011493231169879436,0.001992422854527831,5.22465153,389,16834,664,0.00075,873
,500.0,,340000,,,5.22465153,389,,668,,873
,500.0,,340000,,,5.22465153,389,,672,,873
,500.0,,340000,,,5.22465153,389,,676,,873
,500.0,,340000,,,5.22465153,389,,680,,873
-11.879552841186523,500.0,6.112153053283691,350000,0.02059466950595379,0.0020013172179460526,5.32456861,389,17334,684,0.00075,898
,500.0,,350000,,,5.32456861,389,,688,,898
,500.0,,350000,,,5.32456861,389,,692,,898
,500.0,,350000,,,5.32456861,389,,696,,898
,500.0,,350000,,,5.32456861,389,,700,,898
-11.958776473999023,500.0,-12.291648864746094,360000,0.01773928664624691,0.0020186330657452345,5.04576834,389,17834,704,0.00075,925
,500.0,,360000,,,5.04576834,389,,708,,925
,500.0,,360000,,,5.04576834,389,,712,,925
,500.0,,360000,,,5.04576834,389,,716,,925
,500.0,,360000,,,5.04576834,389,,720,,925
-11.143807411193848,500.0,-3.5784339904785156,370000,0.027420923113822937,0.0018089164514094591,5.360540100000001,388,18334,724,0.00075,951
,500.0,,370000,,,5.360540100000001,388,,728,,951
,500.0,,370000,,,5.360540100000001,388,,732,,951
,500.0,,370000,,,5.360540100000001,388,,736,,951
,500.0,,370000,,,5.360540100000001,388,,740,,951
-11.397918701171875,500.0,-8.609389305114746,380000,0.9583157896995544,0.0016768038040027022,5.757968579999999,388,18834,744,0.00075,977
,500.0,,380000,,,5.757968579999999,388,,748,,977
,500.0,,380000,,,5.757968579999999,388,,752,,977
,500.0,,380000,,,5.757968579999999,388,,756,,977
,500.0,,380000,,,5.757968579999999,388,,760,,977
-11.107250213623047,500.0,4.566194534301758,390000,0.016521571204066277,0.0015636604512110353,4.64794924,388,19334,764,0.00075,1002
,500.0,,390000,,,4.64794924,388,,768,,1002
,500.0,,390000,,,4.64794924,388,,772,,1002
,500.0,,390000,,,4.64794924,388,,776,,1002
,500.0,,390000,,,4.64794924,388,,780,,1002
-10.782415390014648,500.0,-1.5001989603042603,400000,0.007233013864606619,0.0015853887889534235,5.043517919999999,388,19834,784,0.00075,1029
,500.0,,400000,,,5.043517919999999,388,,788,,1029
,500.0,,400000,,,5.043517919999999,388,,792,,1029
,500.0,,400000,,,5.043517919999999,388,,796,,1029
,500.0,,400000,,,5.043517919999999,388,,800,,1029
-10.805224418640137,500.0,-13.763726234436035,410000,0.009171182289719582,0.0015104726189747453,5.17328621,388,20334,804,0.00075,1055
,500.0,,410000,,,5.17328621,388,,808,,1055
,500.0,,410000,,,5.17328621,388,,812,,1055
,500.0,,410000,,,5.17328621,388,,816,,1055
,500.0,,410000,,,5.17328621,388,,820,,1055
-10.536247253417969,500.0,-3.9276647567749023,420000,0.023381754755973816,0.0014992505311965942,5.006625709999999,388,20834,824,0.00075,1081
,500.0,,420000,,,5.006625709999999,388,,828,,1081
,500.0,,420000,,,5.006625709999999,388,,832,,1081
,500.0,,420000,,,5.006625709999999,388,,836,,1081
,500.0,,420000,,,5.006625709999999,388,,840,,1081
-9.806047439575195,500.0,8.742502212524414,430000,0.009306849911808968,0.0014740789774805307,6.51762769,388,21334,844,0.00075,1107
,500.0,,430000,,,6.51762769,388,,848,,1107
,500.0,,430000,,,6.51762769,388,,852,,1107
,500.0,,430000,,,6.51762769,388,,856,,1107
,500.0,,430000,,,6.51762769,388,,860,,1107
-9.743175506591797,500.0,-7.726247787475586,440000,0.020881664007902145,0.0015343022532761097,7.74718553,388,21834,864,0.00075,1132
,500.0,,440000,,,7.74718553,388,,868,,1132
,500.0,,440000,,,7.74718553,388,,872,,1132
,500.0,,440000,,,7.74718553,388,,876,,1132
,500.0,,440000,,,7.74718553,388,,880,,1132
-9.445123672485352,500.0,3.9581573009490967,450000,0.01604340597987175,0.0015541922766715288,8.705033859999999,388,22334,884,0.00075,1158
,500.0,,450000,,,8.705033859999999,388,,888,,1158
,500.0,,450000,,,8.705033859999999,388,,892,,1158
,500.0,,450000,,,8.705033859999999,388,,896,,1158
,500.0,,450000,,,8.705033859999999,388,,900,,1158
-9.423097610473633,500.0,2.541592597961426,460000,0.010278141126036644,0.0015233686426654458,10.02186996,388,22834,904,0.00075,1184
,500.0,,460000,,,10.02186996,388,,908,,1184
,500.0,,460000,,,10.02186996,388,,912,,1184
,500.0,,460000,,,10.02186996,388,,916,,1184
,500.0,,460000,,,10.02186996,388,,920,,1184
-9.269840240478516,500.0,-5.214249610900879,470000,1.7329837083816528,0.0014844895340502262,11.991141729999999,388,23334,924,0.00075,1210
,500.0,,470000,,,11.991141729999999,388,,928,,1210
,500.0,,470000,,,11.991141729999999,388,,932,,1210
,500.0,,470000,,,11.991141729999999,388,,936,,1210
,500.0,,470000,,,11.991141729999999,388,,940,,1210
-9.072172164916992,500.0,-2.809101104736328,480000,0.017622053623199463,0.0013956964248791337,10.383075569999999,388,23834,944,0.00075,1235
,500.0,,480000,,,10.383075569999999,388,,948,,1235
,500.0,,480000,,,10.383075569999999,388,,952,,1235
,500.0,,480000,,,10.383075569999999,388,,956,,1235
,500.0,,480000,,,10.383075569999999,388,,960,,1235
-8.871014595031738,500.0,7.718590259552002,490000,0.010377087630331516,0.001378047512844205,12.063040100000002,388,24334,964,0.00075,1262
,500.0,,490000,,,12.063040100000002,388,,968,,1262
,500.0,,490000,,,12.063040100000002,388,,972,,1262
,500.0,,490000,,,12.063040100000002,388,,976,,1262
,500.0,,490000,,,12.063040100000002,388,,980,,1262
-8.691352844238281,500.0,-10.200675010681152,500000,0.010462421923875809,0.0014727306552231312,11.873221019999999,388,24834,984,0.00075,1287
,500.0,,500000,,,11.873221019999999,388,,988,,1287
,500.0,,500000,,,11.873221019999999,388,,992,,1287
,500.0,,500000,,,11.873221019999999,388,,996,,1287
,500.0,,500000,,,11.873221019999999,388,,1000,,1287
-8.649505615234375,500.0,-9.860098838806152,510000,0.011975018307566643,0.0015422652941197157,12.74980946,388,25334,1004,0.00075,1313
,500.0,,510000,,,12.74980946,388,,1008,,1313
,500.0,,510000,,,12.74980946,388,,1012,,1313
,500.0,,510000,,,12.74980946,388,,1016,,1313
,500.0,,510000,,,12.74980946,388,,1020,,1313
-8.27916145324707,500.0,2.0552878379821777,520000,0.018393229693174362,0.0014142805011942983,11.811543430000002,388,25834,1024,0.00075,1339
,500.0,,520000,,,11.811543430000002,388,,1028,,1339
,500.0,,520000,,,11.811543430000002,388,,1032,,1339
,500.0,,520000,,,11.811543430000002,388,,1036,,1339
,500.0,,520000,,,11.811543430000002,388,,1040,,1339
-8.033954620361328,500.0,-14.51174545288086,530000,0.009805597364902496,0.0015031180810183287,16.78245674,388,26334,1044,0.00075,1365
,500.0,,530000,,,16.78245674,388,,1048,,1365
,500.0,,530000,,,16.78245674,388,,1052,,1365
,500.0,,530000,,,16.78245674,388,,1056,,1365
,500.0,,530000,,,16.78245674,388,,1060,,1365
-7.988868236541748,500.0,-1.0290114879608154,540000,1.253143548965454,0.0016675543738529086,18.74786588,388,26834,1064,0.00075,1391
,500.0,,540000,,,18.74786588,388,,1068,,1391
,500.0,,540000,,,18.74786588,388,,1072,,1391
,500.0,,540000,,,18.74786588,388,,1076,,1391
,500.0,,540000,,,18.74786588,388,,1080,,1391
-7.925333499908447,500.0,12.719735145568848,550000,0.017649080604314804,0.001476199715398252,19.18340099,388,27334,1084,0.00075,1416
,500.0,,550000,,,19.18340099,388,,1088,,1416
,500.0,,550000,,,19.18340099,388,,1092,,1416
,500.0,,550000,,,19.18340099,388,,1096,,1416
,500.0,,550000,,,19.18340099,388,,1100,,1416
-7.844027042388916,500.0,8.889490127563477,560000,0.011993704363703728,0.001551129505969584,22.036819840000003,388,27834,1104,0.00075,1441
,500.0,,560000,,,22.036819840000003,388,,1108,,1441
,500.0,,560000,,,22.036819840000003,388,,1112,,1441
,500.0,,560000,,,22.036819840000003,388,,1116,,1441
,500.0,,560000,,,22.036819840000003,388,,1120,,1441
-7.6041388511657715,500.0,3.9130308628082275,570000,0.9062591791152954,0.0015559489838778973,21.836645739999998,388,28334,1124,0.00075,1467
,500.0,,570000,,,21.836645739999998,388,,1128,,1467
,500.0,,570000,,,21.836645739999998,388,,1132,,1467
,500.0,,570000,,,21.836645739999998,388,,1136,,1467
,500.0,,570000,,,21.836645739999998,388,,1140,,1467
-7.554669380187988,500.0,-7.157163143157959,580000,0.03274184465408325,0.00160297192633152,19.386075320000003,388,28834,1144,0.00075,1493
