time/episodes,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss
536,,57.54,,,500.0,883,,270000,305,,
540,,57.54,,,500.0,883,,270000,305,,
544,13834,106.43,0.003,-10.405312538146973,500.0,916,0.0023914070334285498,280000,305,0.1252392828464508,-3.9425244331359863
548,,106.43,,,500.0,916,,280000,305,,
552,,106.43,,,500.0,916,,280000,305,,
556,,106.43,,,500.0,916,,280000,305,,
560,,106.43,,,500.0,916,,280000,305,,
564,14334,99.45,0.003,-0.8115395307540894,500.0,948,0.0024520361330360174,290000,305,0.06279175728559494,-4.277353763580322
568,,99.45,,,500.0,948,,290000,305,,
572,,99.45,,,500.0,948,,290000,305,,
576,,99.45,,,500.0,948,,290000,305,,
580,,99.45,,,500.0,948,,290000,305,,
584,14834,129.22,0.003,-1.551572322845459,500.0,980,0.0027313875034451485,300000,305,0.13129691779613495,-4.576101779937744
588,,129.22,,,500.0,980,,300000,305,,
592,,129.22,,,500.0,980,,300000,305,,
596,,129.22,,,500.0,980,,300000,305,,
600,,129.22,,,500.0,980,,300000,305,,
604,15334,168.68,0.003,2.0269339084625244,500.0,1013,0.004008872900158167,310000,305,0.16149203479290009,-5.040788650512695
608,,168.68,,,500.0,1013,,310000,305,,
612,,168.68,,,500.0,1013,,310000,305,,
616,,168.68,,,500.0,1013,,310000,305,,
620,,168.68,,,500.0,1013,,310000,305,,
624,15834,237.29,0.003,-3.296182155609131,500.0,1046,0.003613126464188099,320000,305,0.13506826758384705,-5.047284126281738
628,,237.29,,,500.0,1046,,320000,305,,
632,,237.29,,,500.0,1046,,320000,305,,
636,,237.29,,,500.0,1046,,320000,305,,
640,,237.29,,,500.0,1046,,320000,305,,
644,16334,227.5,0.003,5.478916168212891,500.0,1079,0.0036475469823926687,330000,305,0.312765508890152,-5.726197242736816
648,,227.5,,,500.0,1079,,330000,305,,
652,,227.5,,,500.0,1079,,330000,305,,
656,,227.5,,,500.0,1079,,330000,305,,
660,,227.5,,,500.0,1079,,330000,305,,
664,16834,234.7,0.003,-6.381213188171387,500.0,1111,0.00387952895835042,340000,305,0.1859855055809021,-5.746047496795654
668,,234.7,,,500.0,1111,,340000,305,,
672,,234.7,,,500.0,1111,,340000,305,,
676,,234.7,,,500.0,1111,,340000,305,,
680,,234.7,,,500.0,1111,,340000,305,,
684,17334,223.3,0.003,-0.7350085973739624,500.0,1144,0.0038799841422587633,350000,305,0.4476093351840973,-6.313178062438965
688,,223.3,,,500.0,1144,,350000,305,,
692,,223.3,,,500.0,1144,,350000,305,,
696,,223.3,,,500.0,1144,,350000,305,,
700,,223.3,,,500.0,1144,,350000,305,,
704,17834,245.65,0.003,-1.1034231185913086,500.0,1177,0.004333368502557278,360000,305,0.34567153453826904,-8.074563980102539
708,,245.65,,,500.0,1177,,360000,305,,
712,,245.65,,,500.0,1177,,360000,305,,
716,,245.65,,,500.0,1177,,360000,305,,
720,,245.65,,,500.0,1177,,360000,305,,
724,18334,239.64,0.003,-7.564265727996826,500.0,1210,0.005052207503467798,370000,305,0.3591473698616028,-6.891806602478027
728,,239.64,,,500.0,1210,,370000,305,,
732,,239.64,,,500.0,1210,,370000,305,,
736,,239.64,,,500.0,1210,,370000,305,,
740,,239.64,,,500.0,1210,,370000,305,,
744,18834,225.55,0.003,-8.72355842590332,500.0,1243,0.0048895226791501045,380000,305,0.34910982847213745,-7.236466407775879
748,,225.55,,,500.0,1243,,380000,305,,
752,,225.55,,,500.0,1243,,380000,305,,
756,,225.55,,,500.0,1243,,380000,305,,
760,,225.55,,,500.0,1243,,380000,305,,
764,19334,226.01,0.003,0.8778018951416016,500.0,1275,0.00564354844391346,390000,305,0.5375944375991821,-8.663202285766602
768,,226.01,,,500.0,1275,,390000,305,,
772,,226.01,,,500.0,1275,,390000,305,,
776,,226.01,,,500.0,1275,,390000,305,,
780,,226.01,,,500.0,1275,,390000,305,,
784,19834,281.34,0.003,-4.38740348815918,500.0,1308,0.00576012022793293,400000,305,0.9958429336547852,-10.249232292175293
788,,281.34,,,500.0,1308,,400000,305,,
792,,281.34,,,500.0,1308,,400000,305,,
796,,281.34,,,500.0,1308,,400000,305,,
800,,281.34,,,500.0,1308,,400000,305,,
804,20334,264.55,0.003,14.375426292419434,500.0,1341,0.005757492501288652,410000,305,5.561160087585449,-10.065414428710938
808,,264.55,,,500.0,1341,,410000,305,,
812,,264.55,,,500.0,1341,,410000,305,,
816,,264.55,,,500.0,1341,,410000,305,,
820,,264.55,,,500.0,1341,,410000,305,,
824,20834,249.65,0.003,-2.2845959663391113,500.0,1374,0.004185554105788469,420000,305,0.1671459674835205,-9.366141319274902
828,,249.65,,,500.0,1374,,420000,305,,
832,,249.65,,,500.0,1374,,420000,305,,
836,,249.65,,,500.0,1374,,420000,305,,
840,,249.65,,,500.0,1374,,420000,305,,
844,21334,245.62,0.003,7.315105438232422,500.0,1406,0.005539329256862402,430000,305,0.9666378498077393,-10.899450302124023
848,,245.62,,,500.0,1406,,430000,305,,
852,,245.62,,,500.0,1406,,430000,305,,
856,,245.62,,,500.0,1406,,430000,305,,
860,,245.62,,,500.0,1406,,430000,305,,
864,21834,264.12,0.003,10.550142288208008,500.0,1439,0.005452584009617567,440000,305,0.4618419110774994,-13.274286270141602
868,,264.12,,,500.0,1439,,440000,305,,
872,,264.12,,,500.0,1439,,440000,305,,
876,,264.12,,,500.0,1439,,440000,305,,
880,,264.12,,,500.0,1439,,440000,305,,
884,22334,239.41,0.003,3.1403884887695312,500.0,1471,0.0069852969609200954,450000,305,0.5290979743003845,-11.386458396911621
888,,239.41,,,500.0,1471,,450000,305,,
892,,239.41,,,500.0,1471,,450000,305,,
896,,239.41,,,500.0,1471,,450000,305,,
900,,239.41,,,500.0,1471,,450000,305,,
904,22834,234.16,0.003,10.807965278625488,500.0,1504,0.006691392976790667,460000,305,0.46367770433425903,-11.911781311035156
908,,234.16,,,500.0,1504,,460000,305,,
912,,234.16,,,500.0,1504,,460000,305,,
916,,234.16,,,500.0,1504,,460000,305,,
920,,234.16,,,500.0,1504,,460000,305,,
924,23334,240.6,0.003,8.683138847351074,500.0,1537,0.005570580251514912,470000,305,0.4722341299057007,-13.130345344543457
928,,240.6,,,500.0,1537,,470000,305,,
932,,240.6,,,500.0,1537,,470000,305,,
936,,240.6,,,500.0,1537,,470000,305,,
940,,240.6,,,500.0,1537,,470000,305,,
944,23834,243.66,0.003,-1.7425965070724487,500.0,1570,0.006788718048483133,480000,305,1.0899438858032227,-12.249568939208984
948,,243.66,,,500.0,1570,,480000,305,,
952,,243.66,,,500.0,1570,,480000,305,,
956,,243.66,,,500.0,1570,,480000,305,,
960,,243.66,,,500.0,1570,,480000,305,,
964,24334,235.47,0.003,-7.16939640045166,500.0,1602,0.007662009447813034,490000,305,1.0345606803894043,-13.629514694213867
968,,235.47,,,500.0,1602,,490000,305,,
972,,235.47,,,500.0,1602,,490000,305,,
976,,235.47,,,500.0,1602,,490000,305,,
980,,235.47,,,500.0,1602,,490000,305,,
984,24834,233.75,0.003,-5.223506450653076,500.0,1635,0.006005959119647741,500000,305,1.3904809951782227,-15.553457260131836
988,,233.75,,,500.0,1635,,500000,305,,
992,,233.75,,,500.0,1635,,500000,305,,
996,,233.75,,,500.0,1635,,500000,305,,
1000,,233.75,,,500.0,1635,,500000,305,,
1004,25334,239.76,0.003,-4.062010288238525,500.0,1668,0.006613186560571194,510000,305,1.2493218183517456,-15.300016403198242
1008,,239.76,,,500.0,1668,,510000,305,,
1012,,239.76,,,500.0,1668,,510000,305,,
1016,,239.76,,,500.0,1668,,510000,305,,
1020,,239.76,,,500.0,1668,,510000,305,,
1024,25834,198.96,0.003,-6.2074408531188965,500.0,1701,0.005971608217805624,520000,305,1.9973160028457642,-18.19607925415039
1028,,198.96,,,500.0,1701,,520000,305,,
1032,,198.96,,,500.0,1701,,520000,305,,
1036,,198.96,,,500.0,1701,,520000,305,,
1040,,198.96,,,500.0,1701,,520000,305,,
1044,26334,207.11,0.003,32.26020050048828,500.0,1735,0.007240988314151764,530000,305,1.3564813137054443,-16.23870086669922
1048,,207.11,,,500.0,1735,,530000,305,,
1052,,207.11,,,500.0,1735,,530000,305,,
1056,,207.11,,,500.0,1735,,530000,305,,
1060,,207.11,,,500.0,1735,,530000,305,,
1064,26834,203.13,0.003,0.21143436431884766,500.0,1768,0.0060443454422056675,540000,305,0.8729935884475708,-16.810577392578125
1068,,203.13,,,500.0,1768,,540000,305,,
1072,,203.13,,,500.0,1768,,540000,305,,
1076,,203.13,,,500.0,1768,,540000,305,,
1080,,203.13,,,500.0,1768,,540000,305,,
1084,27334,208.58,0.003,-8.263863563537598,500.0,1801,0.006397564429789782,550000,305,0.874544620513916,-15.426390647888184
1088,,208.58,,,500.0,1801,,550000,305,,
1092,,208.58,,,500.0,1801,,550000,305,,
1096,,208.58,,,500.0,1801,,550000,305,,
1100,,208.58,,,500.0,1801,,550000,305,,
1104,27834,190.3,0.003,4.399304389953613,500.0,1833,0.007987698540091515,560000,305,0.7071610689163208,-16.537525177001953
1108,,190.3,,,500.0,1833,,560000,305,,
1112,,190.3,,,500.0,1833,,560000,305,,
1116,,190.3,,,500.0,1833,,560000,305,,
1120,,190.3,,,500.0,1833,,560000,305,,
1124,28334,224.6,0.003,-9.138204574584961,500.0,1866,0.009162968955934048,570000,305,2.1750874519348145,-18.1539249420166
1128,,224.6,,,500.0,1866,,570000,305,,
1132,,224.6,,,500.0,1866,,570000,305,,
1136,,224.6,,,500.0,1866,,570000,305,,
1140,,224.6,,,500.0,1866,,570000,305,,
1144,28834,223.87,0.003,16.368717193603516,500.0,1898,0.00647708959877491,580000,305,2.380033493041992,-19.458145141601562
1148,,223.87,,,500.0,1898,,580000,305,,
1152,,223.87,,,500.0,1898,,580000,305,,
1156,,223.87,,,500.0,1898,,580000,305,,
1160,,223.87,,,500.0,1898,,580000,305,,
1164,29334,237.79,0.003,2.126375675201416,500.0,1931,0.007514605298638344,590000,305,1.3972523212432861,-21.59880256652832
1168,,237.79,,,500.0,1931,,590000,305,,
1172,,237.79,,,500.0,1931,,590000,305,,
1176,,237.79,,,500.0,1931,,590000,305,,
1180,,237.79,,,500.0,1931,,590000,305,,
1184,29834,253.39,0.003,-4.83223819732666,500.0,1964,0.006914566736668348,600000,305,0.759846031665802,-20.264949798583984
1188,,253.39,,,500.0,1964,,600000,305,,
1192,,253.39,,,500.0,1964,,600000,305,,
1196,,253.39,,,500.0,1964,,600000,305,,
1200,,253.39,,,500.0,1964,,600000,305,,
1204,30334,304.74,0.003,-0.6085307598114014,500.0,1997,0.007509350311011076,610000,305,1.814791202545166,-24.189746856689453
1208,,304.74,,,500.0,1997,,610000,305,,
1212,,304.74,,,500.0,1997,,610000,305,,
1216,,304.74,,,500.0,1997,,610000,305,,
1220,,304.74,,,500.0,1997,,610000,305,,
1224,30834,327.28,0.003,-0.6760207414627075,500.0,2029,0.007473798934370279,620000,305,26.602214813232422,-21.000938415527344
1228,,327.28,,,500.0,2029,,620000,305,,
1232,,327.28,,,500.0,2029,,620000,305,,
1236,,327.28,,,500.0,2029,,620000,305,,
1240,,327.28,,,500.0,2029,,620000,305,,
1244,31334,327.61,0.003,-0.1605839729309082,500.0,2062,0.007976938039064407,630000,305,1.032670021057129,-22.034517288208008
1248,,327.61,,,500.0,2062,,630000,305,,
1252,,327.61,,,500.0,2062,,630000,305,,
1256,,327.61,,,500.0,2062,,630000,305,,
1260,,327.61,,,500.0,2062,,630000,305,,
1264,31834,321.24,0.003,-14.052356719970703,500.0,2095,0.01044210884720087,640000,305,1.4282931089401245,-22.143613815307617
1268,,321.24,,,500.0,2095,,640000,305,,
1272,,321.24,,,500.0,2095,,640000,305,,
1276,,321.24,,,500.0,2095,,640000,305,,
1280,,321.24,,,500.0,2095,,640000,305,,
1284,32334,321.79,0.003,-2.845639944076538,500.0,2128,0.007845351472496986,650000,305,1.4623582363128662,-24.926706314086914
1288,,321.79,,,500.0,2128,,650000,305,,
1292,,321.79,,,500.0,2128,,650000,305,,
1296,,321.79,,,500.0,2128,,650000,305,,
1300,,321.79,,,500.0,2128,,650000,305,,
1304,32834,300.42,0.003,1.8297197818756104,500.0,2160,0.010365141555666924,660000,305,2.297703742980957,-22.656749725341797
1308,,300.42,,,500.0,2160,,660000,305,,
1312,,300.42,,,500.0,2160,,660000,305,,
1316,,300.42,,,500.0,2160,,660000,305,,
1320,,300.42,,,500.0,2160,,660000,305,,
1324,33334,299.44,0.003,-2.992353916168213,500.0,2194,0.0089968116953969,670000,305,0.9787948727607727,-21.399572372436523
1328,,299.44,,,500.0,2194,,670000,305,,
1332,,299.44,,,500.0,2194,,670000,305,,
1336,,299.44,,,500.0,2194,,670000,305,,
1340,,299.44,,,500.0,2194,,670000,305,,
1344,33834,331.61,0.003,-3.3182144165039062,500.0,2227,0.00812304113060236,680000,305,1.8050893545150757,-26.507652282714844
1348,,331.61,,,500.0,2227,,680000,305,,
1352,,331.61,,,500.0,2227,,680000,305,,
1356,,331.61,,,500.0,2227,,680000,305,,
1360,,331.61,,,500.0,2227,,680000,305,,
1364,34334,361.68,0.003,4.742480278015137,500.0,2259,0.008516190573573112,690000,305,1.6128582954406738,-23.512996673583984
1368,,361.68,,,500.0,2259,,690000,305,,
1372,,361.68,,,500.0,2259,,690000,305,,
1376,,361.68,,,500.0,2259,,690000,305,,
1380,,361.68,,,500.0,2259,,690000,305,,
1384,34834,371.72,0.003,-5.649404525756836,500.0,2293,0.008663279004395008,700000,305,1.2547403573989868,-28.99457550048828
1388,,371.72,,,500.0,2293,,700000,305,,
1392,,371.72,,,500.0,2293,,700000,305,,
1396,,371.72,,,500.0,2293,,700000,305,,
1400,,371.72,,,500.0,2293,,700000,305,,
1404,35334,390.65,0.003,5.817342758178711,500.0,2326,0.008165277540683746,710000,305,1.7688591480255127,-26.570049285888672
1408,,390.65,,,500.0,2326,,710000,305,,
1412,,390.65,,,500.0,2326,,710000,305,,
1416,,390.65,,,500.0,2326,,710000,305,,
1420,,390.65,,,500.0,2326,,710000,305,,
1424,35834,398.05,0.003,4.134751796722412,500.0,2359,0.009991763159632683,720000,305,0.9206528663635254,-24.811996459960938
1428,,398.05,,,500.0,2359,,720000,305,,
1432,,398.05,,,500.0,2359,,720000,305,,
1436,,398.05,,,500.0,2359,,720000,305,,
1440,,398.05,,,500.0,2359,,720000,305,,
1444,36334,391.45,0.003,4.049977779388428,500.0,2391,0.00999307818710804,730000,305,1.5795185565948486,-25.347578048706055
1448,,391.45,,,500.0,2392,,730000,305,,
1452,,391.45,,,500.0,2392,,730000,305,,
1456,,391.45,,,500.0,2392,,730000,305,,
1460,,391.45,,,500.0,2392,,730000,305,,
1464,36834,399.05,0.003,-9.876352310180664,500.0,2424,0.010930635966360569,740000,305,1.2387957572937012,-29.266525268554688
1468,,399.05,,,500.0,2424,,740000,305,,
1472,,399.05,,,500.0,2424,,740000,305,,
1476,,399.05,,,500.0,2424,,740000,305,,
1480,,399.05,,,500.0,2424,,740000,305,,
1484,37334,403.94,0.003,0.04884403944015503,500.0,2457,0.01051688939332962,750000,305,1.3470971584320068,-26.673206329345703
1488,,403.94,,,500.0,2457,,750000,305,,
1492,,403.94,,,500.0,2457,,750000,305,,
1496,,403.94,,,500.0,2457,,750000,305,,
1500,,403.94,,,500.0,2457,,750000,305,,
1504,37834,401.04,0.003,-0.3013068437576294,500.0,2490,0.011282184161245823,760000,305,12.010892868041992,-33.77338409423828
1508,,401.04,,,500.0,2490,,760000,305,,
1512,,401.04,,,500.0,2490,,760000,305,,
1516,,401.04,,,500.0,2490,,760000,305,,
1520,,401.04,,,500.0,2490,,760000,305,,
1524,38334,400.84,0.003,7.475369930267334,500.0,2524,0.008983316831290722,770000,305,1.6399617195129395,-34.18004608154297
1528,,400.84,,,500.0,2524,,770000,305,,
1532,,400.84,,,500.0,2524,,770000,305,,
1536,,400.84,,,500.0,2524,,770000,305,,
1540,,400.84,,,500.0,2524,,770000,305,,
1544,38834,403.69,0.003,-4.378306865692139,500.0,2556,0.011414570733904839,780000,305,1.251680850982666,-28.196144104003906
1548,,403.69,,,500.0,2556,,780000,305,,
1552,,403.69,,,500.0,2556,,780000,305,,
1556,,403.69,,,500.0,2556,,780000,305,,
1560,,403.69,,,500.0,2556,,780000,305,,
1564,39334,400.51,0.003,-4.788347244262695,500.0,2588,0.010780139826238155,790000,305,1.4488601684570312,-35.357879638671875
1568,,400.51,,,500.0,2588,,790000,305,,
1572,,400.51,,,500.0,2588,,790000,305,,
1576,,400.51,,,500.0,2588,,790000,305,,
1580,,400.51,,,500.0,2588,,790000,305,,
1584,39834,399.57,0.003,-6.258148670196533,500.0,2622,0.012443319894373417,800000,305,1.6708545684814453,-32.332035064697266
1588,,399.57,,,500.0,2622,,800000,305,,
1592,,399.57,,,500.0,2622,,800000,305,,
1596,,399.57,,,500.0,2622,,800000,305,,
1600,,399.57,,,500.0,2622,,800000,305,,
1604,40334,405.47,0.003,4.034702301025391,500.0,2654,0.00994199886918068,810000,305,1.1730842590332031,-32.128501892089844
1608,,405.47,,,500.0,2654,,810000,305,,
1612,,405.47,,,500.0,2654,,810000,305,,
1616,,405.47,,,500.0,2654,,810000,305,,
1620,,405.47,,,500.0,2654,,810000,305,,
1624,40834,403.89,0.003,0.08779048919677734,500.0,2687,0.009868689812719822,820000,305,1.3316047191619873,-38.584774017333984
1628,,403.89,,,500.0,2687,,820000,305,,
1632,,403.89,,,500.0,2687,,820000,305,,
1636,,403.89,,,500.0,2687,,820000,305,,
1640,,403.89,,,500.0,2687,,820000,305,,
1644,41334,405.87,0.003,-6.032252311706543,500.0,2720,0.010681482031941414,830000,305,1.116591215133667,-35.728233337402344
1648,,405.87,,,500.0,2720,,830000,305,,
1652,,405.87,,,500.0,2720,,830000,305,,
1656,,405.87,,,500.0,2720,,830000,305,,
1660,,405.87,,,500.0,2720,,830000,305,,
1664,41834,411.82,0.003,-5.5378875732421875,500.0,2754,0.009181009605526924,840000,304,1.2729650735855103,-38.5064697265625
1668,,411.82,,,500.0,2754,,840000,304,,
1672,,411.82,,,500.0,2754,,840000,304,,
1676,,411.82,,,500.0,2754,,840000,304,,
1680,,411.82,,,500.0,2754,,840000,304,,
1684,42334,410.46,0.003,-1.7135593891143799,500.0,2787,0.011355532333254814,850000,304,1.1259937286376953,-37.06390380859375
1688,,410.46,,,500.0,2787,,850000,304,,
1692,,410.46,,,500.0,2787,,850000,304,,
1696,,410.46,,,500.0,2787,,850000,304,,
1700,,410.46,,,500.0,2787,,850000,304,,
1704,42834,414.16,0.003,4.819582939147949,500.0,2820,0.009918649680912495,860000,304,2.300715923309326,-36.80976867675781
1708,,414.16,,,500.0,2820,,860000,304,,
1712,,414.16,,,500.0,2820,,860000,304,,
1716,,414.16,,,500.0,2820,,860000,304,,
1720,,414.16,,,500.0,2820,,860000,304,,
1724,43334,418.32,0.003,-4.539556980133057,500.0,2853,0.009733541868627071,870000,304,1.688746690750122,-36.99200439453125
1728,,418.32,,,500.0,2853,,870000,304,,
1732,,418.32,,,500.0,2853,,870000,304,,
1736,,418.32,,,500.0,2853,,870000,304,,
1740,,418.32,,,500.0,2853,,870000,304,,
1744,43834,421.83,0.003,-2.0294928550720215,500.0,2887,0.010153568349778652,880000,304,3.1142373085021973,-37.060787200927734
