train/learning_rate,rollout/ep_rew_mean,time/episodes,train/actor_loss,train/ent_coef_loss,train/critic_loss,time/time_elapsed,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/n_updates
0.00075,0.7680167499999999,4,-12.122450828552246,-2.9431345462799072,0.05439918860793114,29,0.7788504958152771,10000,500.0,336,334
,0.7680167499999999,8,,,,29,,10000,500.0,335,
,0.7680167499999999,12,,,,29,,10000,500.0,335,
,0.7680167499999999,16,,,,29,,10000,500.0,335,
,0.7680167499999999,20,,,,29,,10000,500.0,335,
0.00075,0.9467337,24,-15.973357200622559,-7.361844062805176,0.03837073966860771,68,0.5352073907852173,20000,500.0,290,834
,0.9467337,28,,,,68,,20000,500.0,290,
,0.9467337,32,,,,68,,20000,500.0,290,
,0.9467337,36,,,,68,,20000,500.0,290,
,0.9467337,40,,,,68,,20000,500.0,290,
0.00075,1.1837324166666667,44,-18.90298080444336,-11.745956420898438,0.0534621998667717,101,0.3678205609321594,30000,500.0,296,1334
,1.1837324166666667,48,,,,101,,30000,500.0,296,
,1.1837324166666667,52,,,,101,,30000,500.0,296,
,1.1837324166666667,56,,,,101,,30000,500.0,296,
,1.1837324166666667,60,,,,101,,30000,500.0,296,
0.00075,1.1400359999999998,64,-20.729236602783203,-16.198917388916016,0.0208831038326025,133,0.2528053820133209,40000,500.0,298,1834
,1.1400359999999998,68,,,,133,,40000,500.0,298,
,1.1400359999999998,72,,,,133,,40000,500.0,298,
,1.1400359999999998,76,,,,133,,40000,500.0,298,
,1.1400359999999998,80,,,,133,,40000,500.0,298,
0.00075,1.1124676,84,-21.6928768157959,-20.533496856689453,0.04573533684015274,166,0.17379339039325714,50000,500.0,300,2334
,1.1124676,88,,,,166,,50000,500.0,300,
,1.1124676,92,,,,166,,50000,500.0,300,
,1.1124676,96,,,,166,,50000,500.0,299,
,1.1124676,100,,,,166,,50000,500.0,299,
0.00075,1.16671387,104,-22.005815505981445,-24.84654998779297,3.5402188301086426,199,0.11959424614906311,60000,500.0,300,2834
,1.16671387,108,,,,199,,60000,500.0,300,
,1.16671387,112,,,,199,,60000,500.0,300,
,1.16671387,116,,,,199,,60000,500.0,300,
,1.16671387,120,,,,199,,60000,500.0,300,
0.00075,1.11823605,124,-22.184459686279297,-29.096805572509766,0.06809122860431671,232,0.08230742812156677,70000,500.0,301,3334
,1.11823605,128,,,,232,,70000,500.0,301,
,1.11823605,132,,,,232,,70000,500.0,301,
,1.11823605,136,,,,232,,70000,500.0,301,
,1.11823605,140,,,,232,,70000,500.0,301,
0.00075,0.93238467,144,-21.99435043334961,-32.99662780761719,0.11052332818508148,264,0.05675893276929855,80000,500.0,302,3834
,0.93238467,148,,,,264,,80000,500.0,301,
,0.93238467,152,,,,264,,80000,500.0,301,
,0.93238467,156,,,,264,,80000,500.0,301,
,0.93238467,160,,,,264,,80000,500.0,301,
0.00075,0.8950035500000001,164,-21.5506534576416,-36.57912826538086,0.0428696870803833,297,0.039379142224788666,90000,500.0,302,4334
,0.8950035500000001,168,,,,297,,90000,500.0,302,
,0.8950035500000001,172,,,,297,,90000,500.0,302,
,0.8950035500000001,176,,,,297,,90000,500.0,302,
,0.8950035500000001,180,,,,297,,90000,500.0,302,
0.00075,0.86030548,184,-21.686908721923828,-37.70451354980469,3.630847215652466,331,0.027485376223921776,100000,500.0,302,4834
,0.86030548,188,,,,331,,100000,500.0,302,
,0.86030548,192,,,,331,,100000,500.0,302,
,0.86030548,196,,,,331,,100000,500.0,302,
,0.86030548,200,,,,331,,100000,500.0,302,
0.00075,1.16601834,204,-20.925376892089844,-40.48976135253906,6.7885026931762695,363,0.019329620525240898,110000,500.0,302,5334
,1.16601834,208,,,,363,,110000,500.0,302,
,1.16601834,212,,,,363,,110000,500.0,302,
,1.16601834,216,,,,363,,110000,500.0,302,
,1.16601834,220,,,,363,,110000,500.0,302,
0.00075,1.1240014,224,-20.2126407623291,-41.16173553466797,3.5037648677825928,396,0.013791966252028942,120000,500.0,302,5834
,1.1240014,228,,,,396,,120000,500.0,302,
,1.1240014,232,,,,396,,120000,500.0,302,
,1.1240014,236,,,,396,,120000,500.0,302,
,1.1240014,240,,,,396,,120000,500.0,302,
0.00075,1.22330789,244,-19.600830078125,-23.492816925048828,0.0453106127679348,428,0.010217255912721157,130000,500.0,303,6334
,1.22330789,248,,,,428,,130000,500.0,303,
,1.22330789,252,,,,428,,130000,500.0,303,
,1.22330789,256,,,,428,,130000,500.0,303,
,1.22330789,260,,,,428,,130000,500.0,303,
0.00075,1.39471099,264,-18.601167678833008,-32.559051513671875,0.11909055709838867,463,0.007583675440400839,140000,500.0,302,6834
,1.39471099,268,,,,463,,140000,500.0,302,
,1.39471099,272,,,,463,,140000,500.0,302,
,1.39471099,276,,,,463,,140000,500.0,302,
,1.39471099,280,,,,463,,140000,500.0,302,
0.00075,1.6340476899999996,284,-18.44622039794922,-17.453330993652344,0.06961610913276672,498,0.005915619898587465,150000,500.0,301,7334
,1.6340476899999996,288,,,,498,,150000,500.0,301,
,1.6340476899999996,292,,,,498,,150000,500.0,301,
,1.6340476899999996,296,,,,498,,150000,500.0,301,
,1.6340476899999996,300,,,,498,,150000,500.0,301,
0.00075,1.64450484,304,-17.65892219543457,-15.498817443847656,2.070465087890625,531,0.0047004143707454205,160000,500.0,300,7834
,1.64450484,308,,,,531,,160000,500.0,300,
,1.64450484,312,,,,531,,160000,500.0,300,
,1.64450484,316,,,,531,,160000,500.0,300,
,1.64450484,320,,,,531,,160000,500.0,300,
0.00075,1.7417698699999997,324,-17.95039939880371,-8.939663887023926,0.025921668857336044,565,0.0039384979754686356,170000,500.0,300,8334
,1.7417698699999997,328,,,,565,,170000,500.0,300,
,1.7417698699999997,332,,,,565,,170000,500.0,300,
,1.7417698699999997,336,,,,565,,170000,500.0,300,
,1.7417698699999997,340,,,,565,,170000,500.0,300,
0.00075,1.9216699400000001,344,-17.510520935058594,7.32100772857666,0.03552981838583946,600,0.0034286777954548597,180000,500.0,299,8834
,1.9216699400000001,348,,,,600,,180000,500.0,299,
,1.9216699400000001,352,,,,600,,180000,500.0,299,
,1.9216699400000001,356,,,,600,,180000,500.0,299,
,1.9216699400000001,360,,,,600,,180000,500.0,299,
0.00075,1.7258665999999996,364,-17.258934020996094,0.7970834970474243,0.021576188504695892,633,0.0030893406365066767,190000,500.0,300,9334
,1.7258665999999996,368,,,,633,,190000,500.0,300,
,1.7258665999999996,372,,,,633,,190000,500.0,300,
,1.7258665999999996,376,,,,633,,190000,500.0,300,
,1.7258665999999996,380,,,,633,,190000,500.0,300,
0.00075,1.5743486199999999,384,-16.65703010559082,-3.841766119003296,2.3869426250457764,666,0.0028516538441181183,200000,500.0,300,9834
,1.5743486199999999,388,,,,666,,200000,500.0,300,
,1.5743486199999999,392,,,,666,,200000,500.0,300,
,1.5743486199999999,396,,,,666,,200000,500.0,300,
,1.5743486199999999,400,,,,666,,200000,500.0,300,
0.00075,2.2392030999999997,404,-16.320505142211914,38.70851516723633,0.18928392231464386,699,0.002825075527653098,210000,500.0,300,10334
,2.2392030999999997,408,,,,699,,210000,500.0,300,
