time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,train/learning_rate
259,264,26,7000,0.8208544850349426,-11.741740226745605,0.0,500.0,-2.324157476425171,10,0.12773209810256958,0.00075
221,764,63,14000,0.5640527009963989,-15.75088882446289,0.0,500.0,-6.773273944854736,20,0.03564245253801346,0.00075
221,1264,94,21000,0.3876396417617798,-18.561744689941406,0.0,500.0,-11.158133506774902,30,0.04685186222195625,0.00075
221,,94,21000,,,0.0,500.0,,40,,
222,1764,125,28000,0.26643866300582886,-21.030620574951172,0.0,500.0,-15.587028503417969,50,0.0802479013800621,0.00075
222,2264,157,35000,0.18321570754051208,-22.055639266967773,0.0,500.0,-20.095394134521484,60,0.0368998758494854,0.00075
222,,157,35000,,,0.0,500.0,,70,,
222,2764,188,42000,0.1260906308889389,-22.560009002685547,0.0,500.0,-24.32503890991211,80,0.028752710670232773,0.00075
222,3264,220,49000,0.08683604747056961,-22.232280731201172,0.0,500.0,-28.297077178955078,90,0.15787528455257416,0.00075
223,3764,250,56000,0.05993088707327843,-22.53005599975586,0.0,500.0,-32.19151306152344,100,0.08066266775131226,0.00075
223,,250,56000,,,0.0,500.0,,110,,
222,4264,283,63000,0.04147358611226082,-22.033727645874023,0.0,500.0,-35.223358154296875,120,0.0857204794883728,0.00075
222,4764,314,70000,0.028843220323324203,-21.159534454345703,0.0,500.0,-37.5453987121582,130,0.06077424809336662,0.00075
222,,314,70000,,,0.0,500.0,,140,,
222,5264,346,77000,0.02030220814049244,-20.87295150756836,0.0,500.0,-40.117149353027344,150,3.4045920372009277,0.00075
222,5764,377,84000,0.01460693683475256,-20.5089054107666,0.0,500.0,-40.535484313964844,160,0.03583456203341484,0.00075
221,6264,410,91000,0.010748249478638172,-19.79343605041504,0.0,500.0,-28.119455337524414,170,5.9767351150512695,0.00075
221,,410,91000,,,0.0,500.0,,180,,
221,6764,441,98000,0.008197535760700703,-19.695037841796875,0.0,500.0,-27.241785049438477,190,2.7695794105529785,0.00075
221,7264,474,105000,0.0065872566774487495,-19.107473373413086,0.0,500.0,-21.44519805908203,200,0.026237567886710167,0.00075
221,,474,105000,,,0.0,500.0,,210,,
221,7764,506,112000,0.005421075038611889,-18.27429962158203,0.0,500.0,-21.69886589050293,220,4.372920036315918,0.00075
221,8264,538,119000,0.0046401736326515675,-18.404619216918945,0.0,500.0,-23.24717140197754,230,0.039130669087171555,0.00075
221,8764,569,126000,0.004059830214828253,-18.563983917236328,0.0,500.0,-14.743170738220215,240,0.016782468184828758,0.00075
221,,569,126000,,,0.0,500.0,,250,,
221,9264,601,133000,0.0034141680225729942,-18.14336395263672,0.0,500.0,-7.699275970458984,260,0.06366133689880371,0.00075
221,9764,632,140000,0.003094976069405675,-17.00090789794922,0.0,500.0,-11.935568809509277,270,0.03462730348110199,0.00075
221,,632,140000,,,0.0,500.0,,280,,
221,10264,664,147000,0.002682641614228487,-17.03253173828125,0.0,500.0,-15.30174446105957,290,0.04206502437591553,0.00075
221,10764,695,154000,0.0026103181298822165,-16.48135757446289,0.0,500.0,-2.339779853820801,300,0.04217901825904846,0.00075
221,11264,726,161000,0.0026407905388623476,-16.273473739624023,0.0,500.0,-5.143074035644531,310,0.04146203398704529,0.00075
221,,726,161000,,,0.0,500.0,,320,,
221,11764,757,168000,0.0025944358203560114,-15.423131942749023,0.0,500.0,-1.0117835998535156,330,1.6993131637573242,0.00075
222,12264,788,175000,0.0022253012284636497,-15.281824111938477,0.0,500.0,2.103148937225342,340,1.7698266506195068,0.00075
222,,788,175000,,,0.0,500.0,,350,,
221,12764,820,182000,0.002357622142881155,-15.037179946899414,0.0,500.0,-4.584201812744141,360,0.015093110501766205,0.00075
221,13264,853,189000,0.0021963072940707207,-14.58390998840332,0.0,500.0,-2.1077446937561035,370,0.06474548578262329,0.00075
221,13764,885,196000,0.0021650483831763268,-14.476656913757324,0.0,500.0,-2.108344078063965,380,0.06070837751030922,0.00075
221,,885,196000,,,0.0,500.0,,390,,
221,14264,916,203000,0.001999253174290061,-13.993417739868164,0.0,500.0,1.651257038116455,400,1.5678478479385376,0.00075
221,14764,947,210000,0.0019015269353985786,-13.49462890625,0.0,500.0,-4.499808311462402,410,1.0913467407226562,0.00075
221,,948,210000,,,0.0,500.0,,420,,
221,15264,978,217000,0.0020766465459018946,-13.530844688415527,0.0,500.0,1.666297435760498,430,0.024442441761493683,0.00075
221,15764,1010,224000,0.002115136245265603,-12.834094047546387,0.0,500.0,5.942269325256348,440,0.02545088529586792,0.00075
221,16264,1041,231000,0.001970762386918068,-12.977725982666016,0.0,500.0,-4.4127197265625,450,0.05022893100976944,0.00075
221,,1041,231000,,,0.0,500.0,,460,,
221,16764,1073,238000,0.0019058885518461466,-12.642877578735352,0.0,500.0,-6.665489673614502,470,0.018014300614595413,0.00075
221,17264,1104,245000,0.001751948264427483,-11.926620483398438,0.0,500.0,7.880782604217529,480,1.1399283409118652,0.00075
221,,1104,245000,,,0.0,500.0,,490,,
221,17764,1136,252000,0.0016653017373755574,-11.808670997619629,0.0,500.0,-4.521217346191406,500,0.01462281309068203,0.00075
221,18264,1167,259000,0.0015161321498453617,-11.264549255371094,0.0,500.0,-1.681977391242981,510,1.2154213190078735,0.00075
221,18764,1199,266000,0.0016769933281466365,-11.333181381225586,0.0,500.0,11.197068214416504,520,0.008424518629908562,0.00075
221,,1199,266000,,,0.0,500.0,,530,,
221,19264,1231,273000,0.0017126993043348193,-10.945253372192383,0.0,500.0,-2.595956563949585,540,0.022043239325284958,0.00075
221,19764,1263,280000,0.0017599546117708087,-10.619280815124512,0.0,500.0,-2.7228126525878906,550,0.6729099750518799,0.00075
221,,1263,280000,,,0.0,500.0,,560,,
221,20264,1293,287000,0.0015538366278633475,-10.486686706542969,0.0,500.0,2.5475940704345703,570,0.9489682912826538,0.00075
221,20764,1324,294000,0.0015154043212532997,-9.975080490112305,0.0,500.0,-7.246393203735352,580,0.010971786454319954,0.00075
222,21264,1355,301000,0.001425323891453445,-10.146759033203125,0.0,500.0,0.7414629459381104,590,0.03435207158327103,0.00075
222,,1355,301000,,,0.0,500.0,,600,,
222,21764,1386,308000,0.001516022253781557,-9.888411521911621,0.0,500.0,-4.242979049682617,610,0.013398624025285244,0.00075
222,22264,1417,315000,0.0015390394255518913,-9.891107559204102,0.0,500.0,-4.268155097961426,620,0.008019129745662212,0.00075
222,,1417,315000,,,0.0,500.0,,630,,
222,22764,1447,322000,0.0015361513942480087,-9.545397758483887,0.0,500.0,-5.13410758972168,640,0.006759200245141983,0.00075
222,23264,1479,329000,0.0016760171856731176,-9.39810562133789,0.0,500.0,-4.8939127922058105,650,0.013354914262890816,0.00075
222,23764,1510,336000,0.0015019760467112064,-9.13233757019043,0.0,500.0,-5.793814659118652,660,0.008671141229569912,0.00075
222,,1510,336000,,,0.0,500.0,,670,,
222,24264,1542,343000,0.0013961875811219215,-8.812726020812988,0.0,500.0,7.997431755065918,680,0.031235357746481895,0.00075
222,24764,1573,350000,0.0012311533791944385,-8.702066421508789,0.0,500.0,9.681350708007812,690,0.023988014087080956,0.00075
222,,1573,350000,,,0.0,500.0,,700,,
222,25264,1603,357000,0.0012161313788965344,-8.31865119934082,0.0,500.0,2.3208253383636475,710,0.006524302996695042,0.00075
222,25764,1635,364000,0.001208367059007287,-8.233213424682617,0.0,500.0,-1.6145516633987427,720,0.6122673749923706,0.00075
222,26264,1667,371000,0.0011358608026057482,-7.953571319580078,0.0,500.0,-7.726382732391357,730,0.927689790725708,0.00075
222,,1667,371000,,,0.0,500.0,,740,,
222,26764,1700,378000,0.0011486302828416228,-7.651449203491211,0.0,500.0,-8.53908920288086,750,0.9924401044845581,0.00075
