train/critic_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,time/fps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/ent_coef,time/total_timesteps
0.097513347864151,27,0.00075,500.0,258,-11.530834197998047,264,0.0,-2.3243961334228516,10,0.82084721326828,7000
0.06818504631519318,58,0.00075,500.0,238,-15.405614852905273,764,0.0,-6.730942726135254,20,0.5640425086021423,14000
0.0686374306678772,90,0.00075,500.0,232,-18.63723373413086,1264,0.0,-11.198848724365234,30,0.38762983679771423,21000
,90,,500.0,232,,,0.0,,40,,21000
0.04431701824069023,122,0.00075,500.0,229,-20.394350051879883,1764,0.0,-15.60255241394043,50,0.2664254307746887,28000
0.05454442650079727,154,0.00075,500.0,227,-21.614681243896484,2264,0.0,-19.831798553466797,60,0.18318070471286774,35000
,154,,500.0,227,,,0.0,,70,,35000
0.06882469356060028,186,0.00075,500.0,225,-21.925872802734375,2764,0.0,-24.292491912841797,80,0.12597940862178802,42000
0.047748591750860214,218,0.00075,500.0,223,-22.36779022216797,3264,0.0,-28.751853942871094,90,0.08682898432016373,49000
0.021430853754281998,252,0.00075,500.0,221,-22.168750762939453,3764,0.0,-32.90009307861328,100,0.059828754514455795,56000
,252,,500.0,221,,,0.0,,110,,56000
0.02921038120985031,285,0.00075,500.0,220,-21.658889770507812,4264,0.0,-34.29248809814453,120,0.04138144478201866,63000
0.06320680677890778,318,0.00075,500.0,219,-21.308631896972656,4764,0.0,-39.673126220703125,130,0.028712227940559387,70000
,318,,500.0,219,,,0.0,,140,,70000
3.1891536712646484,352,0.00075,500.0,218,-20.82254409790039,5264,0.0,-40.50968933105469,150,0.02013247273862362,77000
0.02693503350019455,385,0.00075,500.0,217,-20.7258243560791,5764,0.0,-37.89788818359375,160,0.01444847509264946,84000
0.026282668113708496,418,0.00075,500.0,217,-19.813579559326172,6264,0.0,-39.85499572753906,170,0.010415597818791866,91000
,418,,500.0,217,,,0.0,,180,,91000
0.024830730631947517,451,0.00075,500.0,216,-19.59381866455078,6764,0.0,-23.06863784790039,190,0.007895429618656635,98000
0.01840905286371708,485,0.00075,500.0,216,-19.189876556396484,7264,0.0,-27.510663986206055,200,0.0059830923564732075,105000
,485,,500.0,216,,,0.0,,210,,105000
0.03564721345901489,520,0.00075,500.0,215,-19.10761260986328,7764,0.0,-21.048175811767578,220,0.004833756480365992,112000
0.0345354825258255,553,0.00075,500.0,215,-18.408252716064453,8264,0.0,-2.656357526779175,230,0.004095382057130337,119000
2.2738237380981445,586,0.00075,500.0,214,-17.757457733154297,8764,0.0,-5.00612735748291,240,0.003733610035851598,126000
,586,,500.0,214,,,0.0,,250,,126000
0.021928537636995316,620,0.00075,500.0,214,-16.909826278686523,9264,0.0,-15.679157257080078,260,0.0033925145398825407,133000
0.038613829761743546,653,0.00075,500.0,214,-17.106674194335938,9764,0.0,-6.254958152770996,270,0.0030496777035295963,140000
,653,,500.0,214,,,0.0,,280,,140000
0.04083386808633804,687,0.00075,500.0,213,-16.822551727294922,10264,0.0,-7.367725372314453,290,0.0026499154046177864,147000
0.04155513271689415,720,0.00075,500.0,213,-16.57156753540039,10764,0.0,-5.719457626342773,300,0.002302260138094425,154000
0.03431228548288345,754,0.00075,500.0,213,-15.418233871459961,11264,0.0,-8.1494140625,310,0.002348235808312893,161000
,754,,500.0,213,,,0.0,,320,,161000
0.04601963609457016,788,0.00075,500.0,213,-15.142315864562988,11764,0.0,-0.150412917137146,330,0.0026987874880433083,168000
0.04314395412802696,822,0.00075,500.0,212,-15.063802719116211,12264,0.0,-11.490272521972656,340,0.0024223250802606344,175000
,822,,500.0,212,,,0.0,,350,,175000
2.4002513885498047,856,0.00075,500.0,212,-14.920867919921875,12764,0.0,-4.107275009155273,360,0.002355278003960848,182000
0.04399389773607254,890,0.00075,500.0,212,-14.681139945983887,13264,0.0,13.67771053314209,370,0.002604302018880844,189000
0.082204669713974,923,0.00075,500.0,212,-13.967529296875,13764,0.77,-1.8050587177276611,380,0.0027947784401476383,196000
,924,,500.0,212,,,0.77,,390,,196000
0.035384923219680786,957,0.00075,500.0,211,-13.635107040405273,14264,0.77,-9.68059253692627,400,0.0025691285263746977,203000
0.03689426928758621,991,0.00075,500.0,211,-13.779508590698242,14764,0.77,1.873261570930481,410,0.0022630721796303988,210000
,991,,500.0,211,,,0.77,,420,,210000
1.541317343711853,1025,0.00075,500.0,211,-13.56187915802002,15264,0.77,0.17698132991790771,430,0.002324769040569663,217000
0.033386118710041046,1058,0.00075,500.0,211,-13.272605895996094,15764,1.03,-6.372603893280029,440,0.002224203199148178,224000
1.2922651767730713,1092,0.00075,500.0,211,-13.023042678833008,16264,1.03,-9.119699478149414,450,0.002310260431841016,231000
,1092,,500.0,211,,,1.03,,460,,231000
0.04138535261154175,1126,0.00075,500.0,211,-12.755439758300781,16764,1.03,-10.318094253540039,470,0.0020364883821457624,238000
0.02149999886751175,1159,0.00075,500.0,211,-12.558528900146484,17264,0.26,-4.623380184173584,480,0.002235254505649209,245000
,1159,,500.0,211,,,0.26,,490,,245000
1.0316413640975952,1193,0.00075,500.0,211,-12.060705184936523,17764,0.26,-1.0268839597702026,500,0.0020758069586008787,252000
0.010239627212285995,1227,0.00075,500.0,211,-12.002986907958984,18264,0.26,7.024988651275635,510,0.0019824220798909664,259000
0.01740528829395771,1260,0.00075,500.0,211,-11.718057632446289,18764,0.26,-6.007961273193359,520,0.002000519772991538,266000
,1260,,500.0,210,,,0.26,,530,,266000
1.0632970333099365,1294,0.00075,500.0,210,-11.606996536254883,19264,0.0,-1.51034677028656,540,0.0018111898098140955,273000
0.01067381352186203,1327,0.00075,500.0,210,-11.456189155578613,19764,0.0,-11.456755638122559,550,0.0018851669738069177,280000
,1327,,500.0,210,,,0.0,,560,,280000
0.011735936626791954,1360,0.00075,500.0,210,-11.034621238708496,20264,0.0,-8.927225112915039,570,0.0016129740979522467,287000
0.007960405200719833,1394,0.00075,500.0,210,-10.941210746765137,20764,0.0,-11.178793907165527,580,0.001747916336171329,294000
0.015537848696112633,1427,0.00075,500.0,210,-10.36854076385498,21264,0.0,-3.2439942359924316,590,0.0014875399647280574,301000
,1427,,500.0,210,,,0.0,,600,,301000
0.007796400226652622,1461,0.00075,500.0,210,-10.167724609375,21764,0.0,4.890741348266602,610,0.0013711756328120828,308000
1.3684053421020508,1494,0.00075,500.0,210,-9.942464828491211,22264,0.0,-4.725217342376709,620,0.0013014533324167132,315000
,1494,,500.0,210,,,0.0,,630,,315000
0.7636677026748657,1528,0.00075,500.0,210,-9.77293872833252,22764,0.0,2.7123494148254395,640,0.0012772263726219535,322000
0.018000297248363495,1561,0.00075,500.0,210,-9.436908721923828,23264,0.0,-9.442138671875,650,0.0013406653888523579,329000
0.015942467376589775,1595,0.00075,500.0,210,-9.6204195022583,23764,0.0,4.557322978973389,660,0.0013833704870194197,336000
,1595,,500.0,210,,,0.0,,670,,336000
0.011311356909573078,1628,0.00075,500.0,210,-9.237323760986328,24264,0.0,-8.382987976074219,680,0.0013663126155734062,343000
0.013946091756224632,1662,0.00075,500.0,210,-9.051045417785645,24764,0.0,-0.4698444604873657,690,0.001273646019399166,350000
,1662,,500.0,210,,,0.0,,700,,350000
0.5619362592697144,1695,0.00075,500.0,210,-8.745231628417969,25264,0.0,-4.413276672363281,710,0.0012526641367003322,357000
0.010312404483556747,1729,0.00075,500.0,210,-8.396224975585938,25764,0.0,18.89337730407715,720,0.0013303172308951616,364000
0.011724800802767277,1763,0.00075,500.0,210,-8.377132415771484,26264,0.0,-0.06318750977516174,730,0.001229755813255906,371000
,1763,,500.0,210,,,0.0,,740,,371000
0.016274534165859222,1798,0.00075,500.0,210,-8.1971435546875,26764,0.0,-11.257744789123535,750,0.0011926769511774182,378000
0.006422823760658503,1832,0.00075,500.0,210,-8.180004119873047,27264,0.06,-9.905162811279297,760,0.0012511066161096096,385000
,1832,,500.0,210,,,0.06,,770,,385000
0.008844157680869102,1866,0.00075,500.0,209,-7.938605308532715,27764,0.06,-1.6287789344787598,780,0.0011273176642134786,392000
0.008409854024648666,1900,0.00075,500.0,209,-7.820028305053711,28264,0.06,-2.3701398372650146,790,0.0010366491042077541,399000
0.007366667035967112,1934,0.00075,500.0,209,-7.404567718505859,28764,0.37,-5.674452781677246,800,0.0010545240947976708,406000
,1934,,500.0,209,,,0.37,,810,,406000
0.18497484922409058,1968,0.00075,500.0,209,-7.130460739135742,29264,0.37,-5.555710792541504,820,0.000957304728217423,413000
0.0068159266375005245,2002,0.00075,500.0,209,-7.052126884460449,29764,0.37,6.066965579986572,830,0.0010054075391963124,420000
,2002,,500.0,209,,,0.37,,840,,420000
0.0072305407375097275,2036,0.00075,500.0,209,-7.019550323486328,30264,0.37,5.753775119781494,850,0.0009192504803650081,427000
0.42764484882354736,2070,0.00075,500.0,209,-6.846488952636719,30764,0.31,-7.440940856933594,860,0.0009841227438300848,434000
0.5753642320632935,2105,0.00075,500.0,209,-6.393331050872803,31264,0.31,-2.368976593017578,870,0.0008832992753013968,441000
,2105,,500.0,209,,,0.31,,880,,441000
0.3370214104652405,2139,0.00075,500.0,209,-6.447096824645996,31764,0.31,0.31995144486427307,890,0.0007731536170467734,448000
0.004514206666499376,2174,0.00075,500.0,209,-6.368491172790527,32264,0.0,6.886212348937988,900,0.0008214815170504153,455000
,2174,,500.0,209,,,0.0,,910,,455000
0.0026810080744326115,2208,0.00075,500.0,209,-6.279339790344238,32764,0.0,-2.198486566543579,920,0.0009173557627946138,462000
0.0037665870040655136,2242,0.00075,500.0,209,-6.1794586181640625,33264,0.0,-9.393409729003906,930,0.0008409162983298302,469000
0.007508278824388981,2276,0.00075,500.0,209,-5.950514793395996,33764,0.0,-17.84606170654297,940,0.0009014211245812476,476000
,2276,,500.0,209,,,0.0,,950,,476000
0.002671940252184868,2309,0.00075,500.0,209,-5.649546146392822,34264,0.0,-10.15951156616211,960,0.0007976139313541353,483000
0.0033518176060169935,2344,0.00075,500.0,208,-5.687650680541992,34764,0.0,6.932807922363281,970,0.0008337633335031569,490000
,2344,,500.0,208,,,0.0,,980,,490000
0.0032262583263218403,2378,0.00075,500.0,208,-5.592850208282471,35264,0.0,-11.620388984680176,990,0.0006916852435097098,497000
0.011481434106826782,2411,0.00075,500.0,208,-5.410815238952637,35764,0.0,0.448379784822464,1000,0.0006867126794531941,504000
0.009821655228734016,2445,0.00075,500.0,208,-5.449281692504883,36264,0.0,-14.299155235290527,1010,0.0006579490727744997,511000
,2445,,500.0,208,,,0.0,,1020,,511000
0.0020395484752953053,2479,0.00075,500.0,208,-5.182732582092285,36764,0.0,-7.039575576782227,1030,0.0006052665994502604,518000
0.0029769393149763346,2513,0.00075,500.0,208,-4.947657585144043,37264,0.0,6.478464603424072,1040,0.0006889495416544378,525000
,2513,,500.0,208,,,0.0,,1050,,525000
0.0014572287909686565,2546,0.00075,500.0,208,-4.903609275817871,37764,0.0,-4.179564476013184,1060,0.0006662718951702118,532000
0.0019412676338106394,2580,0.00075,500.0,208,-4.941610336303711,38264,0.0,-15.56594467163086,1070,0.0005257188458926976,539000
0.004029124043881893,2614,0.00075,500.0,208,-4.686156749725342,38764,0.47,-2.971189022064209,1080,0.000620894250459969,546000
,2614,,500.0,208,,,0.47,,1090,,546000
0.0032716263085603714,2649,0.00075,500.0,208,-4.647197723388672,39264,1.79,13.322032928466797,1100,0.0006145015358924866,553000
0.0012921507004648447,2682,0.00075,500.0,208,-4.48238468170166,39764,2.62,-5.565675258636475,1110,0.0005507452879101038,560000
,2682,,500.0,208,,,2.62,,1120,,560000
0.15256795287132263,2716,0.00075,500.0,208,-4.366744041442871,40264,2.62,-1.3974652290344238,1130,0.0005565227475017309,567000
0.002576886210590601,2750,0.00075,500.0,208,-4.308131217956543,40764,2.62,5.577606678009033,1140,0.0005561555735766888,574000
0.0015777840744704008,2784,0.00075,500.0,208,-4.22196102142334,41264,2.62,-2.4477033615112305,1150,0.0005093197105452418,581000
,2784,,500.0,208,,,2.62,,1160,,581000
0.1420890986919403,2818,0.00075,500.0,208,-4.106915473937988,41764,2.62,-7.677339553833008,1170,0.0005261760088615119,588000
0.0019782260060310364,2851,0.00075,500.0,208,-4.002821922302246,42264,2.15,0.8216148614883423,1180,0.0005428131553344429,595000
,2851,,500.0,208,,,2.15,,1190,,595000
0.0017643398605287075,2884,0.00075,500.0,208,-3.969113349914551,42764,0.83,-11.46854305267334,1200,0.0005537305842153728,602000
