train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/time_elapsed,train/ent_coef_loss,time/episodes,train/ent_coef
-11.525074005126953,7000,258,0.10994551330804825,0.0,500.0,264,0.00075,27,-2.3243601322174072,10,0.820845901966095
-15.538985252380371,14000,237,1.138312816619873,0.0,500.0,764,0.00075,58,-6.773205757141113,20,0.5640929341316223
-18.510883331298828,21000,231,2.132819652557373,0.0,500.0,1264,0.00075,90,-11.156423568725586,30,0.38767296075820923
,21000,231,,0.0,500.0,,,90,,40,
-20.937084197998047,28000,228,0.16093118488788605,0.0,500.0,1764,0.00075,122,-15.53580379486084,50,0.2664432227611542
-21.721328735351562,35000,227,0.2269989252090454,0.0,500.0,2264,0.00075,153,-19.932615280151367,60,0.18317916989326477
,35000,227,,0.0,500.0,,,153,,70,
-22.39614486694336,42000,226,0.034638408571481705,0.0,500.0,2764,0.00075,185,-24.393033981323242,80,0.12599307298660278
-22.013334274291992,49000,224,0.06044221669435501,0.0,500.0,3264,0.00075,218,-28.594175338745117,90,0.08680284768342972
-22.356340408325195,56000,223,0.05988636985421181,0.0,500.0,3764,0.00075,250,-32.84499740600586,100,0.05987704172730446
,56000,223,,0.0,500.0,,,250,,110,
-22.107210159301758,63000,223,0.02782982960343361,0.0,500.0,4264,0.00075,282,-36.18169403076172,120,0.04154801368713379
-21.714385986328125,70000,222,3.3245325088500977,0.0,500.0,4764,0.00075,315,-39.003570556640625,130,0.028961453586816788
,70000,222,,0.0,500.0,,,315,,140,
-21.373510360717773,77000,220,0.057709433138370514,0.0,500.0,5264,0.00075,348,-38.994117736816406,150,0.020337801426649094
-20.784286499023438,84000,219,0.05461422726511955,0.0,500.0,5764,0.00075,381,-40.46988296508789,160,0.014658940024673939
-20.617687225341797,91000,219,0.025380823761224747,0.0,500.0,6264,0.00075,415,-38.43626403808594,170,0.01074301265180111
,91000,219,,0.0,500.0,,,415,,180,
-19.561004638671875,98000,218,0.02875945344567299,0.0,500.0,6764,0.00075,448,-30.94814682006836,190,0.008026707917451859
-19.323869705200195,105000,218,0.03775404766201973,0.0,500.0,7264,0.00075,481,-27.989187240600586,200,0.006112384144216776
,105000,218,,0.0,500.0,,,481,,210,
-18.52643585205078,112000,217,0.0916665643453598,0.0,500.0,7764,0.00075,514,-23.556896209716797,220,0.005087701603770256
-18.008028030395508,119000,217,0.03745869919657707,0.0,500.0,8264,0.00075,548,-7.326694488525391,230,0.004476891364902258
-17.780033111572266,126000,216,0.045671358704566956,0.0,500.0,8764,0.00075,581,-4.917268753051758,240,0.003947730176150799
,126000,216,,0.0,500.0,,,581,,250,
-17.196212768554688,133000,216,1.463797688484192,0.0,500.0,9264,0.00075,613,-10.99064826965332,260,0.00357259064912796
-17.086490631103516,140000,216,2.136078119277954,0.0,500.0,9764,0.00075,645,-4.169435977935791,270,0.003459473606199026
,140000,216,,0.0,500.0,,,645,,280,
-16.65563201904297,147000,217,0.04136521369218826,0.0,500.0,10264,0.00075,677,8.156665802001953,290,0.0031987179536372423
-16.155086517333984,154000,216,0.023191247135400772,0.0,500.0,10764,0.00075,710,-5.421004295349121,300,0.003086678683757782
-15.9747314453125,161000,216,0.022240420803427696,0.0,500.0,11264,0.00075,742,-9.823348999023438,310,0.0028464968781918287
,161000,216,,0.0,500.0,,,742,,320,
-15.024284362792969,168000,216,0.028131093829870224,0.0,500.0,11764,0.00075,774,1.1899082660675049,330,0.002715876791626215
-14.981561660766602,175000,217,2.017941474914551,0.0,500.0,12264,0.00075,806,-4.335790634155273,340,0.002676992444321513
,175000,217,,0.0,500.0,,,806,,350,
-14.828706741333008,182000,217,0.015848610550165176,0.0,500.0,12764,0.00075,836,-1.5509535074234009,360,0.002663555322214961
-14.35316276550293,189000,217,0.08338049054145813,0.0,500.0,13264,0.00075,867,1.6571035385131836,370,0.0024659233167767525
-14.3309326171875,196000,217,0.01608779840171337,0.0,500.0,13764,0.00075,900,-1.3767461776733398,380,0.0024177716113626957
,196000,217,,0.0,500.0,,,900,,390,
-13.859694480895996,203000,218,0.03651005029678345,0.0,500.0,14264,0.00075,930,-9.903162002563477,400,0.002255241619423032
-13.639394760131836,210000,218,0.014581756666302681,0.0,500.0,14764,0.00075,963,-3.7252941131591797,410,0.0021541195455938578
,210000,218,,0.0,500.0,,,963,,420,
-13.045241355895996,217000,218,0.02053723856806755,0.0,500.0,15264,0.00075,995,3.632441520690918,430,0.0020856272894889116
-12.8464994430542,224000,217,0.026848677545785904,0.0,500.0,15764,0.00075,1027,-9.887500762939453,440,0.002221005968749523
-12.796588897705078,231000,218,1.5820503234863281,1.38,500.0,16264,0.00075,1059,12.318370819091797,450,0.0018966703210026026
,231000,217,,1.38,500.0,,,1059,,460,
-12.500272750854492,238000,218,0.024649322032928467,1.38,500.0,16764,0.00075,1090,4.34537410736084,470,0.0019848018418997526
-12.026890754699707,245000,218,1.2695057392120361,1.38,500.0,17264,0.00075,1120,-0.8528169393539429,480,0.002095184288918972
,245000,218,,1.38,500.0,,,1120,,490,
-12.15426254272461,252000,218,1.2014739513397217,1.38,500.0,17764,0.00075,1151,4.081214427947998,500,0.002149229636415839
-11.537378311157227,259000,218,0.012747492641210556,1.38,500.0,18264,0.00075,1182,-5.272029876708984,510,0.0019737209659069777
-11.301424980163574,266000,219,0.007939035072922707,1.38,500.0,18764,0.00075,1214,-3.242436408996582,520,0.0019093179143965244
,266000,219,,1.38,500.0,,,1214,,530,
-11.18463134765625,273000,219,0.008396130055189133,1.38,500.0,19264,0.00075,1245,-3.4793806076049805,540,0.0018917613197118044
-11.163337707519531,280000,219,0.9340096712112427,0.0,500.0,19764,0.00075,1277,-2.9853601455688477,550,0.001975380815565586
,280000,219,,0.0,500.0,,,1277,,560,
-10.461946487426758,287000,219,0.012603114359080791,1.35,500.0,20264,0.00075,1308,3.2848594188690186,570,0.0015436947578564286
-10.440783500671387,294000,219,0.012505052611231804,1.35,500.0,20764,0.00075,1339,14.23702621459961,580,0.001814311952330172
-9.990204811096191,301000,219,0.010878736153244972,1.35,500.0,21264,0.00075,1370,-2.825758934020996,590,0.0018751644529402256
,301000,219,,1.35,500.0,,,1370,,600,
-10.028636932373047,308000,219,0.4096876382827759,1.35,500.0,21764,0.00075,1403,-10.512521743774414,610,0.0014708897797390819
-9.718803405761719,315000,219,0.6789801120758057,1.35,500.0,22264,0.00075,1435,-3.3326539993286133,620,0.0015386776067316532
,315000,219,,1.35,500.0,,,1435,,630,
-9.483179092407227,322000,219,0.008892370387911797,1.35,500.0,22764,0.00075,1467,-6.409881114959717,640,0.0016732447547838092
-9.278810501098633,329000,219,0.013695994392037392,1.35,500.0,23264,0.00075,1498,-1.8914759159088135,650,0.0016863938653841615
-9.296236038208008,336000,219,1.3966844081878662,0.0,500.0,23764,0.00075,1529,5.000332832336426,660,0.001563723781146109
,336000,219,,0.0,500.0,,,1529,,670,
