train/n_updates,time/fps,train/ent_coef,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
334,318,0.7788468599319458,0.00075,10000,4,500.0,-2.949070930480957,0.0852401852607727,1.46171055,31,-12.124794006347656
,318,,,10000,8,500.0,,,1.46171055,31,
,318,,,10000,12,500.0,,,1.46171055,31,
,317,,,10000,16,500.0,,,1.46171055,31,
,317,,,10000,20,500.0,,,1.46171055,31,
834,313,0.5352325439453125,0.00075,20000,24,500.0,-7.350428581237793,0.04878148436546326,2.8313508750000005,63,-15.981790542602539
,313,,,20000,28,500.0,,,2.8313508750000005,63,
,313,,,20000,32,500.0,,,2.8313508750000005,63,
,313,,,20000,36,500.0,,,2.8313508750000005,63,
,313,,,20000,40,500.0,,,2.8313508750000005,63,
1334,311,0.36786192655563354,0.00075,30000,44,500.0,-11.808455467224121,2.3268604278564453,2.3679476,96,-18.841989517211914
,311,,,30000,48,500.0,,,2.3679476,96,
,311,,,30000,52,500.0,,,2.3679476,96,
,311,,,30000,56,500.0,,,2.3679476,96,
,311,,,30000,60,500.0,,,2.3679476,96,
1834,310,0.2528313994407654,0.00075,40000,64,500.0,-16.156517028808594,0.021925972774624825,2.2096311,128,-20.747007369995117
,310,,,40000,68,500.0,,,2.2096311,128,
,310,,,40000,72,500.0,,,2.2096311,128,
,310,,,40000,76,500.0,,,2.2096311,128,
,310,,,40000,80,500.0,,,2.2096311,128,
2334,309,0.17381730675697327,0.00075,50000,84,500.0,-20.446605682373047,0.015141498297452927,2.2738002699999997,161,-21.901334762573242
,309,,,50000,88,500.0,,,2.2738002699999997,161,
,309,,,50000,92,500.0,,,2.2738002699999997,161,
,309,,,50000,96,500.0,,,2.2738002699999997,161,
,309,,,50000,100,500.0,,,2.2738002699999997,161,
2834,308,0.11956155300140381,0.00075,60000,104,500.0,-24.954147338867188,0.015434695407748222,2.33565864,194,-22.51931381225586
,308,,,60000,108,500.0,,,2.33565864,194,
,308,,,60000,112,500.0,,,2.33565864,194,
,308,,,60000,116,500.0,,,2.33565864,194,
,308,,,60000,120,500.0,,,2.33565864,194,
3334,307,0.08231643587350845,0.00075,70000,124,500.0,-29.38576316833496,3.653430461883545,1.87102509,227,-22.382972717285156
,307,,,70000,128,500.0,,,1.87102509,227,
,307,,,70000,132,500.0,,,1.87102509,227,
,307,,,70000,136,500.0,,,1.87102509,227,
,307,,,70000,140,500.0,,,1.87102509,227,
3834,307,0.0567968487739563,0.00075,80000,144,500.0,-33.11967468261719,0.0555221289396286,2.1285397699999997,260,-22.14516830444336
,307,,,80000,148,500.0,,,2.1285397699999997,260,
,307,,,80000,152,500.0,,,2.1285397699999997,260,
,307,,,80000,156,500.0,,,2.1285397699999997,260,
,307,,,80000,160,500.0,,,2.1285397699999997,260,
4334,307,0.039393350481987,0.00075,90000,164,500.0,-36.086029052734375,0.029827971011400223,2.11853119,292,-21.904579162597656
,307,,,90000,168,500.0,,,2.11853119,292,
,307,,,90000,172,500.0,,,2.11853119,292,
,307,,,90000,176,500.0,,,2.11853119,292,
,307,,,90000,180,500.0,,,2.11853119,292,
4834,307,0.02735603228211403,0.00075,100000,184,500.0,-37.94749450683594,0.056007348001003265,2.20631773,325,-21.346248626708984
,307,,,100000,188,500.0,,,2.20631773,325,
,307,,,100000,192,500.0,,,2.20631773,325,
,307,,,100000,196,500.0,,,2.20631773,325,
,307,,,100000,200,500.0,,,2.20631773,325,
5334,307,0.01935938186943531,0.00075,110000,204,500.0,-41.58588409423828,0.08195458352565765,3.2360738600000003,357,-21.022594451904297
,307,,,110000,208,500.0,,,3.2360738600000003,357,
,307,,,110000,212,500.0,,,3.2360738600000003,357,
,307,,,110000,216,500.0,,,3.2360738600000003,357,
,307,,,110000,220,500.0,,,3.2360738600000003,357,
5834,307,0.013824914582073689,0.00075,120000,224,500.0,-37.804527282714844,2.077694892883301,3.1599749299999997,390,-20.699472427368164
,307,,,120000,228,500.0,,,3.1599749299999997,390,
,307,,,120000,232,500.0,,,3.1599749299999997,390,
,307,,,120000,236,500.0,,,3.1599749299999997,390,
,307,,,120000,240,500.0,,,3.1599749299999997,390,
6334,307,0.010137941688299179,0.00075,130000,244,500.0,-37.30997848510742,0.05664969980716705,3.1459152899999996,422,-20.09403419494629
,307,,,130000,248,500.0,,,3.1459152899999996,422,
,307,,,130000,252,500.0,,,3.1459152899999996,422,
,307,,,130000,256,500.0,,,3.1459152899999996,422,
,307,,,130000,260,500.0,,,3.1459152899999996,422,
6834,307,0.007620272692292929,0.00075,140000,264,500.0,-37.35655212402344,0.05803187936544418,3.6696193400000006,454,-19.51467514038086
,307,,,140000,268,500.0,,,3.6696193400000006,454,
,307,,,140000,272,500.0,,,3.6696193400000006,454,
,307,,,140000,276,500.0,,,3.6696193400000006,454,
,307,,,140000,280,500.0,,,3.6696193400000006,454,
7334,307,0.005892102140933275,0.00075,150000,284,500.0,-3.3320820331573486,0.029334411025047302,3.68300417,487,-19.10865592956543
,307,,,150000,288,500.0,,,3.68300417,487,
,307,,,150000,292,500.0,,,3.68300417,487,
,307,,,150000,296,500.0,,,3.68300417,487,
,307,,,150000,300,500.0,,,3.68300417,487,
7834,307,0.004737063776701689,0.00075,160000,304,500.0,-21.36162567138672,0.03646734729409218,4.171000360000001,520,-18.556442260742188
,307,,,160000,308,500.0,,,4.171000360000001,520,
,307,,,160000,312,500.0,,,4.171000360000001,520,
,307,,,160000,316,500.0,,,4.171000360000001,520,
,307,,,160000,320,500.0,,,4.171000360000001,520,
8334,307,0.0038559739477932453,0.00075,170000,324,500.0,-8.856746673583984,0.031418025493621826,5.52659277,553,-18.138233184814453
,307,,,170000,328,500.0,,,5.52659277,553,
,307,,,170000,332,500.0,,,5.52659277,553,
,307,,,170000,336,500.0,,,5.52659277,553,
,307,,,170000,340,500.0,,,5.52659277,553,
8834,307,0.0034864521585404873,0.00075,180000,344,500.0,4.101470947265625,0.042146116495132446,5.7501837799999995,585,-17.742164611816406
,307,,,180000,348,500.0,,,5.7501837799999995,585,
,307,,,180000,352,500.0,,,5.7501837799999995,585,
,307,,,180000,356,500.0,,,5.7501837799999995,585,
,307,,,180000,360,500.0,,,5.7501837799999995,585,
9334,307,0.0031821769662201405,0.00075,190000,364,500.0,3.076317310333252,0.07797674834728241,5.752280279999999,618,-17.637847900390625
,307,,,190000,368,500.0,,,5.752280279999999,618,
,307,,,190000,372,500.0,,,5.752280279999999,618,
,307,,,190000,376,500.0,,,5.752280279999999,618,
,307,,,190000,380,500.0,,,5.752280279999999,618,
9834,307,0.0029078866355121136,0.00075,200000,384,500.0,-7.630555152893066,4.463378429412842,7.396296009999999,650,-17.05301284790039
,307,,,200000,388,500.0,,,7.396296009999999,650,
,307,,,200000,392,500.0,,,7.396296009999999,650,
,307,,,200000,396,500.0,,,7.396296009999999,650,
,307,,,200000,400,500.0,,,7.396296009999999,650,
10334,307,0.0026682105381041765,0.00075,210000,404,500.0,4.662240982055664,0.015907015651464462,7.145751859999998,682,-16.740966796875
,307,,,210000,408,500.0,,,7.145751859999998,682,
,307,,,210000,412,500.0,,,7.145751859999998,682,
,307,,,210000,416,500.0,,,7.145751859999998,682,
,307,,,210000,420,500.0,,,7.145751859999998,682,
10834,307,0.002728578168898821,0.00075,220000,424,500.0,13.118844032287598,0.03728800266981125,5.8074860300000015,715,-16.55935287475586
,307,,,220000,428,500.0,,,5.8074860300000015,715,
,307,,,220000,432,500.0,,,5.8074860300000015,715,
,307,,,220000,436,500.0,,,5.8074860300000015,715,
,307,,,220000,440,500.0,,,5.8074860300000015,715,
11334,307,0.0023515657521784306,0.00075,230000,444,500.0,-11.294166564941406,0.040375154465436935,5.49307715,746,-16.17031478881836
,307,,,230000,448,500.0,,,5.49307715,746,
,307,,,230000,452,500.0,,,5.49307715,746,
,307,,,230000,456,500.0,,,5.49307715,746,
,307,,,230000,460,500.0,,,5.49307715,746,
11834,307,0.002203910844400525,0.00075,240000,464,500.0,6.895209789276123,2.083035469055176,5.0852159,779,-15.6014404296875
,307,,,240000,468,500.0,,,5.0852159,779,
,307,,,240000,472,500.0,,,5.0852159,779,
,307,,,240000,476,500.0,,,5.0852159,779,
,307,,,240000,480,500.0,,,5.0852159,779,
12334,307,0.002186071826145053,0.00075,250000,484,500.0,-1.6468384265899658,0.04131755977869034,4.577437740000001,811,-15.312179565429688
,307,,,250000,488,500.0,,,4.577437740000001,811,
,307,,,250000,492,500.0,,,4.577437740000001,811,
,307,,,250000,496,500.0,,,4.577437740000001,811,
,307,,,250000,500,500.0,,,4.577437740000001,811,
12834,307,0.0023131894413381815,0.00075,260000,504,500.0,-4.794086933135986,1.840571403503418,5.91319099,844,-14.605693817138672
,307,,,260000,508,500.0,,,5.91319099,844,
,307,,,260000,512,500.0,,,5.91319099,844,
,307,,,260000,516,500.0,,,5.91319099,844,
,307,,,260000,520,500.0,,,5.91319099,844,
13334,308,0.002396030817180872,0.00075,270000,524,500.0,2.33644700050354,0.02791934832930565,7.174174820000001,876,-14.667076110839844
,308,,,270000,528,500.0,,,7.174174820000001,876,
,308,,,270000,532,500.0,,,7.174174820000001,876,
,308,,,270000,536,500.0,,,7.174174820000001,876,
,308,,,270000,540,500.0,,,7.174174820000001,876,
13834,308,0.0023224479518830776,0.00075,280000,544,500.0,-8.717866897583008,0.025186732411384583,8.434379360000001,907,-14.304220199584961
,308,,,280000,548,500.0,,,8.434379360000001,907,
,308,,,280000,552,500.0,,,8.434379360000001,907,
,308,,,280000,556,500.0,,,8.434379360000001,907,
,308,,,280000,560,500.0,,,8.434379360000001,907,
14334,308,0.002165248617529869,0.00075,290000,564,500.0,-6.530073642730713,0.019517596811056137,9.11698405,940,-14.036775588989258
,308,,,290000,568,500.0,,,9.11698405,940,
,308,,,290000,572,500.0,,,9.11698405,940,
,308,,,290000,576,500.0,,,9.11698405,940,
,308,,,290000,580,500.0,,,9.11698405,940,
14834,308,0.0022277983371168375,0.00075,300000,584,500.0,-7.692583084106445,0.015447433106601238,8.806805240000001,973,-13.495536804199219
,308,,,300000,588,500.0,,,8.806805240000001,973,
,308,,,300000,592,500.0,,,8.806805240000001,973,
,308,,,300000,596,500.0,,,8.806805240000001,973,
,308,,,300000,600,500.0,,,8.806805240000001,973,
15334,308,0.0020973484497517347,0.00075,310000,604,500.0,-6.804960250854492,1.3939812183380127,6.884858919999999,1006,-13.506013870239258
,308,,,310000,608,500.0,,,6.884858919999999,1006,
,308,,,310000,612,500.0,,,6.884858919999999,1006,
,308,,,310000,616,500.0,,,6.884858919999999,1006,
,308,,,310000,620,500.0,,,6.884858919999999,1006,
15834,308,0.001854948466643691,0.00075,320000,624,500.0,-1.7286373376846313,0.021434452384710312,7.128554570000001,1038,-12.852170944213867
,308,,,320000,628,500.0,,,7.128554570000001,1038,
,308,,,320000,632,500.0,,,7.128554570000001,1038,
,308,,,320000,636,500.0,,,7.128554570000001,1038,
,308,,,320000,640,500.0,,,7.128554570000001,1038,
16334,308,0.0018368018791079521,0.00075,330000,644,500.0,-4.312915802001953,0.02202688343822956,7.652655189999999,1070,-12.567980766296387
,308,,,330000,648,500.0,,,7.652655189999999,1070,
,308,,,330000,652,500.0,,,7.652655189999999,1070,
,308,,,330000,656,500.0,,,7.652655189999999,1070,
,308,,,330000,660,500.0,,,7.652655189999999,1070,
16834,308,0.0018232004949823022,0.00075,340000,664,500.0,16.957279205322266,0.01841944083571434,8.83323033,1102,-12.554283142089844
,308,,,340000,668,500.0,,,8.83323033,1102,
,308,,,340000,672,500.0,,,8.83323033,1102,
,308,,,340000,676,500.0,,,8.83323033,1102,
,308,,,340000,680,500.0,,,8.83323033,1102,
17334,308,0.0017912305193021894,0.00075,350000,684,500.0,8.872200012207031,0.0436781644821167,9.331061139999997,1134,-12.18625259399414
,308,,,350000,688,500.0,,,9.331061139999997,1134,
,308,,,350000,692,500.0,,,9.331061139999997,1134,
,308,,,350000,696,500.0,,,9.331061139999997,1134,
,308,,,350000,700,500.0,,,9.331061139999997,1134,
17834,308,0.0018531078239902854,0.00075,360000,704,500.0,17.856304168701172,1.2523384094238281,9.56196882,1167,-12.001688003540039
,308,,,360000,708,500.0,,,9.56196882,1167,
,308,,,360000,712,500.0,,,9.56196882,1167,
,308,,,360000,716,500.0,,,9.56196882,1167,
,308,,,360000,720,500.0,,,9.56196882,1167,
18334,308,0.0017342990031465888,0.00075,370000,724,500.0,7.447279930114746,0.010846106335520744,12.389015559999997,1199,-11.741783142089844
,308,,,370000,728,500.0,,,12.389015559999997,1199,
,308,,,370000,732,500.0,,,12.389015559999997,1199,
,308,,,370000,736,500.0,,,12.389015559999997,1199,
,308,,,370000,740,500.0,,,12.389015559999997,1199,
18834,308,0.001873066183179617,0.00075,380000,744,500.0,1.103111743927002,0.00845055840909481,13.69084073,1231,-11.357098579406738
,308,,,380000,748,500.0,,,13.69084073,1231,
,308,,,380000,752,500.0,,,13.69084073,1231,
,308,,,380000,756,500.0,,,13.69084073,1231,
,308,,,380000,760,500.0,,,13.69084073,1231,
19334,308,0.001706393901258707,0.00075,390000,764,500.0,-2.605456829071045,0.9274038076400757,12.989772559999999,1263,-11.306337356567383
,308,,,390000,768,500.0,,,12.989772559999999,1263,
,308,,,390000,772,500.0,,,12.989772559999999,1263,
,308,,,390000,776,500.0,,,12.989772559999999,1263,
,308,,,390000,780,500.0,,,12.989772559999999,1263,
19834,308,0.0017470380989834666,0.00075,400000,784,500.0,-16.347213745117188,0.010232225060462952,12.198617950000001,1296,-10.986553192138672
,308,,,400000,788,500.0,,,12.198617950000001,1296,
,308,,,400000,792,500.0,,,12.198617950000001,1296,
,308,,,400000,796,500.0,,,12.198617950000001,1296,
,308,,,400000,800,500.0,,,12.198617950000001,1296,
20334,308,0.0018134290585294366,0.00075,410000,804,500.0,-5.057805061340332,1.0714534521102905,12.76797166,1329,-10.74277114868164
,308,,,410000,808,500.0,,,12.76797166,1329,
,308,,,410000,812,500.0,,,12.76797166,1329,
,308,,,410000,816,500.0,,,12.76797166,1329,
,308,,,410000,820,500.0,,,12.76797166,1329,
20834,308,0.001728963223285973,0.00075,420000,824,500.0,11.640303611755371,0.007391125895082951,10.279341359999998,1362,-10.600404739379883
,308,,,420000,828,500.0,,,10.279341359999998,1362,
,308,,,420000,832,500.0,,,10.279341359999998,1362,
,308,,,420000,836,500.0,,,10.279341359999998,1362,
,308,,,420000,840,500.0,,,10.279341359999998,1362,
21334,308,0.0017574010416865349,0.00075,430000,844,500.0,-10.681924819946289,0.011386856436729431,9.888586269999998,1394,-10.195686340332031
,308,,,430000,848,500.0,,,9.888586269999998,1394,
,308,,,430000,852,500.0,,,9.888586269999998,1394,
,308,,,430000,856,500.0,,,9.888586269999998,1394,
,308,,,430000,860,500.0,,,9.888586269999998,1394,
21834,308,0.001690034056082368,0.00075,440000,864,500.0,-9.684457778930664,0.010413344949483871,12.467114450000004,1426,-10.129674911499023
,308,,,440000,868,500.0,,,12.467114450000004,1426,
,308,,,440000,872,500.0,,,12.467114450000004,1426,
,308,,,440000,876,500.0,,,12.467114450000004,1426,
,308,,,440000,880,500.0,,,12.467114450000004,1426,
22334,308,0.0017249201191589236,0.00075,450000,884,500.0,2.206585645675659,0.011991167441010475,14.165505000000001,1458,-10.084623336791992
,308,,,450000,888,500.0,,,14.165505000000001,1458,
,308,,,450000,892,500.0,,,14.165505000000001,1458,
,308,,,450000,896,500.0,,,14.165505000000001,1458,
,308,,,450000,900,500.0,,,14.165505000000001,1458,
22834,308,0.0017013452015817165,0.00075,460000,904,500.0,5.491655349731445,0.010379789397120476,14.52847968,1491,-9.698863983154297
,308,,,460000,908,500.0,,,14.52847968,1491,
,308,,,460000,912,500.0,,,14.52847968,1491,
,308,,,460000,916,500.0,,,14.52847968,1491,
,308,,,460000,920,500.0,,,14.52847968,1491,
23334,308,0.0016213267808780074,0.00075,470000,924,500.0,-1.3890960216522217,0.01049092784523964,13.663484539999999,1523,-9.619428634643555
,308,,,470000,928,500.0,,,13.663484539999999,1523,
,308,,,470000,932,500.0,,,13.663484539999999,1523,
,308,,,470000,936,500.0,,,13.663484539999999,1523,
,308,,,470000,940,500.0,,,13.663484539999999,1523,
23834,308,0.0016848234226927161,0.00075,480000,944,500.0,-1.259502649307251,0.8186043500900269,11.70748739,1555,-9.196878433227539
,308,,,480000,948,500.0,,,11.70748739,1555,
,308,,,480000,952,500.0,,,11.70748739,1555,
,308,,,480000,956,500.0,,,11.70748739,1555,
,308,,,480000,960,500.0,,,11.70748739,1555,
24334,308,0.0015546355862170458,0.00075,490000,964,500.0,-1.8162658214569092,0.0168665312230587,11.833206629999998,1587,-9.219789505004883
,308,,,490000,968,500.0,,,11.833206629999998,1587,
,308,,,490000,972,500.0,,,11.833206629999998,1587,
,308,,,490000,976,500.0,,,11.833206629999998,1587,
,308,,,490000,980,500.0,,,11.833206629999998,1587,
24834,308,0.0016159109072759748,0.00075,500000,984,500.0,4.351295471191406,0.026536155492067337,13.22601885,1619,-8.890466690063477
,308,,,500000,988,500.0,,,13.22601885,1619,
,308,,,500000,992,500.0,,,13.22601885,1619,
,308,,,500000,996,500.0,,,13.22601885,1619,
,308,,,500000,1000,500.0,,,13.22601885,1619,
25334,309,0.001699159387499094,0.00075,510000,1004,500.0,11.364398002624512,0.011894353665411472,19.87045128,1650,-8.738815307617188
,309,,,510000,1008,500.0,,,19.87045128,1650,
,309,,,510000,1012,500.0,,,19.87045128,1650,
,309,,,510000,1016,500.0,,,19.87045128,1650,
,309,,,510000,1020,500.0,,,19.87045128,1650,
