train/ent_coef,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,time/time_elapsed
0.7787972092628479,334,-2.951754093170166,0.0,500.0,4,0.00075,0.08596029877662659,323,-12.243925094604492,10000,30
,,,0.0,500.0,8,,,323,,10000,30
,,,0.0,500.0,12,,,323,,10000,30
,,,0.0,500.0,16,,,323,,10000,30
,,,0.0,500.0,20,,,323,,10000,30
0.5351653099060059,834,-7.373942852020264,0.25,500.0,24,0.00075,0.039501991122961044,312,-16.190776824951172,20000,63
,,,0.25,500.0,28,,,312,,20000,63
,,,0.25,500.0,32,,,312,,20000,63
,,,0.25,500.0,36,,,312,,20000,63
,,,0.25,500.0,40,,,312,,20000,63
0.3677814304828644,1334,-11.726129531860352,0.16666666666666666,500.0,44,0.00075,0.04463845491409302,309,-19.254440307617188,30000,96
,,,0.16666666666666666,500.0,48,,,309,,30000,96
,,,0.16666666666666666,500.0,52,,,309,,30000,97
,,,0.16666666666666666,500.0,56,,,309,,30000,97
,,,0.16666666666666666,500.0,60,,,309,,30000,97
0.2528049647808075,1834,-16.247665405273438,0.125,500.0,64,0.00075,0.1270497441291809,307,-20.71356201171875,40000,130
,,,0.125,500.0,68,,,307,,40000,130
,,,0.125,500.0,72,,,306,,40000,130
,,,0.125,500.0,76,,,306,,40000,130
,,,0.125,500.0,80,,,306,,40000,130
0.1737891286611557,2334,-20.405750274658203,0.1,500.0,84,0.00075,0.052527740597724915,304,-22.19089126586914,50000,164
,,,0.1,500.0,88,,,304,,50000,164
,,,0.1,500.0,92,,,304,,50000,164
,,,0.1,500.0,96,,,304,,50000,164
,,,0.1,500.0,100,,,304,,50000,164
0.11955273896455765,2834,-24.984573364257812,0.1,500.0,104,0.00075,0.047674886882305145,303,-22.69300079345703,60000,197
,,,0.1,500.0,108,,,303,,60000,197
,,,0.1,500.0,112,,,303,,60000,197
,,,0.1,500.0,116,,,303,,60000,197
,,,0.1,500.0,120,,,303,,60000,197
0.08229386806488037,3334,-29.075225830078125,0.0,500.0,124,0.00075,0.2147321105003357,303,-22.26437759399414,70000,230
,,,0.0,500.0,128,,,303,,70000,230
,,,0.0,500.0,132,,,303,,70000,230
,,,0.0,500.0,136,,,303,,70000,230
,,,0.0,500.0,140,,,303,,70000,230
0.05676751211285591,3834,-33.047332763671875,0.37,500.0,144,0.00075,0.021476317197084427,302,-22.41555404663086,80000,264
,,,0.37,500.0,148,,,302,,80000,264
,,,0.37,500.0,152,,,302,,80000,264
,,,0.37,500.0,156,,,302,,80000,264
,,,0.37,500.0,160,,,302,,80000,264
0.03926847130060196,4334,-37.13798522949219,0.37,500.0,164,0.00075,0.03195542097091675,301,-22.017730712890625,90000,298
,,,0.37,500.0,168,,,301,,90000,298
,,,0.37,500.0,172,,,301,,90000,298
,,,0.37,500.0,176,,,301,,90000,298
,,,0.37,500.0,180,,,301,,90000,298
0.027303114533424377,4834,-39.649803161621094,0.37,500.0,184,0.00075,0.019775845110416412,301,-21.79815101623535,100000,331
,,,0.37,500.0,188,,,301,,100000,331
,,,0.37,500.0,192,,,301,,100000,331
,,,0.37,500.0,196,,,301,,100000,331
,,,0.37,500.0,200,,,301,,100000,331
0.019063763320446014,5334,-42.17311096191406,0.37,500.0,204,0.00075,0.0414595827460289,301,-21.269149780273438,110000,364
,,,0.37,500.0,208,,,301,,110000,364
,,,0.37,500.0,212,,,301,,110000,364
,,,0.37,500.0,216,,,301,,110000,364
,,,0.37,500.0,220,,,301,,110000,364
0.013528282754123211,5834,-42.11799621582031,0.37,500.0,224,0.00075,0.019909333437681198,301,-20.736757278442383,120000,397
,,,0.37,500.0,228,,,301,,120000,397
,,,0.37,500.0,232,,,301,,120000,397
,,,0.37,500.0,236,,,301,,120000,397
,,,0.37,500.0,240,,,301,,120000,397
0.009855090640485287,6334,-24.871665954589844,6.36,500.0,244,0.00075,0.04038999229669571,302,-19.96916961669922,130000,429
,,,6.36,500.0,248,,,302,,130000,429
,,,6.36,500.0,252,,,302,,130000,429
,,,6.36,500.0,256,,,302,,130000,429
,,,6.36,500.0,260,,,302,,130000,429
0.00757645396515727,6834,-29.613040924072266,6.77,500.0,264,0.00075,0.022928806021809578,302,-19.326004028320312,140000,463
,,,6.77,500.0,268,,,302,,140000,463
,,,6.77,500.0,272,,,302,,140000,463
,,,6.77,500.0,276,,,302,,140000,463
,,,6.77,500.0,280,,,302,,140000,463
0.0063930694013834,7334,-21.536375045776367,6.77,500.0,284,0.00075,0.07304966449737549,302,-18.631032943725586,150000,496
,,,6.77,500.0,288,,,302,,150000,496
,,,6.77,500.0,292,,,302,,150000,496
,,,6.77,500.0,296,,,302,,150000,496
,,,6.77,500.0,300,,,302,,150000,496
0.005473904311656952,7834,0.1942427158355713,6.77,500.0,304,0.00075,0.04887384921312332,301,-17.932708740234375,160000,529
,,,6.77,500.0,308,,,301,,160000,530
,,,6.77,500.0,312,,,301,,160000,530
,,,6.77,500.0,316,,,301,,160000,530
,,,6.77,500.0,320,,,301,,160000,530
0.004668882116675377,8334,10.474464416503906,9.39,500.0,324,0.00075,0.03972287103533745,301,-18.42866325378418,170000,563
,,,9.39,500.0,328,,,301,,170000,563
,,,9.39,500.0,332,,,301,,170000,563
,,,9.39,500.0,336,,,301,,170000,563
,,,9.39,500.0,340,,,301,,170000,564
0.0041793216951191425,8834,0.38435620069503784,3.03,500.0,344,0.00075,0.034363411366939545,301,-17.834136962890625,180000,597
,,,3.03,500.0,348,,,301,,180000,597
,,,3.03,500.0,352,,,301,,180000,597
,,,3.03,500.0,356,,,301,,180000,597
,,,3.03,500.0,360,,,301,,180000,597
0.00401185592636466,9334,2.3615870475769043,2.62,500.0,364,0.00075,0.06902411580085754,301,-17.16252899169922,190000,630
,,,2.62,500.0,368,,,301,,190000,630
,,,2.62,500.0,372,,,301,,190000,630
,,,2.62,500.0,376,,,301,,190000,630
,,,2.62,500.0,380,,,301,,190000,630
